time,event,position_id,dir,entry,sl,tp,note,buffer,broken,previous,close1,close2,old_sl,closed_bar,balance,equity,ladder
2026.03.05 13:45:00,entry,2,1,5131.366,5080.125,5143.504,aoi_target|risk=102.4800|volume=0.0200|PD=2026.03.05 00:00:00|PW=2026.03.01 00:00:00,0.721860714285718,0.0,0.0,0.0,0.0,0.0,,9999.89,9999.66,PW.VAL=5143.504;PW.POC=5186.045;PW.VAH=5202.181
2026.03.10 02:00:01,entry,4,1,5185.406,5151.291,5214.224,aoi_target|risk=102.3500|volume=0.0300|PD=2026.03.10 00:00:00|PW=2026.03.08 00:00:00,0.7586357142857163,0.0,0.0,0.0,0.0,0.0,,9896.68,9896.39,PW.VAL=5022.372;PW.POC=5164.607;PW.VAH=5214.224
2026.03.10 20:00:00,entry,6,1,5198.682,5122.779,5214.224,aoi_target|risk=151.8000|volume=0.0200|PD=2026.03.10 00:00:00|PW=2026.03.08 00:00:00,0.7443785714285696,0.0,0.0,0.0,0.0,0.0,,9983.48,9983.29,PW.VAL=5022.372;PW.POC=5164.607;PW.VAH=5214.224
2026.03.11 01:15:00,entry,8,1,5216.368,5210.034,5232.654,fallback_3R|risk=114.0100|volume=0.1800|PD=2026.03.11 00:00:00|PW=2026.03.08 00:00:00,0.49891785714286085,0.0,0.0,0.0,0.0,0.0,,10012.58,10010.84,PW.VAL=5022.372;PW.POC=5164.607;PW.VAH=5214.224
2026.03.11 02:45:00,entry,10,1,5208.072,5199.203,5214.224,aoi_target|risk=106.4200|volume=0.1200|PD=2026.03.11 00:00:00|PW=2026.03.08 00:00:00,0.5157928571428654,0.0,0.0,0.0,0.0,0.0,,9897.82,9896.44,PW.VAL=5022.372;PW.POC=5164.607;PW.VAH=5214.224
2026.03.11 08:00:00,entry,12,1,5195.486,5165.925,5214.224,aoi_target|risk=118.2400|volume=0.0400|PD=2026.03.11 00:00:00|PW=2026.03.08 00:00:00,0.4192857142857098,0.0,0.0,0.0,0.0,0.0,,9972.0,9971.62,PW.VAL=5022.372;PW.POC=5164.607;PW.VAH=5214.224
2026.03.11 13:15:01,entry,14,1,5177.782,5160.658,5214.224,aoi_target|risk=102.7400|volume=0.0600|PD=2026.03.11 00:00:00|PW=2026.03.08 00:00:00,0.6197999999999964,0.0,0.0,0.0,0.0,0.0,,9853.38,9852.69,PW.VAL=5022.372;PW.POC=5164.607;PW.VAH=5214.224
2026.03.23 00:15:01,entry,16,-1,4436.837,4496.937,4256.813,fallback_3R|risk=120.2000|volume=0.0200|PD=2026.03.23 00:00:00|PW=2026.03.22 00:00:00,1.2908500000000005,0.0,0.0,0.0,0.0,0.0,,9749.9,9749.78,PW.VAL=4601.302;PW.POC=5004.716;PW.VAH=5044.614
2026.03.24 01:45:00,entry,18,-1,4319.408,4373.065,4166.557,fallback_3R|risk=107.3100|volume=0.0200|PD=2026.03.24 00:00:00|PW=2026.03.22 00:00:00,1.62964642857143,0.0,0.0,0.0,0.0,0.0,,10109.86,10109.67,PW.VAL=4601.302;PW.POC=5004.716;PW.VAH=5044.614
2026.03.24 12:00:00,entry,20,-1,4408.749,4434.433,4328.125,fallback_3R|risk=102.7300|volume=0.0400|PD=2026.03.24 00:00:00|PW=2026.03.22 00:00:00,1.1161321428571487,0.0,0.0,0.0,0.0,0.0,,10002.24,10001.85,PW.VAL=4601.302;PW.POC=5004.716;PW.VAH=5044.614
2026.03.27 03:15:00,entry,22,-1,4429.701,4442.484,4391.408,fallback_3R|risk=102.2600|volume=0.0800|PD=2026.03.27 00:00:00|PW=2026.03.22 00:00:00,0.707789285714294,0.0,0.0,0.0,0.0,0.0,,9898.83,9898.38,PW.VAL=4601.302;PW.POC=5004.716;PW.VAH=5044.614
