symbol,broker_symbol,candles,days,status
XAUUSD,XAUUSDm,12267,157,ok
XAGUSD,XAGUSDm,12264,157,ok
BTCUSD,BTCUSDm,18327,184,ok
US30,US30m,12310,158,ok
EURUSD,EURUSDm,12954,158,ok
GBPUSD,GBPUSDm,12953,158,ok
USDJPY,USDJPYm,12954,158,ok
USDCHF,USDCHFm,12953,158,ok
USDCAD,USDCADm,12954,158,ok
AUDUSD,AUDUSDm,12954,158,ok
NZDUSD,NZDUSDm,12954,158,ok
EURGBP,EURGBPm,12954,158,ok
EURJPY,EURJPYm,12954,158,ok
GBPJPY,GBPJPYm,12953,158,ok
