symbol,range_minutes,rr,month,date,opened_at,closed_at,direction,entry,stop_loss,take_profit,exit_price,result,r_multiple,pnl,range_high,range_low,range_atr
AUDUSD,15,1.3043478260869565,2025-12,2025-12-18,2025-12-19 00:15:00,2025-12-19 00:30:00,SELL,0.6612,0.66147,0.660848,0.66147,loss,-1.0,-27.0,0.66147,0.6612,1.4211
EURUSD,15,1.3043478260869565,2025-12,2025-12-18,2025-12-19 00:15:00,2025-12-19 00:45:00,SELL,1.17219,1.17256,1.171707,1.17256,loss,-1.0,-37.0,1.17256,1.17219,1.1908
GBPUSD,15,1.3043478260869565,2025-12,2025-12-18,2025-12-19 00:15:00,2025-12-19 00:45:00,SELL,1.33794,1.33843,1.337301,1.33843,loss,-1.0,-49.0,1.33843,1.33794,1.2992
NZDUSD,15,1.3043478260869565,2025-12,2025-12-18,2025-12-19 00:15:00,2025-12-19 00:45:00,SELL,0.5771,0.57779,0.5762,0.57779,loss,-1.0,-69.0,0.57779,0.5771,2.4332
US30,15,1.3043478260869565,2025-12,2025-12-18,2025-12-19 00:15:00,2025-12-19 00:45:00,SELL,47932.3,47969.7,47883.517391,47969.7,loss,-1.0,-37.4,47969.7,47932.3,0.648
USDCHF,15,1.3043478260869565,2025-12,2025-12-18,2025-12-19 00:15:00,2025-12-19 03:00:00,BUY,0.79441,0.79402,0.794919,0.794919,win,1.3043,50.87,0.79441,0.79402,2.3636
XAGUSD,15,1.3043478260869565,2025-12,2025-12-18,2025-12-19 00:15:00,2025-12-19 01:00:00,SELL,65.497,65.601,65.361348,65.361348,win,1.3043,678.26,65.601,65.497,0.611
XAUUSD,15,1.3043478260869565,2025-12,2025-12-18,2025-12-19 00:15:00,2025-12-19 01:00:00,SELL,4329.395,4335.848,4320.978043,4320.978043,win,1.3043,841.7,4335.848,4329.395,1.3168
BTCUSD,15,1.3043478260869565,2025-12,2025-12-18,2025-12-19 00:30:00,2025-12-19 00:45:00,SELL,85348.9,85551.1,85085.16087,85551.1,loss,-1.0,-202.2,85551.1,85348.9,0.5346
EURGBP,15,1.3043478260869565,2025-12,2025-12-18,2025-12-19 00:30:00,2025-12-19 00:45:00,BUY,0.87609,0.87596,0.87626,0.87596,loss,-1.0,-13.0,0.87609,0.87596,0.7982
EURJPY,15,1.3043478260869565,2025-12,2025-12-18,2025-12-19 00:30:00,2025-12-19 01:00:00,BUY,182.513,182.402,182.657783,182.657783,win,1.3043,14478.26,182.513,182.402,1.5873
GBPJPY,15,1.3043478260869565,2025-12,2025-12-18,2025-12-19 00:30:00,2025-12-19 00:45:00,BUY,208.327,208.193,208.501783,208.501783,win,1.3043,17478.26,208.327,208.193,1.4169
USDJPY,15,1.3043478260869565,2025-12,2025-12-18,2025-12-19 00:30:00,2025-12-19 03:15:00,BUY,155.703,155.558,155.89213,155.89213,win,1.3043,18913.04,155.703,155.558,2.4282
