
=== XAU: loading M1 history ===
{
  "instrument": "XAU",
  "status": "REJECT",
  "parameters": {
    "timeframe_minutes": 5,
    "pivot_bars": 5,
    "minimum_impulse_atr": 2.0,
    "minimum_gap_atr": 0.2,
    "rejection_mode": 0,
    "expiry_bars": 48,
    "stop_mode": 0,
    "stop_buffer_atr": 0.1,
    "reward_risk": 2.5,
    "maximum_hold_hours": 6,
    "management": 0
  },
  "confirmation": {
    "trades": 5,
    "wins": 2,
    "losses": 3,
    "win_rate_pct": 40.0,
    "profit_factor": 1.6478740156768998,
    "net_r": 1.9588220401390894,
    "mean_r": 0.39176440802781787,
    "return_pct": 1.900266637695447,
    "max_drawdown_pct": 3.733155445481563,
    "final_balance": 10190.026663769544
  },
  "full": {
    "trades": 36,
    "wins": 12,
    "losses": 24,
    "win_rate_pct": 33.333333333333336,
    "profit_factor": 1.1937111197581154,
    "net_r": 4.823460184722714,
    "mean_r": 0.1339850051311865,
    "return_pct": 4.426299759602514,
    "max_drawdown_pct": 6.199229223122663,
    "final_balance": 10442.629975960252
  }
}
