portfolio,start_date,end_date,starting_balance,final_balance,net_profit,return_pct,gross_profit,gross_loss,profit_factor,trades,wins,losses,win_rate_pct,realized_dd_amount,realized_dd_pct,sharpe_ratio,recovery_factor,commission,swap
applied per-EA selections,2025-09-01,2026-08-31,10000.0,49719.62,39719.62,397.19620000000003,115072.31,-75352.69,1.5271161520577434,1266,636,630,50.23696682464455,2562.110000000008,7.311133590819545,5.448977494466107,15.502698947351941,-792.6699999999998,-723.45
same 12 all current,2025-09-01,2026-08-31,10000.0,48376.770000000004,38376.770000000004,383.76770000000005,121563.9,-83187.12999999999,1.4613306168874922,1229,522,707,42.47355573637103,1657.7799999999916,7.929916638723269,5.0478649514272655,23.149495107915524,-778.7599999999998,-962.7600000000002
