role,initial_balance,final_balance,net_profit,return_pct,profit_factor,win_rate,trades,wins,gross_profit,gross_loss,realized_dd_amount,realized_dd_pct,commission,swap
current,10000.0,50890.89,40890.89,408.9089,1.4188844660041013,43.007915567282325,1516,652,138509.43,-97618.54,2239.920000000002,9.085481206984394,-1114.1999999999996,-1049.3900000000003
dynamic-only,10000.0,47678.69,37678.69,376.7869,1.444212964136455,51.13636363636363,1584,810,122499.92,-84821.23,2500.140000000003,7.437753947887482,-1121.8999999999999,-779.0300000000001
best-session,10000.0,33815.71,23815.71,238.15709999999999,1.377153224955888,42.89568345323741,1112,477,86961.69,-63145.979999999996,2274.3499999999876,8.457253563287573,-881.5899999999998,-657.8700000000001
best-session-dynamic,10000.0,32846.06,22846.06,228.4606,1.4118924575163776,50.57369814651368,1133,573,78312.14,-55466.08,2571.3600000000115,10.041350827543777,-884.35,-500.43
