ea_id,ea,symbol,timeframe,setup,return_pct,profit_factor,win_rate_pct,max_dd_pct,trades,recovery_factor,current_return_pct,current_profit_factor,return_delta_pct_points,pf_delta
asia-xau,AAA Final Asia Breakout,XAUUSD,H1,dynamic 50/20,31.3824,1.74,46.58,5.75,73,4.304915019410417,25.760900000000003,1.65,5.6214999999999975,0.09000000000000008
dmc-xau,AAA Final DmC,XAUUSD,H1,dynamic 50/20,48.1547,1.6,57.58,5.42,165,5.863871604096395,62.706700000000005,1.62,-14.552000000000007,-0.020000000000000018
ema3-xau,AAA Final EMA3,XAUUSD,H4,dynamic 50/20,20.7125,2.91,72.73,2.87,44,5.959059784797745,17.2163,2.36,3.496199999999998,0.5500000000000003
weakness-xau,AAA Final XAU Weakness,XAUUSD,M15,dynamic 50/20,27.7575,1.23,51.44,9.29,208,2.153213044557528,17.9161,1.14,9.8414,0.09000000000000008
topdown-btc,BTC Top Down FVG Liquidity,BTCUSD,M15,current exit,12.7417,1.92,50.0,3.84,26,3.1478864540356253,12.7417,1.92,0.0,0.0
topdown-eth,ETH Top Down FVG Liquidity,ETHUSD,M15,dynamic 50/20,10.3452,1.67,50.0,6.68,26,1.4659071586464887,10.3031,1.57,0.04209999999999958,0.09999999999999987
engineered-xau,Engineered Liquidity XAU,XAUUSD,H1,dynamic 50/20,29.126599999999996,1.51,42.5,9.87,80,2.2744494768077463,21.773,1.35,7.353599999999997,0.15999999999999992
lta-xau,LTA Volume Profile,XAUUSD,M15,current exit,104.67020000000001,1.42,33.2,14.61,247,4.802619021399993,104.67020000000001,1.42,0.0,0.0
momentum-ustec,Nasdaq 5M Candle Momentum,USTEC,M5,dynamic 50/20,28.010799999999996,1.2,54.47,12.29,257,1.6217837374649713,28.9109,1.17,-0.9001000000000055,0.030000000000000027
overnight-ustec,Nasdaq Overnight,USTEC,M1,current exit,8.4434,1.8,63.89,2.36,72,3.278990291262136,8.4434,1.8,0.0,0.0
news-xau,News Pulse LONG ONLY,XAUUSD,M1,dynamic 50/20,62.3943,40.78,84.21,1.46,19,27.642344497607656,60.5805,20.61,1.8138000000000005,20.17
orb-volume-xau,ORB Volume Profile,XAUUSD,M5,dynamic 50/20,13.4569,1.91,48.98,5.98,49,2.1761186306376237,12.744900000000001,1.86,0.711999999999998,0.04999999999999982
