ea_id,ea,symbol,variant,trades,start_date,end_date,net_profit,return_pct,realized_dd_amount,realized_dd_pct,sharpe_ratio,recovery_factor,paths,block_days,probability_profit_pct,probability_loss_pct,probability_10pct_dd_pct,probability_20pct_dd_pct,probability_ruin_pct,return_p05_pct,return_p50_pct,return_p95_pct,max_dd_p50_pct,max_dd_p95_pct
asia-xau,AAA Final Asia Breakout,XAUUSD,current,66,2025-09-01,2026-08-27,2576.09,25.760900000000003,775.18,5.87,1.8423443489189337,3.323215253231508,10000,5,96.84,3.16,10.13,0.06,0.0,2.288736275085992,24.508073757802848,53.17370849262931,6.234471945579487,11.537353447016441
asia-xau,AAA Final Asia Breakout,XAUUSD,dynamic-only,73,2025-09-01,2026-08-25,3138.24,31.3824,728.99,5.75,2.2477042873816226,4.304915019410417,10000,5,98.49,1.51,7.000000000000001,0.04,0.0,6.498093398013182,30.259907864085466,60.2334441550276,5.866551452870814,10.733994377219123
asia-xau,AAA Final Asia Breakout,XAUUSD,best-session,55,2025-09-01,2026-08-27,3283.18,32.8318,1015.41,7.17,2.4471696450823974,3.2333540146344824,10000,5,99.11999999999999,0.88,3.08,0.0,0.0,8.200863774539162,31.35081517485959,63.045984439347976,5.00865219240075,9.253746100795404
asia-xau,AAA Final Asia Breakout,XAUUSD,best-session-dynamic,61,2025-09-01,2026-08-25,3072.94,30.729400000000002,936.62,6.77,2.393399749799326,3.2808823215391514,10000,5,99.2,0.8,2.88,0.0,0.0,7.55012172782155,28.98435376595191,56.686682004993045,5.021374264032161,9.077435114294108
dmc-xau,AAA Final DmC,XAUUSD,current,160,2025-09-01,2026-08-30,6270.67,62.706700000000005,1581.32,9.21,3.150379447120381,3.965465560417879,10000,5,99.94,0.06,12.55,0.06,0.0,28.396384954169598,64.36804417364456,108.92114343662182,6.778927063871704,11.86460274302387
dmc-xau,AAA Final DmC,XAUUSD,dynamic-only,165,2025-09-01,2026-08-31,4815.47,48.1547,821.21,5.42,2.956755386812616,5.863871604096395,10000,5,99.94,0.06,5.65,0.0,0.0,20.811035614709954,48.41822980977544,82.78793273984054,5.850844505632624,10.196317941168493
dmc-xau,AAA Final DmC,XAUUSD,best-session,39,2025-09-01,2026-08-28,1043.21,10.4321,723.4,6.15,1.2819092493246127,1.4420928946640863,10000,5,93.42,6.58,1.41,0.0,0.0,-0.8881859358639005,11.36881092792481,26.03732029285543,4.238612267476482,8.267740455125939
dmc-xau,AAA Final DmC,XAUUSD,best-session-dynamic,40,2025-09-01,2026-08-28,821.61,8.216099999999999,532.03,4.69,1.2134541763309208,1.5442926150780971,10000,5,92.42,7.580000000000001,0.42,0.0,0.0,-1.188458524393901,8.956982194342567,21.51607926389256,3.5422898706127626,6.96337368372498
ema3-xau,AAA Final EMA3,XAUUSD,current,37,2025-09-01,2026-08-31,1721.63,17.2163,328.73,2.83,2.500064058307052,5.2372159523012805,10000,5,99.75,0.25,0.01,0.0,0.0,6.592093187000495,17.603668110248716,30.372353880602407,2.624626108861477,4.735384744085749
ema3-xau,AAA Final EMA3,XAUUSD,dynamic-only,44,2025-09-01,2026-08-25,2071.25,20.7125,347.58,2.87,3.085555883820865,5.959059784797745,10000,5,99.95,0.05,0.0,0.0,0.0,9.184941284467916,20.254546336116597,33.037058164201625,2.178429008690186,4.05477198516638
ema3-xau,AAA Final EMA3,XAUUSD,best-session,11,2025-09-01,2026-08-11,1003.34,10.0334,182.5,1.74,2.8556175914967707,5.497753424657534,10000,5,99.95,0.05,0.0,0.0,0.0,3.845276200309508,9.08576350061724,15.47165961470363,0.7972217389507205,1.5880878528908686
ema3-xau,AAA Final EMA3,XAUUSD,best-session-dynamic,14,2025-09-01,2026-08-07,639.33,6.3933,185.96,1.79,2.299603554357817,3.4379974187997417,10000,5,99.35000000000001,0.65,0.0,0.0,0.0,1.702549963014267,5.869911903254743,11.049772284533733,0.8040288690375317,1.7632133161707715
engineered-btc,Engineered Liquidity BTC,BTCUSD,current,127,2025-09-01,2026-08-27,1879.53,18.7953,2388.47,19.62,0.9109508094307965,0.7869179851536758,10000,5,80.80000000000001,19.2,79.41,13.350000000000001,0.0,-12.567487129943913,17.675578740720955,63.7846765265372,13.296039781471794,24.01888387711592
engineered-btc,Engineered Liquidity BTC,BTCUSD,dynamic-only,128,2025-09-01,2026-08-27,1262.55,12.6255,2063.87,16.99,0.6872201664100117,0.6117391114750445,10000,5,73.77,26.229999999999997,75.92999999999999,11.57,0.0,-14.612609470727358,11.52054705772535,48.09577176718816,12.790339228004388,23.366285940452613
engineered-btc,Engineered Liquidity BTC,BTCUSD,best-session,127,2025-09-01,2026-08-27,1879.53,18.7953,2388.47,19.62,0.9109508094307965,0.7869179851536758,10000,5,80.19,19.81,80.58,13.87,0.0,-13.449538302167054,17.145255775426904,63.126193279051854,13.380411846979392,24.47521192887952
engineered-btc,Engineered Liquidity BTC,BTCUSD,best-session-dynamic,128,2025-09-01,2026-08-27,1262.55,12.6255,2063.87,16.99,0.6872201664100117,0.6117391114750445,10000,5,74.42999999999999,25.569999999999997,76.63,11.91,0.0,-14.651537371115285,11.471984168273874,48.48294699767512,12.852706650567555,23.50830949359164
engineered-xau,Engineered Liquidity XAU,XAUUSD,current,80,2025-09-01,2026-08-28,2177.3,21.773,1765.94,13.3,1.1140692051170757,1.232941096526496,10000,5,86.55000000000001,13.450000000000001,55.05,4.95,0.0,-8.325327633122813,20.704767799523605,61.70493435991014,10.564680024194255,19.945435341796326
engineered-xau,Engineered Liquidity XAU,XAUUSD,dynamic-only,80,2025-09-01,2026-08-28,2912.66,29.126599999999996,1280.6,9.87,1.4471551515252894,2.2744494768077463,10000,5,93.42,6.58,39.68,1.72,0.0,-2.0793498317144614,27.457498801045322,69.32650411630374,9.050154394803695,17.032547172650077
engineered-xau,Engineered Liquidity XAU,XAUUSD,best-session,80,2025-09-01,2026-08-28,2177.3,21.773,1765.94,13.3,1.1140692051170757,1.232941096526496,10000,5,86.13,13.87,56.00000000000001,5.18,0.0,-8.477591080114928,19.85040705755623,61.111361255591724,10.664055409024446,20.13879125286233
engineered-xau,Engineered Liquidity XAU,XAUUSD,best-session-dynamic,80,2025-09-01,2026-08-28,2912.66,29.126599999999996,1280.6,9.87,1.4471551515252894,2.2744494768077463,10000,5,92.92,7.08,39.31,1.91,0.0,-2.5832422352544717,27.089073504816184,69.10707784485803,9.033647935181438,16.96850112772734
fabio-ustec,US100 Fabio ORB 1R,USTEC,current,160,2025-09-01,2026-08-28,634.59,6.3459,1061.12,9.07,0.7546638108841061,0.5980379221954163,10000,5,75.09,24.91,26.83,1.1199999999999999,0.0,-9.306472740139014,7.020607030070892,24.57388982058184,7.61841015830649,15.666935590656532
fabio-ustec,US100 Fabio ORB 1R,USTEC,dynamic-only,160,2025-09-01,2026-08-28,459.39,4.5939,1013.99,8.84,0.5725223160346291,0.4530518052446276,10000,5,70.7,29.299999999999997,30.39,1.18,0.0,-10.209843142406994,5.3693244035680205,22.762690900289055,7.916670188198168,16.10261907832715
fabio-ustec,US100 Fabio ORB 1R,USTEC,best-session,160,2025-09-01,2026-08-28,634.59,6.3459,1061.12,9.07,0.7546638108841061,0.5980379221954163,10000,5,76.12,23.880000000000003,27.400000000000002,0.98,0.0,-8.9822121884154,6.926528050130409,24.678253553114995,7.643539580596247,15.421088165178173
fabio-ustec,US100 Fabio ORB 1R,USTEC,best-session-dynamic,160,2025-09-01,2026-08-28,459.39,4.5939,1013.99,8.84,0.5725223160346291,0.4530518052446276,10000,5,70.11,29.89,30.130000000000003,1.25,0.0,-10.287758608038112,5.268591408042667,22.748728057963127,7.878875140809857,16.1328719992569
lta-xau,LTA Volume Profile,XAUUSD,current,247,2025-09-01,2026-08-25,10467.02,104.67020000000001,2179.44,14.61,2.7401829265904163,4.802619021399993,10000,5,99.63,0.37,68.62,5.11,0.0,30.33215873763357,101.21631807989506,219.19446150499445,11.570629186520458,20.062039161313105
lta-xau,LTA Volume Profile,XAUUSD,dynamic-only,277,2025-09-01,2026-08-25,7230.94,72.3094,2228.36,16.2,2.309798024730675,3.2449604193218327,10000,5,98.55000000000001,1.4500000000000002,69.67,6.4799999999999995,0.0,12.74922652498498,67.97308288852525,160.81856071425958,11.81270104125485,20.88808214198507
lta-xau,LTA Volume Profile,XAUUSD,best-session,113,2025-09-01,2026-08-26,1315.42,13.154200000000001,1834.45,14.31,0.7926911774763569,0.7170650603723187,10000,5,74.09,25.91,72.71,11.08,0.0,-14.679123050856937,11.447350699442026,49.75042303920962,12.504954682130037,23.32794733123429
lta-xau,LTA Volume Profile,XAUUSD,best-session-dynamic,116,2025-09-01,2026-08-26,907.76,9.0776,1596.8,14.01,0.6209773733149356,0.5684869739478958,10000,5,68.62,31.380000000000003,68.93,8.95,0.0,-15.280810381015362,7.714879661850205,40.4755342770638,12.068745760518567,22.27544526600041
markov-xau,XAU Markov Regime,XAUUSD,current,0,2025-09-01,2026-08-31,0.0,0.0,0.0,0.0,0.0,0.0,10000,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
markov-xau,XAU Markov Regime,XAUUSD,dynamic-only,0,2025-09-01,2026-08-31,0.0,0.0,0.0,0.0,0.0,0.0,10000,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
markov-xau,XAU Markov Regime,XAUUSD,best-session,0,2025-09-01,2026-08-31,0.0,0.0,0.0,0.0,0.0,0.0,10000,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
markov-xau,XAU Markov Regime,XAUUSD,best-session-dynamic,0,2025-09-01,2026-08-31,0.0,0.0,0.0,0.0,0.0,0.0,10000,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
momentum-ustec,Nasdaq 5M Candle Momentum,USTEC,current,256,2025-09-01,2026-08-28,2891.09,28.9109,1936.35,13.38,1.1676306837707326,1.4930616882278516,10000,5,88.44999999999999,11.55,92.58,26.16,0.0,-10.130710837807404,33.816507394011936,103.10777219021143,15.874547744741154,28.754940781833998
