ea_id,ea,symbol,variant,trades,start_date,end_date,net_profit,return_pct,realized_dd_amount,realized_dd_pct,sharpe_ratio,recovery_factor,paths,block_days,probability_profit_pct,probability_loss_pct,probability_10pct_dd_pct,probability_20pct_dd_pct,probability_ruin_pct,return_p05_pct,return_p50_pct,return_p95_pct,max_dd_p50_pct,max_dd_p95_pct
momentum-ustec,Nasdaq 5M Candle Momentum,USTEC,dynamic-only,257,2025-09-01,2026-08-28,2801.08,28.010799999999996,1727.16,12.29,1.2259658051649125,1.6217837374649713,10000,5,90.4,9.6,83.85000000000001,15.32,0.0,-7.070147712821841,33.112044842147235,93.89554811008307,13.81378196536313,24.94711288294339
momentum-ustec,Nasdaq 5M Candle Momentum,USTEC,best-session,256,2025-09-01,2026-08-28,2891.09,28.9109,1936.35,13.38,1.1676306837707326,1.4930616882278516,10000,5,88.26,11.74,93.35,26.040000000000003,0.0,-11.145796531571168,33.837823131119514,100.34507121249922,15.987384527126627,28.689148424712663
momentum-ustec,Nasdaq 5M Candle Momentum,USTEC,best-session-dynamic,257,2025-09-01,2026-08-28,2801.08,28.010799999999996,1727.16,12.29,1.2259658051649125,1.6217837374649713,10000,5,90.36,9.64,84.45,15.76,0.0,-7.945047630609658,32.67381538895484,92.5121128240626,13.962950709290926,24.987787800908563
news-xau,News Pulse LONG ONLY,XAUUSD,current,19,2025-09-01,2026-08-12,6058.05,60.5805,406.75,2.47,3.03511618916911,14.89379225568531,10000,5,100.0,0.0,0.0,0.0,0.0,28.508943722279685,61.58771266242334,111.55289596789456,1.021985664110247,2.0335267812440168
news-xau,News Pulse LONG ONLY,XAUUSD,dynamic-only,19,2025-09-01,2026-08-12,6239.43,62.3943,225.72,1.46,3.1116750306568277,27.642344497607656,10000,5,100.0,0.0,0.0,0.0,0.0,29.580185642543572,62.280586173888565,110.43597419982446,1.0219856641102458,2.0335267812440176
news-xau,News Pulse LONG ONLY,XAUUSD,best-session,19,2025-09-01,2026-08-12,6058.05,60.5805,406.75,2.47,3.03511618916911,14.89379225568531,10000,5,100.0,0.0,0.0,0.0,0.0,28.40181720445455,61.11048334389291,110.79430327520811,1.021985664110247,2.0335267812440176
news-xau,News Pulse LONG ONLY,XAUUSD,best-session-dynamic,19,2025-09-01,2026-08-12,6239.43,62.3943,225.72,1.46,3.1116750306568277,27.642344497607656,10000,5,100.0,0.0,0.0,0.0,0.0,29.451414586303382,62.755582849356294,113.96319880524791,1.0219856641102465,2.033526781244017
orb-volume-xau,ORB Volume Profile,XAUUSD,current,49,2025-09-01,2026-08-28,1274.49,12.744900000000001,644.08,6.22,1.5205680899653464,1.9787759284560924,10000,5,91.82000000000001,8.18,2.13,0.0,0.0,-2.1528224820205737,12.24075680050869,30.90340308270168,4.2469533477432115,8.458364656311124
orb-volume-xau,ORB Volume Profile,XAUUSD,dynamic-only,49,2025-09-01,2026-08-28,1345.69,13.4569,618.39,5.98,1.6023482905547304,2.1761186306376237,10000,5,93.4,6.6000000000000005,0.97,0.0,0.0,-1.019631343181325,13.059140614761777,32.40236700756996,3.9400457086901244,7.725078203254112
orb-volume-xau,ORB Volume Profile,XAUUSD,best-session,49,2025-09-01,2026-08-28,1274.49,12.744900000000001,644.08,6.22,1.5205680899653464,1.9787759284560924,10000,5,92.03,7.969999999999999,1.66,0.0,0.0,-1.6350357280410988,12.407679899472924,31.408647504068366,4.200905997142941,8.257492334393357
orb-volume-xau,ORB Volume Profile,XAUUSD,best-session-dynamic,49,2025-09-01,2026-08-28,1345.69,13.4569,618.39,5.98,1.6023482905547304,2.1761186306376237,10000,5,93.45,6.550000000000001,0.95,0.0,0.0,-0.8832292009536408,13.046312836394602,31.236558620900027,3.9348180149762015,7.6837404817687025
overnight-ustec,Nasdaq Overnight,USTEC,current,72,2025-09-01,2026-08-30,844.34,8.4434,257.5,2.36,2.059631287643846,3.278990291262136,10000,5,99.22999999999999,0.77,0.0,0.0,0.0,2.601594289809536,8.725787396122996,15.433650809541993,1.8919712306715408,3.5618576571054357
overnight-ustec,Nasdaq Overnight,USTEC,dynamic-only,72,2025-09-01,2026-08-30,696.56,6.965599999999999,260.53,2.4,1.7812950658259847,2.6736268376002763,10000,5,97.86,2.1399999999999997,0.0,0.0,0.0,1.3999793963074558,7.1664539900578745,13.483937084437992,1.9792723793017495,3.7624655090725456
overnight-ustec,Nasdaq Overnight,USTEC,best-session,72,2025-09-01,2026-08-30,844.34,8.4434,257.5,2.36,2.059631287643846,3.278990291262136,10000,5,98.95,1.05,0.0,0.0,0.0,2.5311967445571137,8.682217118195044,15.32317024690671,1.906171723825277,3.5309578917397895
overnight-ustec,Nasdaq Overnight,USTEC,best-session-dynamic,72,2025-09-01,2026-08-30,696.56,6.965599999999999,260.53,2.4,1.7812950658259847,2.6736268376002763,10000,5,98.15,1.8499999999999999,0.0,0.0,0.0,1.4315982804987073,7.1460989439586236,13.420379200882854,1.9901624339081025,3.7474652210105397
topdown-btc,BTC Top Down FVG Liquidity,BTCUSD,current,26,2025-09-01,2026-08-10,1274.17,12.7417,404.77,3.84,1.5979061755863946,3.1478864540356253,10000,5,92.13,7.870000000000001,1.72,0.0,0.0,-1.9669184094705443,11.274381800217437,26.671903817430945,4.048729137038489,8.734366417361517
topdown-btc,BTC Top Down FVG Liquidity,BTCUSD,dynamic-only,26,2025-09-01,2026-08-10,895.16,8.9516,377.6,3.6,1.2747308793332557,2.3706567796610165,10000,5,84.63000000000001,15.370000000000001,2.6,0.0,0.0,-3.995879726745921,7.17708195507617,20.507435690077607,4.0686244621548004,8.773180628600974
topdown-btc,BTC Top Down FVG Liquidity,BTCUSD,best-session,12,2025-09-01,2026-08-10,883.08,8.8308,259.25,2.46,1.5791127107650722,3.406287367405979,10000,5,90.3,9.700000000000001,0.02,0.0,0.0,-1.3356967726199143,6.814945965617635,17.527741580327955,2.0437774788765255,4.996103110958491
topdown-btc,BTC Top Down FVG Liquidity,BTCUSD,best-session-dynamic,12,2025-09-01,2026-08-10,542.88,5.428800000000001,404.52,3.85,1.1291334250890162,1.3420350044497182,10000,5,78.73,21.27,0.06,0.0,0.0,-3.39152724851189,3.5885337692698083,12.11398221991065,2.6687250771697357,5.900380862983802
topdown-eth,ETH Top Down FVG Liquidity,ETHUSD,current,26,2025-09-01,2026-08-26,1030.31,10.3031,688.87,6.68,1.0910852580540837,1.4956523001437134,10000,5,89.13,10.870000000000001,4.08,0.0,0.0,-3.3116431337243157,10.957966340901038,29.258310947004166,5.081587290977989,9.540332849414606
topdown-eth,ETH Top Down FVG Liquidity,ETHUSD,dynamic-only,26,2025-09-01,2026-08-26,1034.52,10.3452,705.72,6.68,1.1868921794122882,1.4659071586464887,10000,5,91.4,8.6,1.66,0.0,0.0,-2.1210910460691745,11.136997017693563,27.831482212115578,4.174018390157199,8.295629121679392
topdown-eth,ETH Top Down FVG Liquidity,ETHUSD,best-session,26,2025-09-01,2026-08-26,1030.31,10.3031,688.87,6.68,1.0910852580540837,1.4956523001437134,10000,5,89.19,10.81,4.17,0.0,0.0,-3.045846281202885,10.941848341997195,29.340167414235193,5.054734164651638,9.556142594298825
topdown-eth,ETH Top Down FVG Liquidity,ETHUSD,best-session-dynamic,26,2025-09-01,2026-08-26,1034.52,10.3452,705.72,6.68,1.1868921794122882,1.4659071586464887,10000,5,91.59,8.41,1.5599999999999998,0.01,0.0,-1.9937347464229318,11.067156011094948,27.827842352351187,4.153899896319441,8.154097277832138
weakness-xau,AAA Final XAU Weakness,XAUUSD,current,191,2025-09-01,2026-08-27,1791.61,17.9161,1538.5,11.54,0.927374702525035,1.1645173870653234,10000,5,85.24000000000001,14.760000000000002,75.21,12.5,0.0,-10.434207405718311,21.23054391962227,65.98958463467889,12.848295886929591,23.869511437088093
weakness-xau,AAA Final XAU Weakness,XAUUSD,dynamic-only,208,2025-09-01,2026-08-27,2775.75,27.7575,1289.12,9.29,1.4994551437831467,2.153213044557528,10000,5,95.36,4.64,43.64,2.11,0.0,0.5537739328150474,30.55211128010781,71.32065305838151,9.445170088127764,17.547417329351358
weakness-xau,AAA Final XAU Weakness,XAUUSD,best-session,93,2025-09-01,2026-08-27,-502.22,-5.022200000000001,1288.15,12.37,-0.36695241360665104,-0.38987695532352595,10000,5,33.269999999999996,66.73,74.13,15.67,0.0,-21.09148144688594,-4.7743094000489865,15.594782788516158,13.352305989611882,24.73114813497701
weakness-xau,AAA Final XAU Weakness,XAUUSD,best-session-dynamic,99,2025-09-01,2026-08-27,109.66,1.0966,925.48,8.83,0.15444709277779278,0.11848986471884859,10000,5,53.11,46.89,45.86,2.76,0.0,-14.071185953465095,0.7935413563298965,20.05204482549398,9.505417473168823,18.24594498039897
