CaseId,EaId,Label,Symbol,Period,Variant,SessionValue,Dynamic,Stage,From,To,Model,Report,session,period_text,history_quality_pct,bars,ticks,initial_balance,final_balance,net_profit,return_pct,gross_profit,gross_loss,profit_factor,equity_dd_amount,equity_dd_pct,balance_dd_amount,balance_dd_pct,trades,wins,losses,win_rate,commission,swap,score,status,report
asia-xau__all,asia-xau,AAA Final Asia Breakout,XAUUSD,H1,all,0,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\asia-xau__all.htm,all,H1 (2024.09.01 - 2025.08.31),99.0,5868,1401337,10000.0,10495.95,495.95,4.9595,2691.02,-2195.07,1.23,485.03,4.42,402.91,3.78,37,15,22,40.54,-14.499999999999998,-97.46,0.6765850163059566,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\asia-xau__all.htm
asia-xau__asia,asia-xau,AAA Final Asia Breakout,XAUUSD,H1,asia,1,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\asia-xau__asia.htm,asia,H1 (2024.09.01 - 2025.08.31),99.0,5868,1401337,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-17.974393641323946,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\asia-xau__asia.htm
asia-xau__london,asia-xau,AAA Final Asia Breakout,XAUUSD,H1,london,2,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\asia-xau__london.htm,london,H1 (2024.09.01 - 2025.08.31),99.0,5868,1401337,10000.0,10054.88,54.88,0.5488,151.01,-96.13,1.57,207.88,2.07,96.13,0.96,2,1,1,50.0,-0.8300000000000001,-5.16,0.6677537161613003,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\asia-xau__london.htm
asia-xau__new-york,asia-xau,AAA Final Asia Breakout,XAUUSD,H1,new-york,3,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\asia-xau__new-york.htm,new-york,H1 (2024.09.01 - 2025.08.31),99.0,5868,1401337,10000.0,10770.29,770.29,7.7029,2739.06,-1968.77,1.39,509.08,4.71,453.68,4.21,35,15,20,42.86,-14.100000000000001,-100.52,3.791222482855601,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\asia-xau__new-york.htm
asia-xau__overlap,asia-xau,AAA Final Asia Breakout,XAUUSD,H1,overlap,4,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\asia-xau__overlap.htm,overlap,H1 (2024.09.01 - 2025.08.31),99.0,5868,1401337,10000.0,10961.77,961.77,9.6177,2739.06,-1777.29,1.54,509.08,4.71,453.68,4.21,33,15,18,45.45,-13.760000000000002,-94.33,6.320894498553226,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\asia-xau__overlap.htm
dmc-xau__all,dmc-xau,AAA Final DmC,XAUUSD,H1,all,0,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\dmc-xau__all.htm,all,H1 (2024.09.01 - 2025.08.31),99.0,5868,1401337,10000.0,9209.33,-790.67,-7.9067,2245.53,-3036.2,0.74,1157.76,11.17,1113.36,10.79,48,15,33,31.25,-10.560000000000004,-105.11000000000001,-23.67583055670353,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\dmc-xau__all.htm
dmc-xau__asia,dmc-xau,AAA Final DmC,XAUUSD,H1,asia,1,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\dmc-xau__asia.htm,asia,H1 (2024.09.01 - 2025.08.31),99.0,5868,1401337,10000.0,9742.55,-257.45,-2.5745,1949.84,-2207.29,0.88,956.82,9.03,841.92,8.0,37,13,24,35.14,-8.139999999999997,-78.31000000000002,-14.62900022905931,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\dmc-xau__asia.htm
dmc-xau__london,dmc-xau,AAA Final DmC,XAUUSD,H1,london,2,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\dmc-xau__london.htm,london,H1 (2024.09.01 - 2025.08.31),99.0,5868,1401337,10000.0,10196.85,196.85,1.9685000000000001,1203.39,-1006.54,1.2,360.55,3.42,272.72,2.6,19,8,11,42.11,-4.1800000000000015,-32.97,-1.2125706592362726,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\dmc-xau__london.htm
dmc-xau__new-york,dmc-xau,AAA Final DmC,XAUUSD,H1,new-york,3,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\dmc-xau__new-york.htm,new-york,H1 (2024.09.01 - 2025.08.31),99.0,5868,1401337,10000.0,10061.28,61.28,0.6128,1180.71,-1119.43,1.05,648.92,6.13,445.27,4.26,20,8,12,40.0,-4.400000000000001,-78.32000000000001,-6.756959014983408,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\dmc-xau__new-york.htm
dmc-xau__overlap,dmc-xau,AAA Final DmC,XAUUSD,H1,overlap,4,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\dmc-xau__overlap.htm,overlap,H1 (2024.09.01 - 2025.08.31),99.0,5868,1401337,10000.0,10119.86,119.86,1.1986,1046.26,-926.4,1.13,539.25,5.12,437.02,4.16,17,7,10,41.18,-3.7400000000000015,-47.40000000000001,-4.4680942036545055,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\dmc-xau__overlap.htm
