rule_id,frequency,p,q,band_pct,delay,hold
0,M10,2,6,0.0,0,6
1,M10,2,6,0.0,0,12
2,M10,2,6,0.0,0,infinity
3,M10,2,6,0.0,2,6
4,M10,2,6,0.0,2,12
5,M10,2,6,0.0,2,infinity
6,M10,2,6,0.0,3,6
7,M10,2,6,0.0,3,12
8,M10,2,6,0.0,3,infinity
9,M10,2,6,0.0,4,6
10,M10,2,6,0.0,4,12
11,M10,2,6,0.0,4,infinity
12,M10,2,6,0.0,5,6
13,M10,2,6,0.0,5,12
14,M10,2,6,0.0,5,infinity
15,M10,2,6,0.01,0,6
16,M10,2,6,0.01,0,12
17,M10,2,6,0.01,0,infinity
18,M10,2,6,0.01,2,6
19,M10,2,6,0.01,2,12
20,M10,2,6,0.01,2,infinity
21,M10,2,6,0.01,3,6
22,M10,2,6,0.01,3,12
23,M10,2,6,0.01,3,infinity
24,M10,2,6,0.01,4,6
25,M10,2,6,0.01,4,12
26,M10,2,6,0.01,4,infinity
27,M10,2,6,0.01,5,6
28,M10,2,6,0.01,5,12
29,M10,2,6,0.01,5,infinity
30,M10,2,6,0.05,0,6
31,M10,2,6,0.05,0,12
32,M10,2,6,0.05,0,infinity
33,M10,2,6,0.05,2,6
34,M10,2,6,0.05,2,12
35,M10,2,6,0.05,2,infinity
36,M10,2,6,0.05,3,6
37,M10,2,6,0.05,3,12
38,M10,2,6,0.05,3,infinity
39,M10,2,6,0.05,4,6
40,M10,2,6,0.05,4,12
41,M10,2,6,0.05,4,infinity
42,M10,2,6,0.05,5,6
43,M10,2,6,0.05,5,12
44,M10,2,6,0.05,5,infinity
45,M10,2,12,0.0,0,6
46,M10,2,12,0.0,0,12
47,M10,2,12,0.0,0,infinity
48,M10,2,12,0.0,2,6
49,M10,2,12,0.0,2,12
50,M10,2,12,0.0,2,infinity
51,M10,2,12,0.0,3,6
52,M10,2,12,0.0,3,12
53,M10,2,12,0.0,3,infinity
54,M10,2,12,0.0,4,6
55,M10,2,12,0.0,4,12
56,M10,2,12,0.0,4,infinity
57,M10,2,12,0.0,5,6
58,M10,2,12,0.0,5,12
59,M10,2,12,0.0,5,infinity
60,M10,2,12,0.01,0,6
61,M10,2,12,0.01,0,12
62,M10,2,12,0.01,0,infinity
63,M10,2,12,0.01,2,6
64,M10,2,12,0.01,2,12
65,M10,2,12,0.01,2,infinity
66,M10,2,12,0.01,3,6
67,M10,2,12,0.01,3,12
68,M10,2,12,0.01,3,infinity
69,M10,2,12,0.01,4,6
70,M10,2,12,0.01,4,12
71,M10,2,12,0.01,4,infinity
72,M10,2,12,0.01,5,6
73,M10,2,12,0.01,5,12
74,M10,2,12,0.01,5,infinity
75,M10,2,12,0.05,0,6
76,M10,2,12,0.05,0,12
77,M10,2,12,0.05,0,infinity
78,M10,2,12,0.05,2,6
79,M10,2,12,0.05,2,12
