month,train_start,train_end,objective,top_n,cost_mode,selected_rule_ids,best_score,equivalent_transactions
2023-01-01,2022-01-01,2022-12-31,mean,1,broker,9874,0.000617170357145369,0.0
2023-02-01,2022-02-01,2023-01-31,mean,1,broker,6989,0.0006524644559249282,10.0
2023-03-01,2022-03-01,2023-02-28,mean,1,broker,9859,0.000617170357145369,0.0
2023-04-01,2022-04-01,2023-03-31,mean,1,broker,6989,0.0007483294466510415,8.0
2023-05-01,2022-05-01,2023-04-30,mean,1,broker,6989,0.0010390060488134623,8.0
2023-06-01,2022-06-01,2023-05-31,mean,1,broker,6881,0.0009450064972043037,8.0
2023-07-01,2022-07-01,2023-06-30,mean,1,broker,6980,0.001484106294810772,8.0
2023-08-01,2022-08-01,2023-07-31,mean,1,broker,6980,0.0012364030117169023,12.0
2023-09-01,2022-09-01,2023-08-31,mean,1,broker,6881,0.0015784356510266662,10.0
2023-10-01,2022-10-01,2023-09-30,mean,1,broker,6980,0.001792332623153925,8.0
2023-11-01,2022-11-01,2023-10-31,mean,1,broker,6980,0.0025220022071152925,8.0
2023-12-01,2022-12-01,2023-11-30,mean,1,broker,6860,0.0023973931092768908,8.0
2024-01-01,2023-01-01,2023-12-31,mean,1,broker,6833,0.0025842308532446623,14.0
2024-02-01,2023-02-01,2024-01-31,mean,1,broker,6881,0.0019933637231588364,6.0
2024-03-01,2023-03-01,2024-02-29,mean,1,broker,6833,0.0030576903373003006,10.0
2024-04-01,2023-04-01,2024-03-31,mean,1,broker,7565,0.0027972629759460688,4.0
2024-05-01,2023-05-01,2024-04-30,mean,1,broker,7640,0.0024652122519910336,4.0
2024-06-01,2023-06-01,2024-05-31,mean,1,broker,7610,0.0028605901170521975,4.0
2024-07-01,2023-07-01,2024-06-30,mean,1,broker,7710,0.002494328422471881,2.0
2024-08-01,2023-08-01,2024-07-31,mean,1,broker,7897,0.0026551256887614727,4.0
2024-09-01,2023-09-01,2024-08-31,mean,1,broker,7013,0.002657845616340637,14.0
2024-10-01,2023-10-01,2024-09-30,mean,1,broker,7516,0.002830733312293887,6.0
2024-11-01,2023-11-01,2024-10-31,mean,1,broker,9312,0.0029224841855466366,10.0
2024-12-01,2023-12-01,2024-11-30,mean,1,broker,9060,0.003285994054749608,10.0
2025-01-01,2024-01-01,2024-12-31,mean,1,broker,7013,0.0028993100859224796,14.0
2025-02-01,2024-02-01,2025-01-31,mean,1,broker,9450,0.0031219616066664457,9.0
2025-03-01,2024-03-01,2025-02-28,mean,1,broker,9075,0.0022583873942494392,0.0
2025-04-01,2024-04-01,2025-03-31,mean,1,broker,9060,0.001414559781551361,0.0
2025-05-01,2024-05-01,2025-04-30,mean,1,broker,7879,0.002176637062802911,8.0
2025-06-01,2024-06-01,2025-05-31,mean,1,broker,7909,0.002037228085100651,6.0
2025-07-01,2024-07-01,2025-06-30,mean,1,broker,7909,0.0020806826651096344,4.0
2025-08-01,2024-08-01,2025-07-31,mean,1,broker,7948,0.002278087195008993,0.0
2025-09-01,2024-09-01,2025-08-31,mean,1,broker,7963,0.0024813422933220863,4.0
2025-10-01,2024-10-01,2025-09-30,mean,1,broker,7933,0.0023517124354839325,4.0
2025-11-01,2024-11-01,2025-10-31,mean,1,broker,7963,0.002157328650355339,0.0
2025-12-01,2024-12-01,2025-11-30,mean,1,broker,7948,0.0013182718539610505,2.0
2026-01-01,2025-01-01,2025-12-31,mean,1,broker,8681,0.0012680302606895566,2.0
2026-02-01,2025-02-01,2026-01-31,mean,1,broker,7963,0.0008243664633482695,2.0
2026-03-01,2025-03-01,2026-02-28,mean,1,broker,8369,0.0009665470570325851,2.0
2026-04-01,2025-04-01,2026-03-31,mean,1,broker,8668,0.0008820639341138303,4.0
2026-05-01,2025-05-01,2026-04-30,mean,1,broker,8650,0.0008963934378698468,6.0
2026-06-01,2025-06-01,2026-05-31,mean,1,broker,8650,0.0004704511375166476,0.0
2026-07-01,2025-07-01,2026-06-30,mean,1,broker,8650,0.0002879478852264583,2.0
2026-08-01,2025-08-01,2026-07-31,mean,1,broker,9667,0.0001120549495681189,0.0
2023-01-01,2022-01-01,2022-12-31,mean,1,paper,9874,0.000617170357145369,0.0
2023-02-01,2022-02-01,2023-01-31,mean,1,paper,6989,0.0006524644559249282,10.0
2023-03-01,2022-03-01,2023-02-28,mean,1,paper,9859,0.000617170357145369,0.0
2023-04-01,2022-04-01,2023-03-31,mean,1,paper,6989,0.0007483294466510415,8.0
2023-05-01,2022-05-01,2023-04-30,mean,1,paper,6989,0.0010390060488134623,8.0
2023-06-01,2022-06-01,2023-05-31,mean,1,paper,6881,0.0009450064972043037,8.0
2023-07-01,2022-07-01,2023-06-30,mean,1,paper,6980,0.001484106294810772,8.0
2023-08-01,2022-08-01,2023-07-31,mean,1,paper,6980,0.0012364030117169023,12.0
2023-09-01,2022-09-01,2023-08-31,mean,1,paper,6881,0.0015784356510266662,10.0
2023-10-01,2022-10-01,2023-09-30,mean,1,paper,6980,0.001792332623153925,8.0
2023-11-01,2022-11-01,2023-10-31,mean,1,paper,6980,0.0025220022071152925,8.0
2023-12-01,2022-12-01,2023-11-30,mean,1,paper,6860,0.0023973931092768908,8.0
2024-01-01,2023-01-01,2023-12-31,mean,1,paper,6833,0.0025842308532446623,14.0
2024-02-01,2023-02-01,2024-01-31,mean,1,paper,6881,0.0019933637231588364,6.0
2024-03-01,2023-03-01,2024-02-29,mean,1,paper,6833,0.0030576903373003006,10.0
2024-04-01,2023-04-01,2024-03-31,mean,1,paper,7565,0.0027972629759460688,4.0
2024-05-01,2023-05-01,2024-04-30,mean,1,paper,7640,0.0024652122519910336,4.0
2024-06-01,2023-06-01,2024-05-31,mean,1,paper,7610,0.0028605901170521975,4.0
2024-07-01,2023-07-01,2024-06-30,mean,1,paper,7710,0.002494328422471881,2.0
2024-08-01,2023-08-01,2024-07-31,mean,1,paper,7897,0.0026551256887614727,4.0
2024-09-01,2023-09-01,2024-08-31,mean,1,paper,7013,0.002657845616340637,14.0
2024-10-01,2023-10-01,2024-09-30,mean,1,paper,7516,0.002830733312293887,6.0
2024-11-01,2023-11-01,2024-10-31,mean,1,paper,9312,0.0029224841855466366,10.0
2024-12-01,2023-12-01,2024-11-30,mean,1,paper,9060,0.003285994054749608,10.0
2025-01-01,2024-01-01,2024-12-31,mean,1,paper,7013,0.0028993100859224796,14.0
2025-02-01,2024-02-01,2025-01-31,mean,1,paper,9450,0.0031219616066664457,9.0
2025-03-01,2024-03-01,2025-02-28,mean,1,paper,9075,0.0022583873942494392,0.0
2025-04-01,2024-04-01,2025-03-31,mean,1,paper,9060,0.001414559781551361,0.0
2025-05-01,2024-05-01,2025-04-30,mean,1,paper,7879,0.002176637062802911,8.0
2025-06-01,2024-06-01,2025-05-31,mean,1,paper,7909,0.002037228085100651,6.0
2025-07-01,2024-07-01,2025-06-30,mean,1,paper,7909,0.0020806826651096344,4.0
2025-08-01,2024-08-01,2025-07-31,mean,1,paper,7948,0.002278087195008993,0.0
2025-09-01,2024-09-01,2025-08-31,mean,1,paper,7963,0.0024813422933220863,4.0
2025-10-01,2024-10-01,2025-09-30,mean,1,paper,7933,0.0023517124354839325,4.0
2025-11-01,2024-11-01,2025-10-31,mean,1,paper,7963,0.002157328650355339,0.0
2025-12-01,2024-12-01,2025-11-30,mean,1,paper,7948,0.0013182718539610505,2.0
2026-01-01,2025-01-01,2025-12-31,mean,1,paper,8681,0.0012680302606895566,2.0
2026-02-01,2025-02-01,2026-01-31,mean,1,paper,7963,0.0008243664633482695,2.0
2026-03-01,2025-03-01,2026-02-28,mean,1,paper,8369,0.0009665470570325851,2.0
2026-04-01,2025-04-01,2026-03-31,mean,1,paper,8668,0.0008820639341138303,4.0
2026-05-01,2025-05-01,2026-04-30,mean,1,paper,8650,0.0008963934378698468,6.0
2026-06-01,2025-06-01,2026-05-31,mean,1,paper,8650,0.0004704511375166476,0.0
2026-07-01,2025-07-01,2026-06-30,mean,1,paper,8650,0.0002879478852264583,2.0
2026-08-01,2025-08-01,2026-07-31,mean,1,paper,9667,0.0001120549495681189,0.0
2023-01-01,2022-01-01,2022-12-31,mean,50,broker,9874;9859;9889;9890;9875;9860;9863;9893;9878;9867;9897;9882;9856;9871;9886;9881;9896;9866;9870;9885;9855;9785;9800;9770;9884;9869;9899;9768;9783;9798;9513;9498;9528;9864;9894;9879;9898;9868;9883;9784;9694;9709;9769;9799;9679;9506;9536;9521;9675;9780,0.000617170357145369,0.0
2023-02-01,2022-02-01,2023-01-31,mean,50,broker,6989;7004;9874;9889;9859;9890;9860;9875;9878;9863;9893;7019;9867;9882;9897;9871;9856;9886;9866;9896;9881;6986;7001;9855;9885;9870;9770;9800;9785;9869;9899;9884;8424;8439;8454;9768;9798;9783;7016;9513;9498;9528;9879;9864;9894;9898;9883;9868;9769;9709,0.0006524644559249282,1.5599999904632567
2023-03-01,2022-03-01,2023-02-28,mean,50,broker,9859;9889;9874;9875;9860;9890;9863;9878;9893;9882;9897;9867;9856;9871;9886;9881;9896;9866;9855;9870;9885;9785;9770;9800;9884;9899;9869;9783;9768;9798;9528;9513;9498;9864;9894;9879;9898;9868;9883;9679;9784;9694;9709;9769;9799;9521;9506;9536;9705;9675,0.000617170357145369,0.0
2023-04-01,2022-04-01,2023-03-31,mean,50,broker,6989;7004;6986;7001;9889;9874;9859;6884;7016;6854;6869;7019;6881;9890;9875;9860;9863;9878;9893;4859;7007;6980;8424;8439;8454;4856;7046;4844;9867;9882;9897;7010;7022;7025;7040;9886;9871;9856;7031;4829;6995;9896;9881;9866;7037;7061;4814;4799;6992;9885,0.0007483294466510415,5.0799999427795415
2023-05-01,2022-05-01,2023-04-30,mean,50,broker,6989;7004;6986;7001;6884;6854;6869;4859;6881;4799;4856;4814;4784;4844;4829;4910;7016;4841;4892;4826;4877;4865;4922;7007;4916;4850;6980;4907;4880;7019;4925;6866;6851;6995;6878;6848;4862;4853;4931;4823;8454;8439;8424;7010;6860;6875;6845;6992;4913;4928,0.0010390060488134623,9.6999995803833
