verdict,market,group,development_return_pct,development_pf,development_win_rate_pct,development_equity_dd_pct,development_trades,locked_return_pct,locked_pf,locked_win_rate_pct,locked_equity_dd_pct,locked_trades,locked_final,locked_net,locked_gross_profit,locked_gross_loss,locked_commission,locked_swap,locked_largest_win,locked_largest_loss,locked_average_win,locked_average_loss,locked_expected_payoff,locked_recovery_factor,locked_sharpe,history_quality,locked_report
REJECT,AMD,Stock,-15.921400000000002,0.68,48.33,20.96,120,26.7676,1.4,52.07,10.18,121,12676.76,2676.76,9288.78,-6612.02,-141.89,-304.56,1783.47,-404.04,147.44,-111.55,22.12,2.2,6.45,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Overnight Cross-Market Research 2026-08-30\Backtest Reports\Locked 2025-2026\amd--locked.htm
REJECT,AVGO,Stock,-2.7022000000000004,0.95,44.25,13.1,113,12.6494,1.28,56.41,5.43,117,11264.94,1264.94,5813.93,-4548.99,-6.91,-143.44,398.42,-248.47,88.09,-89.06,10.81,2.1,11.81,99%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Overnight Cross-Market Research 2026-08-30\Backtest Reports\Locked 2025-2026\avgo--locked.htm
REJECT,NVDA,Stock,-13.788699999999999,0.69,50.46,22.29,109,10.266800000000002,1.33,57.94,5.98,126,11026.68,1026.68,4115.26,-3088.58,-4.98,-159.81,314.17,-187.7,56.37,-58.18,8.15,1.64,4.23,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Overnight Cross-Market Research 2026-08-30\Backtest Reports\Locked 2025-2026\nvda--locked.htm
KEEP CANDIDATE,USTEC,Index control,2.0937,1.16,53.93,4.82,89,6.893599999999999,1.45,57.14,2.82,105,10689.36,689.36,2233.55,-1544.19,-12.69,-141.09,108.79,-105.66,37.23,-34.03,6.57,2.38,2.68,100%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Overnight Cross-Market Research 2026-08-30\Backtest Reports\Locked 2025-2026\ustec--locked.htm
WATCH,US500,Index,3.7429000000000006,1.41,58.24,2.25,91,4.9319999999999995,1.57,64.0,2.21,100,10493.2,493.2,1360.05,-866.85,-18.25,-134.19,75.94,-77.41,21.25,-23.57,4.93,2.19,2.67,100%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Overnight Cross-Market Research 2026-08-30\Backtest Reports\Locked 2025-2026\us500--locked.htm
WATCH,US30,Index,0.2359,1.02,53.47,3.55,101,4.778700000000001,1.67,60.19,2.25,103,10477.87,477.87,1188.71,-710.84,-6.22,-131.04999999999998,126.5,-62.89,19.17,-17.19,4.64,2.1,2.96,100%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Overnight Cross-Market Research 2026-08-30\Backtest Reports\Locked 2025-2026\us30--locked.htm
REJECT,TSLA,Stock,-4.9631,0.91,51.67,14.91,120,4.2063,1.13,57.85,7.28,121,10420.63,420.63,3754.86,-3334.23,-51.01,-119.55,322.42,-320.95,53.64,-64.38,3.48,0.52,1.88,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Overnight Cross-Market Research 2026-08-30\Backtest Reports\Locked 2025-2026\tsla--locked.htm
REJECT,AAPL,Stock,-9.0496,0.59,41.12,12.55,107,2.4192,1.13,58.12,6.68,117,10241.92,241.92,2150.38,-1908.46,-22.88,-154.5,170.52,-363.9,31.62,-38.48,2.07,0.34,1.62,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Overnight Cross-Market Research 2026-08-30\Backtest Reports\Locked 2025-2026\aapl--locked.htm
WATCH,JPM,Stock,1.1501000000000001,1.05,53.1,11.03,113,2.1195,1.11,58.72,5.05,109,10211.95,211.95,2115.13,-1903.18,-62.0,-143.48000000000002,174.61,-137.82,33.05,-40.92,1.94,0.41,5.2,99%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Overnight Cross-Market Research 2026-08-30\Backtest Reports\Locked 2025-2026\jpm--locked.htm
REJECT,AMZN,Stock,-3.7797000000000005,0.89,52.07,12.43,121,1.5233,1.05,52.85,9.85,123,10152.33,152.33,3034.13,-2881.8,-47.77,-158.05,615.23,-372.26,46.68,-48.86,1.24,0.14,0.65,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Overnight Cross-Market Research 2026-08-30\Backtest Reports\Locked 2025-2026\amzn--locked.htm
REJECT,INTC,Stock,-38.42,0.33,32.52,40.28,123,-1.8244,0.97,42.62,23.98,122,9817.56,-182.44,6742.56,-6925.0,-427.65,-251.82,1340.82,-412.38,129.66,-92.82,-1.5,-0.07,-0.53,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Overnight Cross-Market Research 2026-08-30\Backtest Reports\Locked 2025-2026\intc--locked.htm
REJECT,META,Stock,0.7434999999999999,1.03,42.24,13.3,116,-2.9514,0.92,45.31,7.34,128,9704.86,-295.14,3269.18,-3564.32,-39.23,-127.99,471.3,-410.73,56.37,-50.36,-2.31,-0.39,-1.18,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Overnight Cross-Market Research 2026-08-30\Backtest Reports\Locked 2025-2026\meta--locked.htm
REJECT,GOOGL,Stock,-7.4617,0.76,49.55,10.95,111,-4.9588,0.87,40.98,15.45,122,9504.12,-495.88,3238.87,-3734.75,-53.41,-158.63,383.32,-322.48,64.78,-51.13,-4.06,-0.29,-5.0,99%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Overnight Cross-Market Research 2026-08-30\Backtest Reports\Locked 2025-2026\googl--locked.htm
REJECT,MSFT,Stock,0.6359,1.03,45.22,12.51,115,-6.0598,0.75,45.76,7.22,118,9394.02,-605.98,1792.02,-2398.0,-45.12,-137.14,170.08,-320.68,33.19,-36.76,-5.14,-0.83,-3.97,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Overnight Cross-Market Research 2026-08-30\Backtest Reports\Locked 2025-2026\msft--locked.htm
REJECT,NFLX,Stock,-9.0547,0.64,49.02,13.81,102,-24.4604,0.32,34.62,24.95,130,7553.96,-2446.04,1168.1,-3614.14,-441.69,-112.24,84.35,-348.04,25.96,-37.32,-18.82,-0.98,-5.0,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Overnight Cross-Market Research 2026-08-30\Backtest Reports\Locked 2025-2026\nflx--locked.htm
