symbol,broker_symbol,candles,days,status
XAUUSD,XAUUSDm,2546,27,ok
XAGUSD,XAGUSDm,2546,27,ok
EURUSD,EURUSDm,2680,27,ok
BTCUSD,BTCUSDm,3659,31,ok
US30,US30m,2540,27,ok
