prague_day;day_start_balance;minimum_equity;daily_loss_usd;day_end_balance;daily_breach;total_breach
20260720;10000.00;9900.57;99.43;9900.57;0;0
20260721;9900.57;9801.01;99.56;9801.01;0;0
20260722;9801.01;9772.16;28.85;9874.32;0;0
20260723;9874.32;9796.02;78.30;9947.05;0;0
20260724;9947.05;9845.84;101.21;9845.84;0;0
20260727;9845.84;9787.53;58.31;9919.05;0;0
20260728;9919.05;9892.18;26.87;9992.75;0;0
20260729;9992.75;9893.57;99.18;9893.57;0;0
20260730;9893.57;9880.00;13.57;9967.34;0;0
20260731;9967.34;9868.19;99.15;9868.19;0;0
20260803;9868.19;9769.17;99.02;9769.17;0;0
20260804;9769.17;9748.03;21.14;9841.61;0;0
20260805;9841.61;9743.56;98.05;9743.56;0;0
20260806;9743.56;9645.85;97.71;9645.85;0;0
20260807;9645.85;9551.14;94.71;9551.14;0;0
20260810;9551.14;9455.46;95.68;9455.46;0;0
20260811;9455.46;9437.86;17.60;9538.57;0;0
20260812;9538.57;9493.26;45.31;9548.02;0;0
20260813;9548.02;9542.60;5.42;9618.57;0;0
20260814;9618.57;9532.57;86.00;9689.95;0;0
20260817;9689.95;9608.84;81.11;9761.61;0;0
20260818;9761.61;9683.14;78.47;9834.03;0;0
20260819;9834.03;9826.68;7.35;9906.97;0;0
20260820;9906.97;9807.91;99.06;9807.91;0;0
20260821;9807.91;9798.03;9.88;9880.44;0;0
20260824;9880.44;9858.60;21.84;9962.34;0;0
20260825;9962.34;9862.10;100.24;9862.10;0;0
20260826;9862.10;9797.86;64.24;9885.05;0;0
20260827;9885.05;9785.73;99.32;9785.73;0;0
20260828;9785.73;9687.58;98.15;9687.58;0;0
20260831;9687.58;9590.68;96.90;9740.20;0;0
20260901;9740.20;9642.72;97.48;9642.72;0;0
20260902;9642.72;9576.09;66.63;9714.09;0;0
20260903;9714.09;9679.44;34.65;9785.76;0;0
20260904;9785.76;9692.35;93.41;9753.76;0;0
20260907;9753.76;9655.20;98.56;9655.20;0;0
20260908;9655.20;9643.85;11.35;9727.08;0;0
20260909;9727.08;9704.27;22.81;9799.10;0;0
20260910;9799.10;9701.27;97.83;9701.27;0;0
20260911;9701.27;9660.56;40.71;9696.98;0;0
20260914;9696.98;9678.35;18.63;9768.53;0;0
20260915;9768.53;9709.26;59.27;9841.19;0;0
20260916;9841.19;9811.83;29.36;9914.67;0;0
20260917;9914.67;9814.81;99.86;9814.81;0;0
20260918;9814.81;9715.48;99.33;9715.48;0;0
