kind,fast,slow,signal,sl,tp,is_gross_log_return,is_gross_return_pct,is_gross_profit_factor,is_gross_win_rate_pct,is_gross_max_drawdown_pct,is_gross_trades,is_gross_sharpe,is_gross_expected_trade_pct,is_gross_average_win_pct,is_gross_average_loss_pct,is_gross_max_win_streak,is_gross_max_loss_streak,is_gross_long_win_rate_pct,is_gross_short_win_rate_pct,is_net_log_return,is_net_return_pct,is_net_profit_factor,is_net_win_rate_pct,is_net_max_drawdown_pct,is_net_trades,is_net_sharpe,is_net_expected_trade_pct,is_net_average_win_pct,is_net_average_loss_pct,is_net_max_win_streak,is_net_max_loss_streak,is_net_long_win_rate_pct,is_net_short_win_rate_pct,oos_gross_log_return,oos_gross_return_pct,oos_gross_profit_factor,oos_gross_win_rate_pct,oos_gross_max_drawdown_pct,oos_gross_trades,oos_gross_sharpe,oos_gross_expected_trade_pct,oos_gross_average_win_pct,oos_gross_average_loss_pct,oos_gross_max_win_streak,oos_gross_max_loss_streak,oos_gross_long_win_rate_pct,oos_gross_short_win_rate_pct,oos_net_log_return,oos_net_return_pct,oos_net_profit_factor,oos_net_win_rate_pct,oos_net_max_drawdown_pct,oos_net_trades,oos_net_sharpe,oos_net_expected_trade_pct,oos_net_average_win_pct,oos_net_average_loss_pct,oos_net_max_win_streak,oos_net_max_loss_streak,oos_net_long_win_rate_pct,oos_net_short_win_rate_pct
baseline,15,20,16,,,0.062015921130394,6.397928434610697,1.2293098574963426,28.571428571428573,12.020391505352803,35,0.2926389936796219,0.2260602616149284,4.241611715211723,-1.3801603198237897,3,6,41.1764705882353,16.666666666666668,0.05816255402964353,5.988727065472778,1.2164105283396578,28.571428571428573,12.222391189906812,35,0.27838779739705594,0.21502546539314782,4.230188553682302,-1.3910397699225137,3,6,41.1764705882353,16.666666666666668,0.11607057747141676,12.307513313930917,1.5729908242688126,46.666666666666664,9.425344777961028,30,0.5830441864726179,0.4249901117708055,2.5000607759925804,-1.3906967194232476,3,4,53.333333333333336,40.0,0.11313050909173362,11.977806463078021,1.555874665837716,46.666666666666664,9.507526350159957,30,0.5696932639960277,0.4151337799613953,2.4898834634731024,-1.400272193111348,3,4,53.333333333333336,40.0
baseline,15,20,17,,,0.07416336355936393,7.698273085821847,1.266593864216708,28.571428571428573,11.799951582196238,35,0.33709241978884186,0.2611297126532789,4.342217420272694,-1.371305370394487,3,6,41.1764705882353,16.666666666666668,0.07030970850578586,7.284039760293481,1.253313535292903,28.571428571428573,11.857484943421673,35,0.32288036536541787,0.25009026529923606,4.330780428441537,-1.3821857999576843,3,6,41.1764705882353,16.666666666666668,0.10942706528183489,11.563869917367228,1.5350057768067333,43.333333333333336,9.425344777961023,30,0.5584120676099306,0.4018214235514195,2.6604955273463444,-1.3253999499388174,3,4,53.333333333333336,33.333333333333336,0.10640464550419036,11.227186126633473,1.5177457646920869,43.333333333333336,9.507526350159964,30,0.5444929425706303,0.391693122559584,2.649758678867218,-1.3350628910874296,3,4,53.333333333333336,33.333333333333336
baseline,15,20,18,,,0.08111149399461179,8.44918041497688,1.2893055012344559,33.333333333333336,11.799951582196263,39,0.3636060398635715,0.2520451996939467,3.3697588999020383,-1.306811650410099,3,6,42.10526315789474,25.0,0.0768151083642063,7.984240410580673,1.274298323687762,30.76923076923077,11.857484943421674,39,0.3477149850264654,0.2410009213870083,3.6387315988880413,-1.269101601946784,3,6,36.8421052631579,25.0,0.10578519120109457,11.15830730341035,1.564186361311828,42.857142857142854,11.308205610837806,28,0.5584623265356774,0.4145989898436211,2.682075113581328,-1.286008102959659,3,4,50.0,35.714285714285715,0.1029856132125043,10.847546156038106,1.5464307298574684,42.857142857142854,11.408297259531938,28,0.54508280153125,0.4045451470311402,2.6714013259758893,-1.2955969871774213,3,4,50.0,35.714285714285715
baseline,15,20,19,,,0.13326423332248621,14.255185872209383,1.498988980181447,27.272727272727273,10.134783935914285,33,0.5466573622152866,0.4586900587366919,5.052406016572195,-1.2639534254516216,3,6,37.5,17.647058823529413,0.12962339677494322,13.8399577632547,1.4827646804392793,27.272727272727273,10.193465858281671,33,0.5335113539527202,0.4476064646888817,5.040858702769763,-1.2748631245914492,3,6,37.5,17.647058823529413,0.11598147326792652,12.297506688233934,1.631418434786713,42.857142857142854,11.724550129964838,28,0.597809124919633,0.4525562818097159,2.728333722790373,-1.254276798925777,3,4,50.0,35.714285714285715,0.11318191892790407,11.98356337174261,1.6126985124932274,42.857142857142854,11.824170877364022,28,0.5847002646529186,0.44249772044521524,2.717654119140538,-1.2638695785762764,3,4,50.0,35.714285714285715
baseline,15,20,20,,,0.18209409455812092,19.972707635808717,1.7348054155969153,32.25806451612903,7.643352638214919,31,0.7243392049526941,0.6464154318072568,4.7309878246234875,-1.2986190409623768,3,4,40.0,25.0,0.17867301549822595,19.562972785236187,1.7161565091160946,32.25806451612903,7.703757061352791,31,0.7119763739011681,0.6353083619696559,4.7194915596186116,-1.3095407797679421,3,4,40.0,25.0,0.11239789104109128,11.895799544334269,1.7023000774119892,46.15384615384615,9.544659852784566,26,0.6529259138852789,0.4639849142397092,2.436740967480537,-1.2269488456809998,2,3,61.53846153846154,30.76923076923077,0.10981602314103563,11.60727200161814,1.6819292663791872,46.15384615384615,9.626744716645165,26,0.639096900802124,0.4539926800593146,2.426103646542087,-1.2363881483544896,2,3,61.53846153846154,30.76923076923077
baseline,15,20,21,,,0.15760973483472548,17.07092185158725,1.6182105427625484,32.25806451612903,7.643352638214935,31,0.6324140533565983,0.5676922966637652,4.6065237447165845,-1.355560773837577,3,4,40.0,25.0,0.15418957183370666,16.67120415565443,1.601286581708214,32.25806451612903,7.703757061352799,31,0.6201270815336545,0.5565966275052444,4.595045504591301,-1.3664742663452583,3,4,40.0,25.0,0.04806701199218785,4.924096469598806,1.2537103760742307,34.61538461538461,11.967799165864994,26,0.29586682474201964,0.21815252488317202,3.1142256223042883,-1.315062644339772,2,6,46.15384615384615,23.076923076923077,0.04548769512451092,4.653812701337281,1.2403629763632738,34.61538461538461,12.047586117543474,26,0.2824521605927643,0.20819699371456094,3.103748438310071,-1.3247420063654147,2,6,46.15384615384615,23.076923076923077
baseline,15,20,22,,,0.14699974360313212,15.835366603156533,1.616845467073984,34.48275862068966,7.258504481182043,29,0.6011335844947561,0.568126734481178,4.318524224888025,-1.4057666815224257,2,3,50.0,20.0,0.1437957844803843,15.464828734658711,1.6001180147540501,34.48275862068966,7.299107768324664,29,0.589446899266189,0.5570155710525956,4.307057646494183,-1.4166907844429772,2,3,50.0,20.0,0.06955757825251668,7.203378525976634,1.3779543521900421,37.5,10.024742638987075,24,0.40576093946902314,0.326514217335259,3.174434049840438,-1.3822376821678484,2,4,50.0,25.0,0.06720101320362813,6.951044228888197,1.3640319998374262,37.5,10.08630059446222,24,0.3936259611104252,0.3166474469815501,3.163950792183471,-1.3917345601396025,2,4,50.0,25.0
baseline,15,20,23,,,0.15399491856026656,16.648495934035868,1.6464127336478585,37.93103448275862,7.258504481182057,29,0.624997786608471,0.5928785881870761,3.9810707170867903,-1.4776832683627494,2,3,50.0,26.666666666666668,0.15077589116190368,16.27360494555066,1.6295757285103554,37.93103448275862,7.299107768324668,29,0.6133039400504964,0.5817113487493175,3.96953303164852,-1.4886241241335287,2,3,50.0,26.666666666666668,0.07882747762619811,8.201763371615455,1.4355184985305862,46.15384615384615,7.977039724028109,26,0.47406460094983166,0.3339246681581139,2.384749640700943,-1.4239253083071683,2,3,61.53846153846154,30.76923076923077,0.07624715432962087,7.922927738605695,1.4197483105482913,46.15384615384615,8.029754584852821,26,0.4600595753487198,0.3239539173214116,2.3740930768541215,-1.433308219420911,2,3,61.53846153846154,30.76923076923077
baseline,15,20,24,,,0.15749335966523126,17.057298495939463,1.6640519679018606,37.93103448275862,7.258504481182057,29,0.6373767548744669,0.6051050415348794,3.9976144024490368,-1.4680951234682167,2,3,50.0,26.666666666666668,0.15427433226686846,16.68109367657029,1.646973391992994,37.93103448275862,7.299107768324668,29,0.6256924282105019,0.5939364504835668,3.986074899613907,-1.479037046207197,2,3,50.0,26.666666666666668,0.06358367162789015,6.564864662832141,1.3556405739256376,41.666666666666664,8.868340152620464,24,0.3898149763014215,0.2981122606453668,2.7272461405939996,-1.4369833678893709,2,3,58.333333333333336,25.0,0.061227423746973327,6.314067013039283,1.341646267513504,41.666666666666664,8.930689278633547,24,0.3770410008654689,0.28825133386350593,2.7167139556247064,-1.4463648245373517,2,3,58.333333333333336,25.0
baseline,15,20,25,,,0.1602263517621548,17.377652731012066,1.6742343565541247,41.37931034482759,7.258504481182055,29,0.647172760396242,0.6146621965414049,3.6885750674709894,-1.5551586535265371,3,3,50.0,33.333333333333336,0.1570068551351705,17.000363440648655,1.6573506007094576,41.37931034482759,7.29910776832466,29,0.6354911533355581,0.6034910596424181,3.6770955769402693,-1.5661121290384186,3,3,50.0,33.333333333333336,0.07200580310426938,7.466158041892395,1.3596668169328805,38.46153846153846,7.629772620343409,26,0.39103407912300253,0.31726777190527833,3.1183972143253946,-1.4334381296072944,1,3,53.84615384615385,23.076923076923077,0.06942546390016324,7.1892163565860905,1.346054751456155,38.46153846153846,7.692969131373653,26,0.3788440196642667,0.3073006370889074,3.107811843183819,-1.4430188667204127,1,3,53.84615384615385,23.076923076923077
