EA,Chart,Setting,Net profit,Profit factor,Trades,Largest historical deal loss,Standalone equity DD
Range Breakout,USDJPY M5,$245 fixed money risk,7892.36,1.16,403,-292.94,9 367.01 (8.23%)
Go Long,US30 D1,0.50 fixed lot; stop loss disabled,5670.87,1.2,409,-1108.85,3 534.34 (3.48%)
Turnaround Tuesday,UT100 D1,0.24 fixed lot; stop loss disabled,1330.52,2.14,47,-166.98,542.84 (0.54%)
ATR Candle Breakout,XAUUSD H1,$146 fixed money risk,2951.16,1.14,193,-146.28,3 713.25 (3.66%)
