symbol,broker_symbol,timeframe,confirmation,pivot_len,atr_sl_mult,rr,session,trades,wins,losses,win_rate,start_balance,final_balance,profit,return_pct,max_drawdown_pct,profit_factor,avg_r,avg_lot,avg_actual_risk,max_trades_per_day,risk_mode,fixed_lot,risk_usd_cap,risk_usd_offset
EURJPY,EURJPY..,M5,EMA,3,1.2,1.0/2.0/3.0,NY_OPEN,222,104,118,46.85,10000.0,4491.64,-5508.36,-55.08,72.88,0.82,-0.068,2.355,258.17,2,RISK_PERCENT,0.01,12.0,0.5
USDSGD,USDSGD..,M5,EMA,3,1.2,1.0/1.5/2.0,ALL,514,251,262,48.83,10000.0,3601.66,-6398.34,-63.98,89.36,0.9,-0.029,3.923,238.66,2,RISK_PERCENT,0.01,12.0,0.5
