prague_day;start_balance;min_equity;daily_loss_usd;end_balance;max_margin_usd
2026.07.19;10000.00;10000.00;0.00;10000.00;0.00
2026.07.20;10000.00;9887.92;112.08;9887.92;1201.79
2026.07.21;9887.92;9887.92;0.00;9887.92;0.00
2026.07.22;9887.92;9887.92;0.00;9887.92;0.00
2026.07.23;9887.92;9849.27;38.65;9870.83;674.52
2026.07.24;9870.83;9870.83;0.00;9870.83;0.00
2026.07.27;9870.83;9870.83;0.00;9870.83;0.00
2026.07.28;9870.83;9870.83;0.00;9870.83;0.00
2026.07.29;9870.83;9868.90;1.93;9869.42;1470.02
2026.07.30;9869.42;9869.42;0.00;9869.42;0.00
2026.07.31;9869.42;9869.42;0.00;9869.42;0.00
2026.08.03;9869.42;9869.42;0.00;9869.42;0.00
2026.08.04;9869.42;9869.42;0.00;9869.42;0.00
2026.08.05;9869.42;9853.15;16.27;10123.96;981.39
2026.08.06;10123.96;10123.96;0.00;10123.96;0.00
2026.08.07;10123.96;10063.71;60.25;10124.95;579.15
2026.08.10;10124.95;10102.84;22.11;10421.18;1014.01
2026.08.11;10421.18;10421.18;0.00;10421.18;0.00
2026.08.12;10421.18;10296.75;124.43;10296.75;885.54
2026.08.13;10296.75;10296.75;0.00;10296.75;0.00
2026.08.14;10296.75;10296.75;0.00;10296.75;0.00
2026.08.17;10296.75;10296.75;0.00;10296.75;0.00
2026.08.18;10296.75;10296.75;0.00;10296.75;0.00
2026.08.19;10296.75;10296.75;0.00;10296.75;0.00
2026.08.20;10296.75;10296.75;0.00;10296.75;0.00
2026.08.21;10296.75;10296.75;0.00;10296.75;0.00
2026.08.24;10296.75;10296.75;0.00;10296.75;0.00
2026.08.25;10296.75;10296.75;0.00;10296.75;0.00
2026.08.26;10296.75;10296.75;0.00;10296.75;0.00
2026.08.27;10296.75;10296.75;0.00;10296.75;0.00
2026.08.28;10296.75;10272.46;24.29;10295.63;1382.93
2026.08.31;10295.63;10295.63;0.00;10295.63;0.00
2026.09.01;10295.63;10295.63;0.00;10295.63;0.00
2026.09.02;10295.63;10295.63;0.00;10295.63;0.00
2026.09.03;10295.63;10286.47;9.16;10294.32;897.14
2026.09.04;10294.32;10205.95;88.37;10304.25;591.19
2026.09.07;10304.25;10304.25;0.00;10304.25;0.00
2026.09.08;10304.25;10304.25;0.00;10304.25;0.00
2026.09.09;10304.25;10304.25;0.00;10304.25;0.00
2026.09.10;10304.25;10304.25;0.00;10304.25;0.00
2026.09.11;10304.25;10304.25;0.00;10304.25;0.00
2026.09.14;10304.25;10190.23;114.02;10190.23;999.09
2026.09.15;10190.23;10190.23;0.00;10190.23;0.00
2026.09.16;10190.23;10190.23;0.00;10190.23;0.00
2026.09.17;10190.23;10076.35;113.88;10076.35;729.56
2026.09.18;10076.35;10076.35;0.00;10076.35;0.00
