bot,symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,take_profit,exit_price,result,r_multiple,setup_score,spread_r,spread_points,atr,reason,balance_before,risk_amount,pnl,balance_after
NewsPulse,BTCUSD,M1,2026-05,2026-05-26 14:00:00,2026-05-26 14:01:00,SELL,77093.78,77203.31,76874.72,77203.31,loss,-1.1278,79,0.1278,1400.0,107.852857,News straddle sell pulse around 10:00 NY.,300.0,15.0,-16.92,283.08
NewsPulse,US30,M1,2026-05,2026-05-26 14:00:00,2026-05-26 14:02:00,SELL,50653.3,50709.7,50540.5,50709.7,loss,-1.0408,88,0.0408,23.0,35.364286,News straddle sell pulse around 10:00 NY.,283.08,14.15,-14.73,268.35
NewsPulse,XAGUSD,M1,2026-05,2026-05-26 14:00:00,2026-05-26 14:03:00,SELL,75.878,76.072,75.49,76.072,loss,-1.1546,77,0.1546,30.0,0.127143,News straddle sell pulse around 10:00 NY.,268.35,13.42,-15.49,252.86
NewsPulse,BTCUSD,M1,2026-05,2026-05-26 18:00:00,2026-05-26 18:19:00,SELL,75869.71,76015.87,75577.39,76015.87,loss,-1.0958,82,0.0958,1400.0,70.427143,News straddle sell pulse around 14:00 NY.,252.86,12.64,-13.85,239.01
Grid,BTCUSD,M15,2026-05,2026-05-27 03:45:00,2026-05-27 04:30:00,BUY,75544.38,75341.365071,75828.6009,75341.365071,loss,-1.069,81,0.069,1400.0,150.381429,Range grid buy at lower Bollinger band.,239.01,11.95,-12.77,226.23
NewsPulse,BTCUSD,M1,2026-05,2026-05-27 12:30:00,2026-05-27 12:47:00,BUY,75810.48,75659.19,76113.06,75659.19,loss,-1.0925,83,0.0925,1400.0,112.703571,News straddle buy pulse around 08:30 NY.,226.23,11.31,-12.36,213.87
NewsPulse,EURUSD,M1,2026-05,2026-05-27 12:30:00,2026-05-27 12:44:00,BUY,1.16591,1.16539,1.16695,1.16539,loss,-1.1538,77,0.1538,8.0,0.000599,News straddle buy pulse around 08:30 NY.,213.87,10.69,-12.34,201.53
NewsPulse,US30,M1,2026-05,2026-05-27 12:30:00,2026-05-27 12:32:00,BUY,50653.0,50620.5,50718.0,50620.5,loss,-1.0708,85,0.0708,23.0,39.557143,News straddle buy pulse around 08:30 NY.,201.53,10.08,-10.79,190.74
NewsPulse,BTCUSD,M1,2026-05,2026-05-27 14:00:00,2026-05-27 14:05:00,BUY,75005.31,74893.13,75229.67,75005.31,trail_stop,0.3752,80,0.1248,1400.0,86.007143,News straddle buy pulse around 10:00 NY.,190.74,9.54,3.58,194.32
Grid,US30,M15,2026-05,2026-05-28 02:30:00,2026-05-28 03:30:00,BUY,50682.7,50636.693929,50747.1085,50636.693929,loss,-1.0456,83,0.0456,21.0,34.078571,Range grid buy at lower Bollinger band.,194.32,9.72,-10.16,184.16
NewsPulse,BTCUSD,M1,2026-05,2026-05-28 12:30:00,2026-05-28 12:30:00,BUY,73385.43,73289.59,73577.11,73289.59,loss,-1.1461,77,0.1461,1400.0,47.312143,News straddle buy pulse around 08:30 NY.,184.16,9.21,-10.55,173.61
NewsPulse,US30,M1,2026-05,2026-05-28 14:00:00,2026-05-28 14:04:00,SELL,50582.2,50614.7,50517.2,50517.2,win,1.4354,86,0.0646,21.0,26.064286,News straddle sell pulse around 10:00 NY.,173.61,8.68,12.46,186.07
NewsPulse,BTCUSD,M1,2026-05,2026-05-28 18:00:00,2026-05-28 18:02:00,SELL,73402.9,73489.26,73230.18,73489.26,loss,-1.1621,76,0.1621,1400.0,43.702857,News straddle sell pulse around 14:00 NY.,186.07,9.3,-10.81,175.26
Grid,BTCUSD,M15,2026-05,2026-05-29 02:15:00,2026-05-29 02:30:00,BUY,73287.58,73061.644964,73603.88905,73287.58,trail_stop,0.438,82,0.062,1400.0,167.359286,Range grid buy at lower Bollinger band.,175.26,8.76,3.84,179.1
