starting_balance,ending_balance,net_profit,return_pct,trades,wins,losses,win_rate,net_r,avg_spread_r,max_drawdown_pct,bot,symbol
300.0,380.13,80.13,26.71,9,8,1,88.89,4.9,0.0445,5.35,Grid,BTCUSD
300.0,370.6,70.6,23.53,4,4,0,100.0,4.36,0.0859,0.0,Grid,XAGUSD
300.0,309.04,9.04,3.01,1,1,0,100.0,0.6,0.1515,0.0,NewsPulse,XAUUSD
300.0,283.16,-16.84,-5.61,1,0,1,0.0,-1.12,0.1229,5.61,Grid,EURUSD
300.0,258.67,-41.33,-13.78,4,1,3,25.0,-2.87,0.0926,13.78,Grid,US30
300.0,241.15,-58.85,-19.62,5,1,4,20.0,-4.23,0.1456,19.62,NewsPulse,EURUSD
300.0,192.79,-107.21,-35.74,18,6,12,33.33,-8.29,0.1299,41.24,NewsPulse,XAGUSD
300.0,144.8,-155.2,-51.73,42,18,24,42.86,-13.53,0.0842,52.56,NewsPulse,US30
300.0,107.4,-192.6,-64.2,43,15,28,34.88,-19.36,0.114,68.47,NewsPulse,BTCUSD
