starting_balance,ending_balance,net_profit,return_pct,trades,wins,losses,win_rate,net_r,avg_spread_r,max_drawdown_pct,bot
300.0,382.15,82.15,27.38,18,13,5,72.22,5.26,0.0688,10.29,Grid
300.0,27.59,-272.41,-90.8,109,41,68,37.61,-44.81,0.1069,92.38,NewsPulse
