period,cost_mode,strategy,return_pct,annualized_return_pct,profit_factor,win_rate_pct,max_drawdown_pct,sharpe,recovery_factor,trades,average_trade_bps,days
5y,gross,Tokyo,5.338296833017099,1.016374849275355,1.0393511754973914,50.33253858702472,6.003329312744931,0.38126908056780645,0.8892227220792328,15938,0.23670324152527342,1296
5y,gross,Europe,10.631120352511621,1.9823748798571863,1.048777785329314,50.63608447703203,4.747659334086485,0.4487192554218833,2.2392340318489166,15957,0.4662977236890433,1297
5y,gross,All,16.524724121500572,3.0136387574083225,1.045139788217221,50.48440194387835,6.952866148745085,0.5832887582468481,2.376678015653027,31895,0.35156886785815555,1298
5y,half_spread,Tokyo,-9.156667372411203,-1.8499970797793726,0.9347588467593175,48.19299786673359,12.725038207295668,-0.6644515239566572,-0.719578772436329,15938,-0.41340107650771796,1296
5y,half_spread,Europe,-3.9011889245420233,-0.7701797044700728,0.9846428341683978,49.332581312276744,7.112434417423941,-0.14458836212342088,-0.5485026216881447,15957,-0.15146863305642053,1297
5y,half_spread,All,-12.708955684476194,-2.604347862031671,0.9651447191250069,48.76312901708732,13.868933367768154,-0.468390274985864,-0.9163614351203254,31895,-0.28235683759402136,1298
5y,full_spread,Tokyo,-21.653707307096866,-4.634239480138043,0.841347150597357,45.8338561927469,22.410356455665536,-1.7059668573367548,-0.9662366303692871,15938,-1.0632534674324887,1296
5y,full_spread,Europe,-16.52071141263457,-3.447576689451627,0.9245753888271487,48.060412358212695,16.71868324326252,-0.7369488692549284,-0.9881586469611633,15957,-0.7689767419971344,1297
5y,full_spread,All,-34.60192938925684,-7.914153584706556,0.8915888978634592,46.94779746041699,34.6019293892568,-1.5191545073465513,-1.0000000000000009,31895,-0.9160274537070787,1298
3y,gross,Tokyo,0.3289140197343712,0.10683162921810473,1.005664007373492,49.65451259700223,4.707210849611332,0.05448911984219806,0.0698745032340179,9407,0.03230464028541532,775
3y,gross,Europe,4.166426534105823,1.3361459880133717,1.0376555485310848,50.86674465596086,4.747659334086462,0.35567063366552865,0.8775748723570792,9403,0.32237440634311165,775
3y,gross,All,4.506060249641606,1.4415896457493398,1.024860956467781,50.26049973418395,6.952866148745063,0.3269641746403479,0.6480867247034396,18810,0.17730868123387458,776
3y,half_spread,Tokyo,-7.249381193508501,-2.417330719109476,0.907909862203562,47.84734771978314,7.919125386338399,-0.9425794787914382,-0.9154269998066579,9407,-0.552095339135205,775
3y,half_spread,Europe,-3.1956201798744264,-1.0505003989131858,0.9747128335169241,49.76071466553228,7.112434417423952,-0.2476651684874913,-0.44930047749134056,9403,-0.2232710507727817,775
3y,half_spread,All,-10.216215945625667,-3.4390829536197307,0.9476904144321378,48.803827751196174,11.824093311900041,-0.7185831203200982,-0.8640168574569546,18810,-0.3877181576640797,776
3y,full_spread,Tokyo,-14.253689147703803,-4.877282775694486,0.8200764011118151,45.57244605081323,14.809060318721423,-1.9363815328644416,-0.9624978790642423,9407,-1.1363157467782563,775
3y,full_spread,Europe,-10.035806696732578,-3.3803986754985984,0.9156453736599913,48.63341486759545,11.745354830144649,-0.8510107857892077,-0.8544490006360227,9403,-0.7687484509127657,775
3y,full_spread,All,-22.86151937247807,-8.08378020159023,0.8765159319843917,47.10260499734184,24.05154193207156,-1.7633622713567558,-0.9505219847045792,18810,-0.9525711809609672,776
1y,gross,Tokyo,-1.8961623034571025,-1.8453905096975771,0.9164903162631753,49.100599600266484,3.511337820799243,-0.8497642997256146,-0.5400113575587273,3002,-0.43978308690132045,259
1y,gross,Europe,-1.2592361166083357,-1.2254121017278388,0.9651948076686969,48.85267708679748,4.747659334086462,-0.33187059245710615,-0.2652330396933663,3007,-0.2790728202061663,259
1y,gross,All,-3.1289151018673036,-3.0456510713829346,0.9459065631550699,48.9765351972042,6.952866148745073,-0.6971653654792037,-0.4500180263691748,6009,-0.3593610912360969,259
1y,half_spread,Tokyo,-3.848428431563853,-3.7463903336537188,0.8349687508125192,47.56828780812791,4.6116740488902686,-1.7474769194157314,-0.8344970591514205,3002,-0.9084702015531985,259
1y,half_spread,Europe,-2.881721548464648,-2.8049399895369476,0.9191724804543326,47.85500498836049,5.420720549216473,-0.7885501908862217,-0.5316122685721514,3007,-0.664717278036839,259
1y,half_spread,All,-6.61665325219922,-6.44371606306707,0.8854428017232507,47.711765684806124,8.675819095300085,-1.5255864564434773,-0.7626545896725337,6009,-0.786492328194288,259
1y,full_spread,Tokyo,-5.761581270095893,-5.61031623293845,0.7610496617225403,45.40306462358428,6.235264602210522,-2.637844940452852,-0.9240315588296446,3002,-1.3770741181739556,259
1y,full_spread,Europe,-4.4773670412024105,-4.359034277134393,0.8755581864189167,46.79082141669438,6.389292090675081,-1.244809486075188,-0.7007610510931173,3007,-1.0503032796020249,259
1y,full_spread,All,-9.978352983058988,-9.72223047068638,0.8291415342389211,46.09752038608754,10.631014880437363,-2.3528060523597567,-0.9386077524376937,6009,-1.213552748297804,259
