year,strategy,return_pct,annualized_return_pct,profit_factor,win_rate_pct,max_drawdown_pct,sharpe,recovery_factor,trades,average_trade_bps,days
2021,Tokyo,-0.2676627285147393,-0.7645784732713395,0.9663772792599223,50.27223230490018,0.8508206076452751,-0.36300530174880646,-0.314593612460235,1102,-0.1672442293755131,88
2021,Europe,-2.8516406998698107,-7.950855602646188,0.7946304055586532,45.289855072463766,3.119830378502453,-2.5302271179872444,-0.9140370962214377,1104,-1.8217125510822096,88
2021,All,-3.1140123553074104,-8.660965560308384,0.8562648465972375,47.77878513145966,3.230382552157862,-2.360946628205037,-0.9639763418197272,2206,-0.995228375868801,88
2022,Tokyo,-0.13961964748226458,-0.13584870780203845,0.997598955845331,48.672839506172835,4.928611385405068,-0.023257731869156476,-0.028328394463340234,3240,-0.018338010624183405,259
2022,Europe,-5.189511530570803,-5.033923555294785,0.920303124884623,45.97418561770129,5.586113800099357,-0.7718359996730182,-0.9290021142208917,3254,-1.105259519478419,260
2022,All,-5.317219219447566,-5.157907472481597,0.9476774833858743,47.320603634123806,7.643599112614751,-0.6963205886271953,-0.6956433927404954,6494,-0.5629703773953079,260
2023,Tokyo,-10.44865538809848,-10.181156358868577,0.6809198285856599,41.71339563862929,10.460385166310338,-3.8924673525334974,-0.9988786475808141,3210,-2.3979841040562744,259
2023,Europe,-1.2630699087291153,-1.2291435575888894,0.9740700492167342,50.280373831775705,3.8660298616067568,-0.257285186963436,-0.3267098170328597,3210,-0.2564380791038699,259
2023,All,-11.587892767497573,-11.293106548187831,0.8474903919912984,45.99688473520249,12.185564883479948,-2.3992602217031083,-0.9509524489264635,6420,-1.327211091580072,259
2024,Tokyo,-4.932402680845169,-4.8023486987178945,0.818400785654633,45.87070832044541,5.840555596269392,-1.9106023204373146,-0.84450915662813,3233,-1.0876641393754272,259
2024,Europe,-0.4375140124392496,-0.42408062870704516,0.9902748755394822,49.41358024691358,5.0876761814738325,-0.09561765208124356,-0.08599486225801965,3240,-0.08000104660513023,260
2024,All,-5.3500686193593685,-5.1897998630806,0.9179508507066794,47.64405994129461,9.110541161522246,-1.1605280070600912,-0.5872393883642194,6473,-0.5832877419436704,260
2025,Tokyo,-3.226862678229038,-3.141034633600633,0.8931106699794611,46.353015472055574,5.581501052029902,-1.149279704276526,-0.5781352808408913,3167,-0.716389411011495,259
2025,Europe,-3.759443418010859,-3.673640686446706,0.9173005963988063,49.55668144395187,6.931098821821157,-0.8305080850311131,-0.54240222433058,3158,-0.8264190873537732,258
2025,All,-6.865775848727888,-6.686563261604643,0.9075731941301292,47.952569169960476,8.280333017286367,-1.311445372920356,-0.8291666330804098,6325,-0.7713259671994658,259
2026,Tokyo,-4.516179465248842,-6.546664763473806,0.7288048945825658,44.51158106747231,5.699326262565052,-2.975805009269044,-0.792405848900512,1986,-1.6211797922709132,172
2026,Europe,-4.202669578518735,-6.096760975512954,0.8331953823467684,44.851833249623304,6.08896238279788,-1.670820787907825,-0.690211125362152,1991,-1.4920520524778902,172
2026,All,-8.527275556824122,-12.24179853874712,0.7914407637098023,44.68192104601458,10.366660504480773,-2.8357071990929326,-0.8225672629231356,3977,-1.5565347508004812,172
