business_date,symbol,group,leg,usd_direction,quote_direction,entry_utc,exit_utc,entry_bid,exit_bid,entry_spread_price,exit_spread_price,cost_mode,return_pct
2021-09-01,EURUSD,Tokyo,Tokyo post-fix,short USD,long,2021-09-01T00:55:00+00:00,2021-09-01T06:00:00+00:00,1.1802,1.1799,5e-05,5e-05,gross,-0.02541942043721157
2021-09-01,EURUSD,Tokyo,Tokyo post-fix,short USD,long,2021-09-01T00:55:00+00:00,2021-09-01T06:00:00+00:00,1.1802,1.1799,5e-05,5e-05,half_spread,-0.027537122158904914
2021-09-01,EURUSD,Tokyo,Tokyo post-fix,short USD,long,2021-09-01T00:55:00+00:00,2021-09-01T06:00:00+00:00,1.1802,1.1799,5e-05,5e-05,full_spread,-0.029654734166495444
2021-09-01,GBPUSD,Tokyo,Tokyo post-fix,short USD,long,2021-09-01T00:55:00+00:00,2021-09-01T06:00:00+00:00,1.37381,1.37422,5e-05,5e-05,gross,0.029844010452673153
2021-09-01,GBPUSD,Tokyo,Tokyo post-fix,short USD,long,2021-09-01T00:55:00+00:00,2021-09-01T06:00:00+00:00,1.37381,1.37422,5e-05,5e-05,half_spread,0.028023743753813335
2021-09-01,GBPUSD,Tokyo,Tokyo post-fix,short USD,long,2021-09-01T00:55:00+00:00,2021-09-01T06:00:00+00:00,1.37381,1.37422,5e-05,5e-05,full_spread,0.02620354330133967
2021-09-01,USDJPY,Tokyo,Tokyo post-fix,short USD,short,2021-09-01T00:55:00+00:00,2021-09-01T06:00:00+00:00,110.174,110.219,0.005,0.005,gross,-0.040827806458043625
2021-09-01,USDJPY,Tokyo,Tokyo post-fix,short USD,short,2021-09-01T00:55:00+00:00,2021-09-01T06:00:00+00:00,110.174,110.219,0.005,0.005,half_spread,-0.043095040441276655
2021-09-01,USDJPY,Tokyo,Tokyo post-fix,short USD,short,2021-09-01T00:55:00+00:00,2021-09-01T06:00:00+00:00,110.174,110.219,0.005,0.005,full_spread,-0.04536217157786737
2021-09-01,AUDUSD,Tokyo,Tokyo post-fix,short USD,long,2021-09-01T00:55:00+00:00,2021-09-01T06:00:00+00:00,0.73097,0.7324,7.000000000000001e-05,7.000000000000001e-05,gross,0.19563046363051395
2021-09-01,AUDUSD,Tokyo,Tokyo post-fix,short USD,long,2021-09-01T00:55:00+00:00,2021-09-01T06:00:00+00:00,0.73097,0.7324,7.000000000000001e-05,7.000000000000001e-05,half_spread,0.19083316803578665
2021-09-01,AUDUSD,Tokyo,Tokyo post-fix,short USD,long,2021-09-01T00:55:00+00:00,2021-09-01T06:00:00+00:00,0.73097,0.7324,7.000000000000001e-05,7.000000000000001e-05,full_spread,0.18603633180127588
2021-09-01,NZDUSD,Tokyo,Tokyo post-fix,short USD,long,2021-09-01T00:55:00+00:00,2021-09-01T06:00:00+00:00,0.70369,0.70483,7.000000000000001e-05,7.000000000000001e-05,gross,0.16200315479826255
2021-09-01,NZDUSD,Tokyo,Tokyo post-fix,short USD,long,2021-09-01T00:55:00+00:00,2021-09-01T06:00:00+00:00,0.70369,0.70483,7.000000000000001e-05,7.000000000000001e-05,half_spread,0.15702156382109145
2021-09-01,NZDUSD,Tokyo,Tokyo post-fix,short USD,long,2021-09-01T00:55:00+00:00,2021-09-01T06:00:00+00:00,0.70369,0.70483,7.000000000000001e-05,7.000000000000001e-05,full_spread,0.15204046834147444
2021-09-01,USDCHF,Tokyo,Tokyo post-fix,short USD,short,2021-09-01T00:55:00+00:00,2021-09-01T06:00:00+00:00,0.91637,0.91825,6.000000000000001e-05,6.000000000000001e-05,gross,-0.20473727198475622
2021-09-01,USDCHF,Tokyo,Tokyo post-fix,short USD,short,2021-09-01T00:55:00+00:00,2021-09-01T06:00:00+00:00,0.91637,0.91825,6.000000000000001e-05,6.000000000000001e-05,half_spread,-0.2079975606568807
2021-09-01,USDCHF,Tokyo,Tokyo post-fix,short USD,short,2021-09-01T00:55:00+00:00,2021-09-01T06:00:00+00:00,0.91637,0.91825,6.000000000000001e-05,6.000000000000001e-05,full_spread,-0.21125763631016925
2021-09-01,USDCAD,Tokyo,Tokyo post-fix,short USD,short,2021-09-01T00:55:00+00:00,2021-09-01T06:00:00+00:00,1.26356,1.2614,7.000000000000001e-05,7.000000000000001e-05,gross,0.17123830664340645
2021-09-01,USDCAD,Tokyo,Tokyo post-fix,short USD,short,2021-09-01T00:55:00+00:00,2021-09-01T06:00:00+00:00,1.26356,1.2614,7.000000000000001e-05,7.000000000000001e-05,half_spread,0.16845893763848263
2021-09-01,USDCAD,Tokyo,Tokyo post-fix,short USD,short,2021-09-01T00:55:00+00:00,2021-09-01T06:00:00+00:00,1.26356,1.2614,7.000000000000001e-05,7.000000000000001e-05,full_spread,0.16567972286301025
2021-09-01,EURUSD,Europe,ECB pre-fix,long USD,short,2021-09-01T06:00:00+00:00,2021-09-01T12:15:00+00:00,1.1799,1.18167,5e-05,5e-05,gross,-0.14978801188149093
2021-09-01,EURUSD,Europe,ECB pre-fix,long USD,short,2021-09-01T06:00:00+00:00,2021-09-01T12:15:00+00:00,1.1799,1.18167,5e-05,5e-05,half_spread,-0.15190044808516268
2021-09-01,EURUSD,Europe,ECB pre-fix,long USD,short,2021-09-01T06:00:00+00:00,2021-09-01T12:15:00+00:00,1.1799,1.18167,5e-05,5e-05,full_spread,-0.15401279490913078
2021-09-01,GBPUSD,Europe,ECB pre-fix,long USD,short,2021-09-01T06:00:00+00:00,2021-09-01T12:15:00+00:00,1.37422,1.37613,5e-05,5e-05,gross,-0.1387950266326654
2021-09-01,GBPUSD,Europe,ECB pre-fix,long USD,short,2021-09-01T06:00:00+00:00,2021-09-01T12:15:00+00:00,1.37422,1.37613,5e-05,5e-05,half_spread,-0.1406091610320126
2021-09-01,GBPUSD,Europe,ECB pre-fix,long USD,short,2021-09-01T06:00:00+00:00,2021-09-01T12:15:00+00:00,1.37422,1.37613,5e-05,5e-05,full_spread,-0.1424232295194061
2021-09-01,USDJPY,Europe,ECB pre-fix,long USD,long,2021-09-01T06:00:00+00:00,2021-09-01T12:15:00+00:00,110.219,110.329,0.005,0.005,gross,0.09980130467523995
2021-09-01,USDJPY,Europe,ECB pre-fix,long USD,long,2021-09-01T06:00:00+00:00,2021-09-01T12:15:00+00:00,110.219,110.329,0.005,0.005,half_spread,0.09753088099870855
2021-09-01,USDJPY,Europe,ECB pre-fix,long USD,long,2021-09-01T06:00:00+00:00,2021-09-01T12:15:00+00:00,110.219,110.329,0.005,0.005,full_spread,0.09526056031354813
2021-09-01,AUDUSD,Europe,ECB pre-fix,long USD,short,2021-09-01T06:00:00+00:00,2021-09-01T12:15:00+00:00,0.7324,0.73446,7.000000000000001e-05,7.000000000000001e-05,gross,-0.2804781744410789
2021-09-01,AUDUSD,Europe,ECB pre-fix,long USD,short,2021-09-01T06:00:00+00:00,2021-09-01T12:15:00+00:00,0.7324,0.73446,7.000000000000001e-05,7.000000000000001e-05,half_spread,-0.2852299879508968
2021-09-01,AUDUSD,Europe,ECB pre-fix,long USD,short,2021-09-01T06:00:00+00:00,2021-09-01T12:15:00+00:00,0.7324,0.73446,7.000000000000001e-05,7.000000000000001e-05,full_spread,-0.28998134861747404
2021-09-01,NZDUSD,Europe,ECB pre-fix,long USD,short,2021-09-01T06:00:00+00:00,2021-09-01T12:15:00+00:00,0.70483,0.70437,7.000000000000001e-05,7.000000000000001e-05,gross,0.06530658602721395
2021-09-01,NZDUSD,Europe,ECB pre-fix,long USD,short,2021-09-01T06:00:00+00:00,2021-09-01T12:15:00+00:00,0.70483,0.70437,7.000000000000001e-05,7.000000000000001e-05,half_spread,0.06033460864132145
