asset,symbol,version,net_profit,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe,recovery_factor,expected_payoff,history_quality,commission,swap
XAU,XAUUSD,baseline-raw-locked,1403.25,14.0325,1.22,54.89,9.59,133,3.58,1.28,10.55,98%,-147.78,-37.91
XAU,XAUUSD,optimized-locked,690.0,6.9,1.54,63.16,4.28,38,8.89,1.47,18.16,98%,-53.78,0.0
XAU,XAUUSD,optimized-latest-1y,-42.15,-0.4215,0.8,62.5,2.84,8,-0.54,-0.15,-5.27,99%,-3.76,0.0
XAU,XAUUSD,optimized-full-5y,2550.26,25.502600000000005,1.84,63.16,4.3,76,13.08,4.6,33.56,98%,-166.47,0.0
XAG,XAGUSD,baseline-raw-locked,-1364.0,-13.639999999999999,0.67,51.69,14.45,89,-5.0,-0.94,-15.33,98%,-363.6,-9.55
XAG,XAGUSD,optimized-locked,-559.68,-5.5968,0.68,67.24,7.68,58,-5.0,-0.72,-9.65,98%,-147.89,-9.14
XAG,XAGUSD,optimized-latest-1y,-120.29,-1.2029,0.81,72.0,4.04,25,-3.76,-0.29,-4.81,99%,-36.66,-2.08
XAG,XAGUSD,optimized-full-5y,-301.65,-3.0164999999999997,0.89,70.0,9.69,90,-1.99,-0.29,-3.35,98%,-290.96,-28.24
BTC,BTCUSD,baseline-raw-locked,-999.21,-9.9921,0.92,49.82,25.78,271,-1.29,-0.38,-3.69,100%,-366.96,-44.58
BTC,BTCUSD,optimized-locked,330.0,3.3000000000000003,1.34,56.67,5.71,30,3.47,0.56,11.0,100%,-26.88,0.0
BTC,BTCUSD,optimized-latest-1y,130.39,1.3038999999999998,1.66,71.43,1.83,7,0.93,0.7,18.63,100%,-7.93,0.0
BTC,BTCUSD,optimized-full-5y,1846.21,18.4621,1.78,58.33,7.49,60,7.27,2.4,30.77,100%,-113.92,0.0
US100,USTEC,baseline-raw-locked,-2328.44,-23.284399999999998,0.65,49.64,35.29,137,-5.0,-0.59,-17.0,99%,-209.6,-8.53
US100,USTEC,optimized-locked,-529.25,-5.2925,0.46,65.85,6.97,41,-5.0,-0.75,-12.91,99%,-10.79,-2.9
US100,USTEC,optimized-latest-1y,-394.09,-3.9409,0.26,61.11,5.42,18,-5.0,-0.72,-21.89,100%,-3.96,0.0
US100,USTEC,optimized-full-5y,-8.46,-0.08460000000000001,0.99,77.03,6.99,74,-0.12,-0.01,-0.11,98%,-27.18,-7.29
