case,mode,variant,period,history_quality_pct,bars,ticks,initial_balance,final_balance,net_profit,return_pct,gross_profit,gross_loss,profit_factor,equity_dd_amount,equity_dd_maximal_pct,equity_dd_relative_amount,equity_dd_pct,trades,wins,losses,win_rate,largest_win,largest_loss,average_win,average_loss,commission,swap,score,status,report,graph
current__literal-fixed,current,literal-fixed,M1 (2026.08.01 - 2026.08.31),100.0,27671,6177245,10000.0,144100.34,134100.34,1341.0034,249152.85,-115052.51,2.17,1253.14,0.88,1253.14,0.88,20774,9736,11038,46.87,824.91,-902.19,25.59,-8.71,-18916.420000001435,-72.17,1347.4306716755239,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU M1 OCO Reel Reconstruction Research 2026-09-01\Backtest Reports\August\current__literal-fixed.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU M1 OCO Reel Reconstruction Research 2026-09-01\Backtest Reports\August\current__literal-fixed.png
previous__fixed-dollar,previous,fixed-dollar,M1 (2026.08.01 - 2026.08.31),100.0,27671,6177245,10000.0,71953.61,61953.61,619.5361,131886.48,-69932.87,1.89,686.01,1.16,141.89,1.38,13446,6311,7135,46.94,397.01,-157.79,20.9,-8.71,-7812.6200000005,-40.72,623.8318682907155,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU M1 OCO Reel Reconstruction Research 2026-09-01\Backtest Reports\August\previous__fixed-dollar.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU M1 OCO Reel Reconstruction Research 2026-09-01\Backtest Reports\August\previous__fixed-dollar.png
