case,mode,variant,period,history_quality_pct,bars,ticks,initial_balance,final_balance,net_profit,return_pct,gross_profit,gross_loss,profit_factor,equity_dd_amount,equity_dd_maximal_pct,equity_dd_relative_amount,equity_dd_pct,trades,wins,losses,win_rate,largest_win,largest_loss,average_win,average_loss,commission,swap,score,status,report,graph
current__literal-fixed,current,literal-fixed,M1 (2026.07.01 - 2026.08.31),100.0,59003,12906269,10000.0,736394.19,726394.19,7263.941899999999,1478085.16,-751690.97,1.97,2296.1,0.7,815.33,1.5,43226,20012,23214,46.3,1683.5,-1611.05,73.86,-27.16,-121233.07999999763,-406.21000000000004,7268.472235427498,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU M1 OCO Reel Reconstruction Research 2026-09-01\Backtest Reports\Locked\current__literal-fixed.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU M1 OCO Reel Reconstruction Research 2026-09-01\Backtest Reports\Locked\current__literal-fixed.png
previous__fixed-dollar,previous,fixed-dollar,M1 (2026.07.01 - 2026.08.31),100.0,59003,12906269,10000.0,330247.72,320247.72,3202.4772,721715.07,-401467.35,1.8,2979.6,1.06,1048.23,2.35,27946,12833,15113,45.92,1726.1,-752.56,56.24,-23.64,-44206.599999998754,-233.52,3204.830066649021,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU M1 OCO Reel Reconstruction Research 2026-09-01\Backtest Reports\Locked\previous__fixed-dollar.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU M1 OCO Reel Reconstruction Research 2026-09-01\Backtest Reports\Locked\previous__fixed-dollar.png
