threshold_bps,session_mask,weekdays,trend_days,stop_atr,target_r,management,return_pct,cagr_pct,profit_factor,win_rate_pct,max_drawdown_pct,sharpe,recovery,trades,expectancy_r,average_risk_pct,max_win_streak,max_loss_streak,stop_pct,target_pct,time_exit_pct
2.5,6,no-monday,0,1.0,0.75,none,0.3360111409949962,0.338097371529944,1.0043891541170133,57.714285714285715,14.381574811461572,0.0711864319705361,0.023364001884356084,175,0.004088130212162301,0.9876124459185907,8,5,41.714285714285715,57.14285714285714,1.1428571428571428
0.0,6,no-monday,0,1.5,0.75,none,-14.002297954472166,-14.082669794648195,0.8267246857200223,52.513966480446925,20.85004967141121,-1.0821075408856586,-0.6715714434806158,179,-0.08058918057003867,0.9999831809600043,9,7,45.2513966480447,50.27932960893855,4.4692737430167595
2.5,6,no-monday,50,1.0,0.0,none,16.46749184949716,16.577592649175976,1.202680409624464,30.701754385964914,14.358460926634443,0.6309958481832433,1.1468841913934202,114,0.16031719614475323,0.9814441316063137,3,9,66.66666666666666,0.0,33.33333333333333
2.5,6,no-monday,0,1.5,0.0,none,-13.752962783997692,-13.832021376557746,0.8636490402045042,34.285714285714285,22.71549523419005,-0.5515288053983309,-0.6054441095036099,175,-0.07381315975221446,0.9999827965248043,4,13,61.142857142857146,0.0,38.857142857142854
2.5,6,no-monday,50,1.5,0.75,none,-4.193029817875605,-4.21846363492916,0.9179193810141476,55.26315789473685,11.63732792034413,-0.35668432491675295,-0.3603086418614568,114,-0.033933592773429944,0.9999735911564979,8,5,42.98245614035088,53.50877192982456,3.508771929824561
2.5,6,no-monday,0,1.0,0.0,none,7.663379097700629,7.712665933479013,1.0627961637176573,29.142857142857142,23.27300365022793,0.3388163969004957,0.32928191018547687,175,0.063740700052081,0.9876124459185907,3,14,68.57142857142857,0.0,31.428571428571427
2.5,6,no-monday,50,1.5,0.0,none,-5.89106019865101,-5.926471049783933,0.915379956219743,34.21052631578947,15.670577896289595,-0.22397339808194036,-0.37593126671134874,114,-0.04101262153306606,0.9999735911564979,4,8,61.40350877192983,0.0,38.59649122807017
0.0,6,no-monday,50,1.0,0.75,none,7.373901261161153,7.4212629028012955,1.152063613332779,61.016949152542374,6.09762670079953,0.713049161236489,1.2093067717960293,118,0.06146296535532016,0.9820731440942353,8,5,38.13559322033898,60.16949152542372,1.694915254237288
2.5,6,no-monday,50,1.0,0.75,none,6.080558628602617,6.119378462657776,1.1288019862953327,60.526315789473685,6.791393441395743,0.5965565120420863,0.895332994778309,114,0.052871943925913496,0.9814441316063137,8,5,38.59649122807017,59.64912280701754,1.7543859649122806
2.5,6,no-monday,0,1.5,0.75,none,-15.045164561017943,-15.130980206601553,0.8105691355055349,52.0,21.646240861121402,-1.1722828633402067,-0.6950474522364025,175,-0.08947970776163444,0.9999827965248043,8,7,45.714285714285715,49.714285714285715,4.571428571428571
0.0,6,no-monday,0,1.5,0.0,none,-12.026040639590397,-12.095880947822735,0.8823984136988767,35.19553072625698,22.42469355251443,-0.45864834081761285,-0.5362856179696576,179,-0.060951776700723326,0.9999831809600043,4,13,60.33519553072626,0.0,39.66480446927375
0.0,6,no-monday,0,1.0,0.75,none,1.5593157923577294,1.5690564066657808,1.0199978799785165,58.10055865921788,13.744303018961467,0.16226566186493466,0.11345179091340732,179,0.01084162620950859,0.9878892627695719,8,5,41.340782122905026,57.54189944134078,1.1173184357541899
0.0,6,no-monday,50,1.0,0.0,none,17.700106030606655,17.819060032988297,1.2148592241492748,31.35593220338983,13.87509035333604,0.6568215474748351,1.2756750103865775,118,0.16417452288307685,0.9820731440942353,4,9,66.10169491525424,0.0,33.89830508474576
0.0,6,no-monday,50,1.5,0.75,none,-3.016947381119761,-3.0353607537031535,0.9423602674048349,55.932203389830505,10.739431229971197,-0.24496803045961377,-0.2809224545058009,118,-0.02233003423662635,0.9999744863715317,9,5,42.3728813559322,54.23728813559322,3.389830508474576
0.0,6,no-monday,50,1.5,0.0,none,-4.00671938677336,-4.031047024601897,0.943511800955337,35.59322033898305,15.353268005557908,-0.12361169269048793,-0.2609685042508814,118,-0.02261444006408029,0.9999744863715317,4,8,60.16949152542372,0.0,39.83050847457627
0.0,6,no-monday,0,1.0,0.0,none,8.802816426989747,8.859728233712838,1.0718247896579132,29.608938547486037,22.839947768533875,0.36912382566068147,0.3854131592681313,179,0.06844165278667808,0.9878892627695719,4,14,68.15642458100558,0.0,31.843575418994412
