stage,score,threshold_bps,session_mask,weekdays,trend_days,stop_atr,target_r,management,train_return_pct,train_cagr_pct,train_profit_factor,train_win_rate_pct,train_max_drawdown_pct,train_sharpe,train_recovery,train_trades,train_expectancy_r,train_average_risk_pct,train_max_win_streak,train_max_loss_streak,train_stop_pct,train_target_pct,train_time_exit_pct,validation_return_pct,validation_cagr_pct,validation_profit_factor,validation_win_rate_pct,validation_max_drawdown_pct,validation_sharpe,validation_recovery,validation_trades,validation_expectancy_r,validation_average_risk_pct,validation_max_win_streak,validation_max_loss_streak,validation_stop_pct,validation_target_pct,validation_time_exit_pct
signal,2.8309647288159425,0.0,1,all,0,3.0,0.0,none,11.148164963217821,3.601819367509096,1.118284371889549,48.242811501597444,9.130173772564499,0.40142600313590837,1.2210244011693663,313,0.036525855994482985,0.9996008186944408,8,11,16.61341853035144,0.0,83.38658146964856,13.875039144272572,13.966786556303322,1.3065673943075633,54.83870967741935,7.402886079541071,1.134846651976748,1.874274302642346,124,0.10871604395960499,1.0,6,6,25.0,0.0,75.0
signal,-9715.0,0.0,1,all,20,3.0,0.0,none,5.837578637141072,1.9704449427627058,1.1116165186717006,47.368421052631575,5.252673272320818,0.29503276463181255,1.1113538448893132,190,0.032165555942919435,0.9993424013229472,6,7,13.684210526315791,0.0,86.31578947368422,9.872214530180191,9.936350365730618,1.283285638224149,52.63157894736842,9.261370632078913,0.9364169500490505,1.0659561011396606,95,0.1030738441759528,1.0,5,6,24.210526315789473,0.0,75.78947368421053
signal,-9705.0,0.0,1,all,50,3.0,0.0,none,7.212290315167702,2.5251057754156925,1.1445816229055594,48.64864864864865,5.966155349821611,0.3673046321608125,1.2088673345361935,185,0.039945522074615374,0.9993246283857294,6,7,13.513513513513514,0.0,86.48648648648648,11.42214515297355,11.496866251885617,1.2743171574246648,53.63636363636364,8.411470506050367,0.9847627207105372,1.3579248889665139,110,0.10243092568232716,0.9999999999999999,6,6,26.36363636363636,0.0,73.63636363636363
signal,-9677.0,0.0,1,all,100,3.0,0.0,none,9.234876376836976,3.4729796103277977,1.1639331465985265,48.24120603015075,6.683101832464455,0.4539394613336921,1.3818248783785971,199,0.047241754590543916,0.9999999999999999,6,7,16.08040201005025,0.0,83.91959798994975,13.875039144272572,13.966786556303322,1.3065673943075633,54.83870967741935,7.402886079541071,1.134846651976748,1.874274302642346,124,0.10871604395960499,1.0,6,6,25.0,0.0,75.0
signal,-9694.0,0.0,1,all,200,3.0,0.0,none,0.13101396713697255,0.07382589823476948,1.0025552523281165,47.25274725274725,8.451148714004297,0.03812254844572601,0.015502504046564803,182,0.00274893482603231,0.9993134958865934,6,7,17.032967032967033,0.0,82.96703296703298,13.875039144272572,13.966786556303322,1.3065673943075633,54.83870967741935,7.402886079541071,1.134846651976748,1.874274302642346,124,0.10871604395960499,1.0,6,6,25.0,0.0,75.0
signal,2.8309647288159425,0.0,1,no-monday,0,3.0,0.0,none,11.148164963217821,3.601819367509096,1.118284371889549,48.242811501597444,9.130173772564499,0.40142600313590837,1.2210244011693663,313,0.036525855994482985,0.9996008186944408,8,11,16.61341853035144,0.0,83.38658146964856,13.875039144272572,13.966786556303322,1.3065673943075633,54.83870967741935,7.402886079541071,1.134846651976748,1.874274302642346,124,0.10871604395960499,1.0,6,6,25.0,0.0,75.0
signal,-9715.0,0.0,1,no-monday,20,3.0,0.0,none,5.837578637141072,1.9704449427627058,1.1116165186717006,47.368421052631575,5.252673272320818,0.29503276463181255,1.1113538448893132,190,0.032165555942919435,0.9993424013229472,6,7,13.684210526315791,0.0,86.31578947368422,9.872214530180191,9.936350365730618,1.283285638224149,52.63157894736842,9.261370632078913,0.9364169500490505,1.0659561011396606,95,0.1030738441759528,1.0,5,6,24.210526315789473,0.0,75.78947368421053
signal,-9705.0,0.0,1,no-monday,50,3.0,0.0,none,7.212290315167702,2.5251057754156925,1.1445816229055594,48.64864864864865,5.966155349821611,0.3673046321608125,1.2088673345361935,185,0.039945522074615374,0.9993246283857294,6,7,13.513513513513514,0.0,86.48648648648648,11.42214515297355,11.496866251885617,1.2743171574246648,53.63636363636364,8.411470506050367,0.9847627207105372,1.3579248889665139,110,0.10243092568232716,0.9999999999999999,6,6,26.36363636363636,0.0,73.63636363636363
signal,-9677.0,0.0,1,no-monday,100,3.0,0.0,none,9.234876376836976,3.4729796103277977,1.1639331465985265,48.24120603015075,6.683101832464455,0.4539394613336921,1.3818248783785971,199,0.047241754590543916,0.9999999999999999,6,7,16.08040201005025,0.0,83.91959798994975,13.875039144272572,13.966786556303322,1.3065673943075633,54.83870967741935,7.402886079541071,1.134846651976748,1.874274302642346,124,0.10871604395960499,1.0,6,6,25.0,0.0,75.0
signal,-9694.0,0.0,1,no-monday,200,3.0,0.0,none,0.13101396713697255,0.07382589823476948,1.0025552523281165,47.25274725274725,8.451148714004297,0.03812254844572601,0.015502504046564803,182,0.00274893482603231,0.9993134958865934,6,7,17.032967032967033,0.0,82.96703296703298,13.875039144272572,13.966786556303322,1.3065673943075633,54.83870967741935,7.402886079541071,1.134846651976748,1.874274302642346,124,0.10871604395960499,1.0,6,6,25.0,0.0,75.0
signal,-9681.0,0.0,1,no-friday,0,3.0,0.0,none,-5.424435746501466,-1.8498059800813649,0.9226770905957249,46.75324675324675,12.651500111215896,-0.2033403593035243,-0.42875830524575953,231,-0.02159768496490351,0.9994591179712553,7,10,19.047619047619047,0.0,80.95238095238095,3.537297668068762,3.559608760535582,1.109785384468521,51.13636363636363,9.121023711596854,0.3919463557980868,0.38781805419180004,88,0.043180012161284344,0.9999999999999999,5,7,27.27272727272727,0.0,72.72727272727273
signal,-9796.0,0.0,1,no-friday,20,3.0,0.0,none,0.4069835173431846,0.13978598626438465,1.0099815556213,46.715328467153284,5.656911171496826,0.04373595484132092,0.07194447729598984,137,0.0053018824609790925,0.9990880018347444,6,5,15.328467153284672,0.0,84.67153284671532,1.1778959038157177,1.1852400093050885,1.0450185104065377,46.26865671641791,9.60523601673825,0.1633803563945876,0.12263060499118357,67,0.021451515335971123,1.0,4,13,28.35820895522388,0.0,71.64179104477611
signal,-9788.0,0.0,1,no-friday,50,3.0,0.0,none,-0.06808997539063943,-0.024387549575899392,0.9982472389552247,47.40740740740741,6.487196533381923,0.017584541228647603,-0.010496055582756113,135,0.0016804423330380389,0.9990744907508148,6,5,14.814814814814813,0.0,85.18518518518519,0.7933559840726856,0.798293055993371,1.0270281928444203,48.05194805194805,10.110893873860494,0.11779803720433446,0.07846546447527593,77,0.014013296508793079,1.0,5,7,28.57142857142857,0.0,71.42857142857143
signal,-9767.0,0.0,1,no-friday,100,3.0,0.0,none,4.920620118623975,1.8738885530489524,1.1137701894433911,48.275862068965516,6.610688637050122,0.2873068828549577,0.7443430463576782,145,0.03616785210301916,1.0,6,10,17.24137931034483,0.0,82.75862068965517,3.537297668068762,3.559608760535582,1.109785384468521,51.13636363636363,9.121023711596854,0.3919463557980868,0.38781805419180004,88,0.043180012161284344,0.9999999999999999,5,7,27.27272727272727,0.0,72.72727272727273
signal,-9779.0,0.0,1,no-friday,200,3.0,0.0,none,-2.840212239958484,-1.659219955149649,0.9307100499716584,45.86466165413533,8.079640843657875,-0.18999373281927456,-0.351527041228313,133,-0.019618357818105326,0.9990605733184962,6,10,18.796992481203006,0.0,81.203007518797,3.537297668068762,3.559608760535582,1.109785384468521,51.13636363636363,9.121023711596854,0.3919463557980868,0.38781805419180004,88,0.043180012161284344,0.9999999999999999,5,7,27.27272727272727,0.0,72.72727272727273
