policy,bot,symbol,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
dynamic_aggressive,LTA,AUDUSD,201,6,82,109,4,2.99,14.45,0.072,1.16,5.37
dynamic_aggressive,LTA,GBPJPY,244,13,124,105,2,5.33,-32.18,-0.132,0.77,5.4
dynamic_aggressive,LTA,USDCAD,227,6,104,115,2,2.64,-50.58,-0.223,0.63,5.48
dynamic_aggressive,ORB,AUDUSD,238,17,98,122,1,7.14,12.84,0.054,1.1,5.29
dynamic_aggressive,ORB,GBPUSD,234,2,108,124,0,0.85,-31.81,-0.136,0.76,5.57
dynamic_aggressive,ORB,NZDUSD,241,12,96,131,2,4.98,-59.82,-0.248,0.61,5.33
dynamic_aggressive,ORB,USDCAD,233,10,97,126,0,4.29,-53.09,-0.228,0.62,5.63
dynamic_aggressive,ORB,USDCHF,237,9,101,127,0,3.8,-59.97,-0.253,0.6,5.42
dynamic_balanced,LTA,AUDUSD,201,11,82,104,4,5.47,14.24,0.071,1.15,4.15
dynamic_balanced,LTA,GBPJPY,244,17,123,102,2,6.97,-35.52,-0.146,0.75,4.21
dynamic_balanced,LTA,USDCAD,227,11,104,110,2,4.85,-49.77,-0.219,0.64,4.34
dynamic_balanced,ORB,AUDUSD,238,27,97,112,2,11.34,6.91,0.029,1.06,4.09
dynamic_balanced,ORB,GBPUSD,234,13,109,111,1,5.56,-29.81,-0.127,0.78,4.28
dynamic_balanced,ORB,NZDUSD,241,26,100,113,2,10.79,-70.75,-0.294,0.56,4.1
dynamic_balanced,ORB,USDCAD,233,16,93,124,0,6.87,-44.46,-0.191,0.67,4.29
dynamic_balanced,ORB,USDCHF,237,14,104,118,1,5.91,-73.24,-0.309,0.53,4.11
dynamic_capped,LTA,AUDUSD,201,12,82,106,1,5.97,13.3,0.066,1.14,4.15
dynamic_capped,LTA,GBPJPY,244,19,123,101,1,7.79,-32.41,-0.133,0.77,4.21
dynamic_capped,LTA,USDCAD,227,13,112,102,0,5.73,-63.14,-0.278,0.57,4.34
dynamic_capped,ORB,AUDUSD,238,29,100,108,1,12.18,2.9,0.012,1.02,4.09
dynamic_capped,ORB,GBPUSD,234,10,106,117,1,4.27,-24.69,-0.106,0.81,4.28
dynamic_capped,ORB,NZDUSD,241,25,101,114,1,10.37,-64.59,-0.268,0.59,4.1
dynamic_capped,ORB,USDCAD,233,12,96,125,0,5.15,-53.69,-0.23,0.61,4.29
dynamic_capped,ORB,USDCHF,237,17,101,118,1,7.17,-58.14,-0.245,0.61,4.11
dynamic_conservative,LTA,AUDUSD,201,36,82,79,4,17.91,19.16,0.095,1.21,2.89
dynamic_conservative,LTA,GBPJPY,244,32,125,86,1,13.11,-42.03,-0.172,0.71,2.89
dynamic_conservative,LTA,USDCAD,227,29,104,92,2,12.78,-49.14,-0.216,0.64,2.98
dynamic_conservative,ORB,AUDUSD,238,63,99,76,0,26.47,4.55,0.019,1.04,2.63
dynamic_conservative,ORB,GBPUSD,234,45,101,88,0,19.23,-3.89,-0.017,0.97,2.78
dynamic_conservative,ORB,NZDUSD,241,54,107,80,0,22.41,-70.02,-0.291,0.57,2.64
dynamic_conservative,ORB,USDCAD,233,36,95,102,0,15.45,-41.89,-0.18,0.68,2.79
dynamic_conservative,ORB,USDCHF,237,39,103,95,0,16.46,-64.98,-0.274,0.56,2.65
dynamic_score,LTA,AUDUSD,201,22,82,93,4,10.95,14.74,0.073,1.16,4.08
dynamic_score,LTA,GBPJPY,244,24,123,95,2,9.84,-36.52,-0.15,0.74,4.14
dynamic_score,LTA,USDCAD,227,15,104,106,2,6.61,-49.27,-0.217,0.64,4.21
dynamic_score,ORB,AUDUSD,238,15,97,124,2,6.3,15.41,0.065,1.12,5.46
dynamic_score,ORB,GBPUSD,234,2,109,122,1,0.85,-33.81,-0.144,0.75,5.65
dynamic_score,ORB,NZDUSD,241,9,100,129,3,3.73,-69.76,-0.289,0.57,5.41
dynamic_score,ORB,USDCAD,233,10,93,129,1,4.29,-38.24,-0.164,0.72,5.59
dynamic_score,ORB,USDCHF,237,5,104,126,2,2.11,-73.49,-0.31,0.53,5.44
fixed_current,LTA,AUDUSD,201,2,82,113,4,1.0,13.34,0.066,1.14,6.0
fixed_current,LTA,GBPJPY,244,8,122,112,2,3.28,-33.01,-0.135,0.77,6.0
fixed_current,LTA,USDCAD,227,5,104,116,2,2.2,-52.3,-0.23,0.62,6.0
fixed_current,ORB,AUDUSD,238,14,99,124,1,5.88,6.45,0.027,1.05,6.0
fixed_current,ORB,GBPUSD,234,43,106,85,0,18.38,-22.98,-0.098,0.83,3.0
fixed_current,ORB,NZDUSD,241,47,97,96,1,19.5,-83.33,-0.346,0.52,3.0
fixed_current,ORB,USDCAD,233,6,97,130,0,2.58,-82.23,-0.353,0.49,6.0
fixed_current,ORB,USDCHF,237,44,103,90,0,18.57,-79.79,-0.337,0.52,3.0
