policy,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
dynamic_aggressive,1855,75,810,959,11,4.04,-260.17,-0.14,0.76,5.44
dynamic_balanced,1855,135,812,894,14,7.28,-282.39,-0.152,0.74,4.2
dynamic_capped,1855,137,821,891,6,7.39,-280.46,-0.151,0.74,4.2
dynamic_conservative,1855,334,816,698,7,18.01,-248.23,-0.134,0.76,2.78
dynamic_score,1855,102,812,924,17,5.5,-270.93,-0.146,0.75,5.02
fixed_current,1855,169,810,866,10,9.11,-333.86,-0.18,0.71,4.85
