policy,bot,symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,final_rr,exit_price,result,r_multiple,setup_score,atr,spread_r,spread_points,atr_percentile,session_metric,stop_mode,rr_mode,entry_model,balance_before,risk_amount,pnl,balance_after
dynamic_score,ORB,USDCAD,M15,2025-07,2025-07-27 23:15:00,2025-07-27 23:30:00,SELL,1.36956,1.369923,6.0,1.369923,loss,-1.4132,100,0.000519,0.4132,15.0,0.4167,0.5592,"max(structure,0.70ATR)",score,ORB 15m breakout,147.48,7.37,-10.42,137.06
dynamic_score,LTA,AUDUSD,M15,2025-07,2025-07-28 02:15:00,2025-07-28 03:30:00,BUY,0.65739,0.65661,3.0,0.65661,loss,-1.1154,93,0.000472,0.1154,9.0,0.6146,,"max(structure,1.00ATR)",score,Entry Model 1 - Double Wick Confirmation + Entry Model 3 - Confirmation of Internal Structure,137.06,6.85,-7.64,129.42
dynamic_score,LTA,AUDUSD,M15,2025-07,2025-07-28 06:00:00,2025-07-28 07:30:00,SELL,0.65591,0.65682,3.0,0.65318,win,1.9011,90,0.000401,0.0989,9.0,0.3229,,"max(structure,0.80ATR)",score,Entry Model 1 - Double Wick Confirmation,129.42,6.47,12.3,141.72
dynamic_score,ORB,AUDUSD,M15,2025-07,2025-07-28 23:15:00,2025-07-29 00:15:00,SELL,0.65233,0.652547,6.0,0.651897,trail_stop,1.0844,100,0.000271,0.4156,9.0,0.5,0.7018,"max(structure,0.80ATR)",score,ORB 15m breakout,141.72,7.09,7.68,149.4
dynamic_score,ORB,GBPUSD,M15,2025-07,2025-07-28 23:15:00,2025-07-28 23:30:00,SELL,1.33589,1.336181,6.0,1.33589,trail_stop,0.1564,100,0.000416,0.3436,10.0,0.0729,0.5533,"max(structure,0.70ATR)",score,ORB 15m breakout,149.4,7.47,1.17,150.57
dynamic_score,ORB,NZDUSD,M15,2025-07,2025-07-28 23:15:00,2025-07-29 00:15:00,SELL,0.59716,0.59736,6.0,0.59696,trail_stop,0.1521,100,0.000286,0.8479,17.0,0.0729,0.5237,"max(structure,0.70ATR)",score,ORB 15m breakout,150.57,7.53,1.15,151.71
dynamic_score,LTA,USDCAD,M15,2025-07,2025-07-29 00:00:00,2025-07-29 02:15:00,BUY,1.3739,1.3732,3.0,1.3732,loss,-1.2143,91,0.000313,0.2143,15.0,0.0208,,"max(structure,0.80ATR)",score,Entry Model 2 - Internal Swing Confirmation,151.71,7.59,-9.21,142.5
dynamic_score,LTA,AUDUSD,M15,2025-07,2025-07-29 03:00:00,2025-07-29 05:45:00,SELL,0.6525,0.65302,5.0,0.6525,trail_stop,0.3269,96,0.000443,0.1731,9.0,0.4479,,"max(structure,0.80ATR)",score,Entry Model 1 - Double Wick Confirmation,142.5,7.13,2.33,144.83
dynamic_score,ORB,NZDUSD,M15,2025-07,2025-07-29 23:15:00,2025-07-30 00:00:00,SELL,0.59523,0.59543,6.0,0.59543,loss,-1.85,100,0.000224,0.85,17.0,0.0104,0.8946,"max(structure,0.80ATR)",score,ORB 15m breakout,144.83,7.24,-13.4,131.44
dynamic_score,ORB,USDCAD,M15,2025-07,2025-07-29 23:15:00,2025-07-30 00:00:00,BUY,1.3773,1.37693,6.0,1.37693,loss,-1.4054,100,0.000411,0.4054,15.0,0.25,0.9009,"max(structure,0.80ATR)",score,ORB 15m breakout,131.44,6.57,-9.24,122.2
dynamic_score,ORB,USDCHF,M15,2025-07,2025-07-29 23:15:00,2025-07-29 23:45:00,BUY,0.80567,0.805477,6.0,0.805477,loss,-1.6234,100,0.000275,0.6234,12.0,0.5,0.5091,"max(structure,0.70ATR)",score,ORB 15m breakout,122.2,6.11,-9.92,112.28
dynamic_score,ORB,GBPUSD,M15,2025-07,2025-07-30 23:15:00,2025-07-31 00:15:00,BUY,1.32531,1.32474,6.0,1.32474,loss,-1.1755,100,0.000712,0.1755,10.0,0.2604,0.7021,"max(structure,0.80ATR)",score,ORB 15m breakout,112.28,5.61,-6.6,105.68
