policy,bot,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
dynamic_aggressive,LTA,672,25,310,329,8,3.72,-68.31,-0.102,0.82,5.42
dynamic_aggressive,ORB,1183,50,500,630,3,4.23,-191.86,-0.162,0.73,5.45
dynamic_balanced,LTA,672,39,309,316,8,5.8,-71.05,-0.106,0.81,4.24
dynamic_balanced,ORB,1183,96,503,578,6,8.11,-211.34,-0.179,0.7,4.17
dynamic_capped,LTA,672,44,317,309,2,6.55,-82.25,-0.122,0.78,4.24
dynamic_capped,ORB,1183,93,504,582,4,7.86,-198.21,-0.168,0.72,4.17
dynamic_conservative,LTA,672,97,311,257,7,14.43,-72.01,-0.107,0.81,2.92
dynamic_conservative,ORB,1183,237,505,441,0,20.03,-176.23,-0.149,0.74,2.7
dynamic_score,LTA,672,61,309,294,8,9.08,-71.05,-0.106,0.81,4.15
dynamic_score,ORB,1183,41,503,630,9,3.47,-199.89,-0.169,0.72,5.51
fixed_current,LTA,672,15,308,341,8,2.23,-71.97,-0.107,0.81,6.0
fixed_current,ORB,1183,154,502,525,2,13.02,-261.89,-0.221,0.66,4.19
