symbol,range_minutes,rr,month,date,opened_at,closed_at,direction,entry,stop_loss,take_profit,exit_price,result,r_multiple,spread_r,spread_points,pnl,range_high,range_low,range_atr,risk_per_lot,lot_min,lot_max,lot_step,setup_score
XAUUSD,30,1.1111111111111112,2025-12,2025-12-30,2025-12-30 08:30:00,2025-12-30 08:30:00,SELL,4351.837,4353.637,4349.837,4353.637,loss,-1.0889,0.0889,160.0,-180.0,4374.008,4351.837,2.6453,180.0,0.01,200.0,0.01,95
XAUUSD,30,1.1111111111111112,2025-12,2025-12-31,2025-12-31 08:30:00,2025-12-31 08:30:00,SELL,4320.269,4322.069,4318.269,4322.069,loss,-1.0889,0.0889,160.0,-180.0,4333.067,4320.269,0.845,180.0,0.01,200.0,0.01,100
XAUUSD,30,1.1111111111111112,2026-01,2026-01-06,2026-01-06 09:00:00,2026-01-06 09:00:00,SELL,4457.412,4459.212,4455.412,4459.212,loss,-1.0889,0.0889,160.0,-180.0,4476.002,4457.412,2.6689,180.0,0.01,200.0,0.01,95
XAUUSD,30,1.1111111111111112,2026-01,2026-01-07,2026-01-07 08:30:00,2026-01-07 08:30:00,BUY,4468.536,4466.736,4470.536,4466.736,loss,-1.0889,0.0889,160.0,-180.0,4468.536,4459.346,1.1116,180.0,0.01,200.0,0.01,100
XAUUSD,30,1.1111111111111112,2026-01,2026-01-08,2026-01-08 08:30:00,2026-01-08 08:30:00,SELL,4425.305,4427.105,4423.305,4427.105,loss,-1.0889,0.0889,160.0,-180.0,4433.3,4425.305,0.9834,180.0,0.01,200.0,0.01,100
XAUUSD,30,1.1111111111111112,2026-01,2026-01-13,2026-01-13 08:30:00,2026-01-13 08:30:00,BUY,4592.683,4590.883,4594.683,4590.883,loss,-1.0889,0.0889,160.0,-180.0,4592.683,4579.536,1.792,180.0,0.01,200.0,0.01,100
XAUUSD,30,1.1111111111111112,2026-01,2026-01-14,2026-01-14 08:45:00,2026-01-14 08:45:00,BUY,4634.332,4632.532,4636.332,4632.532,loss,-1.0889,0.0889,160.0,-180.0,4634.332,4621.938,1.5406,180.0,0.01,200.0,0.01,100
XAUUSD,30,1.1111111111111112,2026-01,2026-01-15,2026-01-15 08:30:00,2026-01-15 08:30:00,BUY,4606.239,4604.439,4608.239,4604.439,loss,-1.0889,0.0889,160.0,-180.0,4606.239,4597.807,1.0239,180.0,0.01,200.0,0.01,100
XAUUSD,30,1.1111111111111112,2026-01,2026-01-20,2026-01-20 08:45:00,2026-01-20 08:45:00,BUY,4725.598,4723.798,4727.598,4723.798,loss,-1.0889,0.0889,160.0,-180.0,4725.598,4715.0,1.323,180.0,0.01,200.0,0.01,100
XAUUSD,30,1.1111111111111112,2026-01,2026-01-21,2026-01-21 08:45:00,2026-01-21 08:45:00,SELL,4853.69,4855.49,4851.69,4855.49,loss,-1.0889,0.0889,160.0,-180.0,4869.67,4853.69,1.1229,180.0,0.01,200.0,0.01,100
XAUUSD,30,1.1111111111111112,2026-01,2026-01-22,2026-01-22 08:30:00,2026-01-22 08:30:00,SELL,4824.399,4826.199,4822.399,4826.199,loss,-1.0889,0.0889,160.0,-180.0,4835.648,4824.399,1.4394,180.0,0.01,200.0,0.01,100
XAUUSD,30,1.1111111111111112,2026-01,2026-01-27,2026-01-27 08:30:00,2026-01-27 08:30:00,SELL,5075.326,5077.126,5073.326,5077.126,loss,-1.0889,0.0889,160.0,-180.0,5088.428,5075.326,1.2032,180.0,0.01,200.0,0.01,100
XAUUSD,30,1.1111111111111112,2026-01,2026-01-28,2026-01-28 08:30:00,2026-01-28 08:30:00,BUY,5301.073,5299.273,5303.073,5299.273,loss,-1.0889,0.0889,160.0,-180.0,5301.073,5286.449,1.1881,180.0,0.01,200.0,0.01,100
XAUUSD,30,1.1111111111111112,2026-01,2026-01-29,2026-01-29 08:30:00,2026-01-29 08:30:00,SELL,5522.926,5524.726,5520.926,5524.726,loss,-1.0889,0.0889,160.0,-180.0,5554.969,5522.926,1.6609,180.0,0.01,200.0,0.01,100
XAUUSD,30,1.1111111111111112,2026-02,2026-02-03,2026-02-03 08:30:00,2026-02-03 08:30:00,BUY,4942.051,4940.251,4944.051,4940.251,loss,-1.0889,0.0889,160.0,-180.0,4942.051,4898.547,1.8305,180.0,0.01,200.0,0.01,100
XAUUSD,30,1.1111111111111112,2026-02,2026-02-05,2026-02-05 08:45:00,2026-02-05 08:45:00,SELL,4912.659,4914.459,4910.659,4914.459,loss,-1.0889,0.0889,160.0,-180.0,4943.555,4912.659,1.0625,180.0,0.01,200.0,0.01,100
XAUUSD,30,1.1111111111111112,2026-02,2026-02-18,2026-02-18 08:30:00,2026-02-18 08:30:00,SELL,4922.493,4924.293,4920.493,4924.293,loss,-1.0889,0.0889,160.0,-180.0,4932.364,4922.493,1.3474,180.0,0.01,200.0,0.01,100
