case,group,stage,report,from,to,model,reward_risk,stop_buffer_atr,minimum_stop_atr,break_even_at_r,maximum_holding_bars,dynamic,session,risk_percent,initial_balance,final_balance,net_profit,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe_ratio,recovery_factor,history_quality,analysed_sharpe,analysed_recovery
rr-200,reward-risk,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\02 BTC Top Down FVG\Backtest Reports\Locked\btc-locked-rr-200.htm,2025.09.01,2026.09.01,0,2.00,0.10,0.30,0.00,96,false,0,1.00,10000.0,11274.17,1274.17,12.74,1.92,50.0,3.84,26,17.2,3.15,100%,1.62,5.93
manage-be100,management,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\02 BTC Top Down FVG\Backtest Reports\Locked\btc-locked-manage-be100.htm,2025.09.01,2026.09.01,0,2.00,0.10,0.30,1.00,96,false,0,1.00,10000.0,10946.71,946.71,9.47,1.74,40.74,3.93,27,15.16,2.31,100%,1.29,2.91
manage-dynamic5020,management,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\02 BTC Top Down FVG\Backtest Reports\Locked\btc-locked-manage-dynamic5020.htm,2025.09.01,2026.09.01,0,2.00,0.10,0.30,0.00,96,true,0,1.00,10000.0,10895.16,895.16,8.95,1.7,53.85,3.6,26,13.0,2.37,100%,1.26,3.12
session-asia,session,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\02 BTC Top Down FVG\Backtest Reports\Locked\btc-locked-session-asia.htm,2025.09.01,2026.09.01,0,2.00,0.10,0.30,0.00,96,false,1,1.00,10000.0,10883.08,883.08,8.83,2.65,58.33,2.46,12,7.89,3.41,100%,1.69,3.98
combo-asia-dynamic5020,combined-finalist,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\02 BTC Top Down FVG\Backtest Reports\Locked\btc-locked-combo-asia-dynamic5020.htm,2025.09.01,2026.09.01,0,2.00,0.10,0.30,0.00,96,true,1,1.00,10000.0,10542.88,542.88,5.43,2.02,58.33,3.85,12,5.21,1.34,100%,1.13,1.42
combo-asia-be100,combined-finalist,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\02 BTC Top Down FVG\Backtest Reports\Locked\btc-locked-combo-asia-be100.htm,2025.09.01,2026.09.01,0,2.00,0.10,0.30,1.00,96,false,1,1.00,10000.0,10680.36,680.36,6.8,2.28,50.0,4.2,12,6.63,1.54,100%,1.34,1.63
