basket,entry_time,exit_time,side,entry_a,entry_b,exit_a,exit_b,lots_a,lots_b,net,return_fraction,R,reason,swap,fees,entry_adaptive_RR,risk_usd,entry_fills,exit_fills
1,1696334400,1696338077,-1,1825.927,21.051,1824.834,20.964,0.06,0.11,-46.85,-0.004685,-0.4685,1,0.0,-5.5600000000000005,6.305065163308943,100.0,2,2
2,1696420800,1696427200,-1,1825.003,21.211,1821.873,21.013,0.03,0.05,-42.66,-0.004286080286140568,-0.42860802861405684,1,0.0,-2.55,2.4868052437718804,99.5315,2,2
3,1696507200,1696509516,-1,1823.112,21.112,1814.389,20.97,0.04,0.07,-18.36,-0.0018525824656500335,-0.18525824656500334,1,0.0,-3.5500000000000003,3.208696091493728,99.1049,2,2
4,1696579200,1696595443,-1,1821.44,21.039,1811.454,20.84,0.03,0.05,-22.339999999999996,-0.002258360939453889,-0.2258360939453889,1,0.0,-2.55,2.4347545540221454,98.92129999999999,2,2
5,1698825600,1698839079,-1,1977.135,22.583,1984.999,22.669,0.06,0.11,-5.440000000000005,-0.0005511768740773617,-0.05511768740773618,1,0.0,-5.5600000000000005,3.5894629549302812,98.6979,2,2
6,1698840000,1698847244,-1,1983.453,22.655,1991.279,22.818,0.06,0.11,37.14,0.00376507321820495,0.376507321820495,1,0.0,-5.5600000000000005,3.476812368432689,98.6435,2,2
7,1699012800,1699014645,-1,1987.477,22.658,1995.581,22.838,0.06,0.11,44.809999999999995,0.004525581503389894,0.45255815033898933,1,0.0,-5.5600000000000005,3.4056003929051637,99.0149,2,2
8,1699372800,1699423241,-1,1963.256,22.521,1965.427,22.429,0.06,0.11,-69.18,-0.00695535023073907,-0.695535023073907,1,0.0,-5.5600000000000005,2.139789666989003,99.463,2,2
9,1699430400,1699437581,-1,1967.59,22.536,1965.597,22.444,0.06,0.11,-44.2,-0.004474988660662217,-0.44749886606622175,1,0.0,-5.5600000000000005,2.3460267543263678,98.77120000000001,2,2
10,1699444800,1699452379,-1,1964.479,22.452,1965.872,22.755,0.06,0.11,152.73000000000002,0.015532517299032232,1.5532517299032231,3,0.0,-5.5600000000000005,2.552734722754092,98.3292,2,2
11,1699862400,1699863423,-1,1938.831,22.071,1937.123,21.991,0.06,0.12,-43.78,-0.004384291458242579,-0.43842914582425785,1,0.0,-6.03,3.0237569392412613,99.8565,2,2
12,1699876800,1699883261,-1,1938.03,22.078,1936.161,21.991,0.06,0.11,-42.2,-0.004244674291657404,-0.4244674291657405,1,0.0,-5.5600000000000005,2.8863152531337524,99.4187,2,2
13,1699891200,1699894344,-1,1938.443,22.128,1946.312,22.277,0.06,0.11,29.18,0.0029475729999080776,0.29475729999080774,1,0.0,-5.5600000000000005,2.5870285185917,98.9967,2,2
14,1702483200,1702494040,-1,1981.935,22.619,1989.745,22.911,0.06,0.11,108.17999999999999,0.010895521636443292,1.0895521636443293,1,0.0,-5.5600000000000005,5.149333189213041,99.2885,2,2
15,1703836800,1703839751,-1,2072.008,23.846,2070.685,23.762,0.06,0.11,-43.82000000000001,-0.004365833319218933,-0.4365833319218933,1,0.0,-5.5600000000000005,4.5317607954019525,100.3703,2,2
16,1704268800,1704270307,-1,2063.001,23.593,2061.593,23.505,0.06,0.11,-45.510000000000005,-0.004554092228623236,-0.4554092228623236,1,0.0,-5.5600000000000005,5.027558290474453,99.93209999999999,2,2
17,1704355200,1704370057,-1,2047.826,23.014,2043.544,22.932,0.06,0.11,-24.960000000000004,-0.002509122711782623,-0.25091227117826237,1,0.0,-5.5600000000000005,6.97260643631882,99.477,2,2
18,1704384000,1704435917,-1,2045.268,22.995,2043.403,23.034,0.06,0.1,25.61,0.002580940345106291,0.2580940345106291,2,0.0,-5.08,6.204450789429337,99.2274,2,2
19,1704441600,1704461414,-1,2043.074,23.067,2035.247,22.925,0.04,0.07,-21.94,-0.0022053908437077506,-0.22053908437077505,1,0.0,-3.5500000000000003,3.57546655408415,99.4835,2,2
20,1704715200,1704727887,-1,2019.813,22.85,2032.048,23.143,0.04,0.07,50.06,0.005043112263144481,0.504311226314448,1,0.0,-3.5500000000000003,3.1966022580766245,99.2641,2,2
21,1704873600,1704881070,-1,2030.897,22.967,2038.887,23.076,0.06,0.11,6.450000000000003,0.0006465212645354523,0.06465212645354522,1,0.0,-5.5600000000000005,4.399345260348862,99.76469999999999,2,2
22,1704888000,1704895061,-1,2034.086,22.965,2030.59,22.876,0.06,0.11,-33.53,-0.0033587367223217256,-0.33587367223217257,1,0.0,-5.5600000000000005,4.52133630752526,99.8292,2,2
23,1705046400,1705057108,-1,2037.58,22.905,2045.482,23.003,0.06,0.1,-3.489999999999995,-0.0003507752736599927,-0.03507752736599927,1,0.0,-5.08,4.104172699431094,99.4939,2,2
24,1705060800,1705066291,-1,2045.583,23.016,2054.927,23.217,0.05,0.09,39.17,0.0039383062367407675,0.3938306236740768,1,0.0,-4.5600000000000005,3.500851936604099,99.459,2,2
25,1705924800,1705929511,-1,2026.103,22.206,2025.195,22.127,0.06,0.12,-47.98,-0.004805174124968578,-0.48051741249685775,1,0.0,-6.03,6.512259901926466,99.8507,2,2
26,1705939200,1705964467,-1,2024.104,22.203,2022.041,22.071,0.05,0.1,-60.72,-0.006110440782965637,-0.6110440782965636,1,0.0,-5.03,5.794623039070957,99.3709,2,2
27,1705996800,1706103093,-1,2031.639,22.366,2036.561,22.939,0.03,0.06,154.12,0.015604923671348886,1.5604923671348885,3,0.0,-3.02,2.9622235807943342,98.76370000000001,2,2
28,1707148800,1707151090,-1,2017.944,22.35,2020.861,22.27,0.06,0.12,-71.54,-0.0071322537582909715,-0.7132253758290972,1,0.0,-6.03,2.5782104693038197,100.3049,2,2
29,1707206400,1707209958,-1,2026.24,22.394,2023.671,22.308,0.06,0.11,-37.45,-0.003760436592211026,-0.37604365922110267,1,0.0,-5.5600000000000005,2.6741537594927376,99.5895,2,2
30,1707220800,1707232208,-1,2026.685,22.316,2034.582,22.384,0.06,0.11,-15.540000000000006,-0.0015662954190394603,-0.15662954190394604,1,0.0,-5.5600000000000005,3.1518874118957223,99.215,2,2
