starting_balance,ending_balance,net_profit,return_pct,trades,wins,losses,win_rate,net_r,avg_spread_r,max_drawdown_pct,bot,symbol
300.0,346.13,46.13,15.38,11,6,5,54.55,3.32,0.0161,17.17,Trend,BTCUSD
300.0,343.26,43.26,14.42,8,6,2,75.0,2.89,0.1387,11.15,Grid,AUDUSD
300.0,309.04,9.04,3.01,1,1,0,100.0,0.6,0.1515,0.0,NewsPulse,XAUUSD
300.0,305.28,5.28,1.76,7,4,3,57.14,0.56,0.1344,16.19,Grid,GBPUSD
300.0,282.34,-17.66,-5.89,1,0,1,0.0,-1.18,0.1775,5.89,Grid,NZDUSD
300.0,219.81,-80.19,-26.73,7,1,6,14.29,-6.03,0.0763,26.73,Trend,GBPJPY
300.0,207.79,-92.21,-30.74,8,1,7,12.5,-7.13,0.0785,30.74,Trend,XAUUSD
300.0,192.79,-107.21,-35.74,18,6,12,33.33,-8.29,0.1299,41.24,NewsPulse,XAGUSD
300.0,180.97,-119.03,-39.68,14,2,12,14.29,-9.69,0.0137,39.68,Trend,US30
300.0,144.8,-155.2,-51.73,42,18,24,42.86,-13.53,0.0842,52.56,NewsPulse,US30
300.0,107.4,-192.6,-64.2,43,15,28,34.88,-19.36,0.114,68.47,NewsPulse,BTCUSD
