Account 90490218 | MEXAtlantic-Demo | balance $4,163.77 | equity $4,163.77 | leverage 1:500 | XAU alias XAUUSD..
{
  "validation_gate_passed": false,
  "score": -10000.0,
  "config": {
    "mode": "trend",
    "risk_pct": 0.5,
    "grid_levels": 3,
    "first_offset_atr": 0.2,
    "grid_step_atr": 0.9,
    "stop_extra_atr": 0.9,
    "target_atr": 1.75,
    "be_trigger_r": 0.0,
    "be_lock_r": 0.0,
    "trail_start_r": 0.0,
    "trail_distance_atr": 0.8,
    "pending_expiry_bars": 12,
    "max_hold_bars": 72,
    "cooldown_bars": 12,
    "session_start_utc": 6,
    "session_end_utc": 19,
    "adx_min": 18.0,
    "adx_max": 38.0,
    "range_adx_max": 20.0,
    "rsi_long_max": 50.0,
    "rsi_short_min": 50.0,
    "max_spread_price": 0.8,
    "max_daily_loss_pct": 1.0
  },
  "train": {
    "start": "2025-01-30 17:45:00+00:00",
    "end": "2026-04-02 23:55:00+00:00",
    "starting_balance": 10000.0,
    "ending_balance": 10099.903232943898,
    "net_profit": 99.90323294389782,
    "return_pct": 0.9990323294389869,
    "trades": 28,
    "wins": 19,
    "losses": 9,
    "win_rate": 67.85714285714286,
    "profit_factor": 1.3318955546467874,
    "max_drawdown_pct": 0.94985858879182,
    "realized_drawdown_pct": 0.9459286923123712,
    "max_consecutive_losses": 2,
    "exposure_pct_max": 0.4551060665080866
  },
  "validation": {
    "start": "2026-04-06 01:00:00+00:00",
    "end": "2026-08-03 17:40:00+00:00",
    "starting_balance": 10000.0,
    "ending_balance": 9747.563724351994,
    "net_profit": -252.4362756480059,
    "return_pct": -2.5243627564800586,
    "trades": 10,
    "wins": 2,
    "losses": 8,
    "win_rate": 20.0,
    "profit_factor": 0.17268937403884305,
    "max_drawdown_pct": 2.5412974898548857,
    "realized_drawdown_pct": 2.524362756480059,
    "max_consecutive_losses": 5,
    "exposure_pct_max": 0.46420185618845194
  }
}
