Account 90490218 | MEXAtlantic-Demo | balance $4,163.77 | equity $4,163.77 | leverage 1:500 | XAU alias XAUUSD..
{
  "validation_gate_passed": false,
  "score": 3.8979866112011265,
  "holdout_score": -6.447344742885195,
  "config": {
    "mode": "momentum",
    "risk_pct": 0.5,
    "grid_levels": 3,
    "first_offset_atr": 0.2,
    "grid_step_atr": 0.45,
    "stop_extra_atr": 1.5,
    "target_atr": 1.5,
    "be_trigger_r": 0.0,
    "be_lock_r": 0.0,
    "trail_start_r": 0.0,
    "trail_distance_atr": 0.8,
    "pending_expiry_bars": 12,
    "max_hold_bars": 72,
    "cooldown_bars": 12,
    "session_start_utc": 6,
    "session_end_utc": 19,
    "adx_min": 18.0,
    "adx_max": 50.0,
    "range_adx_max": 20.0,
    "rsi_long_max": 45.0,
    "rsi_short_min": 55.0,
    "max_spread_price": 0.8,
    "max_daily_loss_pct": 1.0
  },
  "train": {
    "start": "2025-01-31 01:10:00+00:00",
    "end": "2026-02-04 17:35:00+00:00",
    "starting_balance": 10000.0,
    "ending_balance": 10915.537295933953,
    "net_profit": 915.5372959339529,
    "return_pct": 9.155372959339525,
    "trades": 169,
    "wins": 83,
    "losses": 86,
    "win_rate": 49.112426035502956,
    "profit_factor": 1.4999303865892866,
    "max_drawdown_pct": 2.548238026889318,
    "realized_drawdown_pct": 2.439207286221362,
    "max_consecutive_losses": 8,
    "exposure_pct_max": 0.4939457158110734
  },
  "validation": {
    "start": "2026-02-04 17:40:00+00:00",
    "end": "2026-05-05 17:35:00+00:00",
    "starting_balance": 10000.0,
    "ending_balance": 10065.204070222575,
    "net_profit": 65.20407022257496,
    "return_pct": 0.6520407022257535,
    "trades": 5,
    "wins": 3,
    "losses": 2,
    "win_rate": 60.0,
    "profit_factor": 2.0704026822579555,
    "max_drawdown_pct": 0.8438214777181964,
    "realized_drawdown_pct": 0.6091545854970172,
    "max_consecutive_losses": 2,
    "exposure_pct_max": 0.49511350516074853
  },
  "holdout": {
    "start": "2026-05-05 17:40:00+00:00",
    "end": "2026-08-03 17:40:00+00:00",
    "starting_balance": 10000.0,
    "ending_balance": 9846.730155034596,
    "net_profit": -153.26984496540354,
    "return_pct": -1.5326984496540352,
    "trades": 15,
    "wins": 4,
    "losses": 11,
    "win_rate": 26.666666666666668,
    "profit_factor": 0.5322025358531678,
    "max_drawdown_pct": 2.498061053145632,
    "realized_drawdown_pct": 2.421639874954163,
    "max_consecutive_losses": 6,
    "exposure_pct_max": 0.49571340046650775
  }
}
