Account 90490218 | MEXAtlantic-Demo | balance $4,163.77 | equity $4,163.77 | leverage 1:500 | XAU alias XAUUSD..
{
  "validation_gate_passed": true,
  "score": 3.750369037535073,
  "holdout_score": -3.6663145637834273,
  "config": {
    "mode": "momentum",
    "risk_pct": 0.5,
    "grid_levels": 3,
    "first_offset_atr": 0.1,
    "grid_step_atr": 0.25,
    "stop_extra_atr": 1.0,
    "target_atr": 2.0,
    "be_trigger_r": 0.0,
    "be_lock_r": 0.0,
    "trail_start_r": 0.0,
    "trail_distance_atr": 0.8,
    "pending_expiry_bars": 12,
    "max_hold_bars": 72,
    "cooldown_bars": 12,
    "session_start_utc": 6,
    "session_end_utc": 19,
    "adx_min": 18.0,
    "adx_max": 50.0,
    "range_adx_max": 20.0,
    "rsi_long_max": 45.0,
    "rsi_short_min": 55.0,
    "max_spread_price": 0.8,
    "max_daily_loss_pct": 1.0
  },
  "train": {
    "start": "2025-01-31 01:15:00+00:00",
    "end": "2026-02-04 17:35:00+00:00",
    "starting_balance": 10000.0,
    "ending_balance": 11164.258632572788,
    "net_profit": 1164.258632572788,
    "return_pct": 11.642586325727876,
    "trades": 210,
    "wins": 76,
    "losses": 134,
    "win_rate": 36.19047619047619,
    "profit_factor": 1.2977366005232431,
    "max_drawdown_pct": 3.385297552305956,
    "realized_drawdown_pct": 3.2947359874135294,
    "max_consecutive_losses": 9,
    "exposure_pct_max": 0.4995838807943634
  },
  "validation": {
    "start": "2026-02-04 17:40:00+00:00",
    "end": "2026-05-05 17:35:00+00:00",
    "starting_balance": 10000.0,
    "ending_balance": 10295.71966227321,
    "net_profit": 295.7196622732099,
    "return_pct": 2.9571966227321056,
    "trades": 30,
    "wins": 13,
    "losses": 17,
    "win_rate": 43.333333333333336,
    "profit_factor": 1.5280415905313884,
    "max_drawdown_pct": 1.378197948711592,
    "realized_drawdown_pct": 1.341316266997763,
    "max_consecutive_losses": 4,
    "exposure_pct_max": 0.4809184692673522
  },
  "holdout": {
    "start": "2026-05-05 17:40:00+00:00",
    "end": "2026-08-03 17:40:00+00:00",
    "starting_balance": 10000.0,
    "ending_balance": 10091.485825703414,
    "net_profit": 91.48582570341387,
    "return_pct": 0.9148582570341457,
    "trades": 43,
    "wins": 13,
    "losses": 30,
    "win_rate": 30.23255813953488,
    "profit_factor": 1.1215421540881663,
    "max_drawdown_pct": 2.9540112824151956,
    "realized_drawdown_pct": 2.690010081689943,
    "max_consecutive_losses": 10,
    "exposure_pct_max": 0.4868048971207281
  }
}
