version,net_profit,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe,recovery_factor,expected_payoff,history_quality,commission,swap
baseline-locked,-440.27,-4.402699999999999,0.78,41.46,7.32,82,-1.23,-0.59,-5.37,100%,-11.83,-71.66
optimized-locked,-1831.78,-18.317800000000002,0.53,22.41,19.17,58,-3.49,-0.96,-31.58,100%,-26.63,-163.99
optimized-latest-1y,-159.17,-1.5916999999999997,0.88,31.58,7.82,19,-0.53,-0.19,-8.38,100%,-10.14,-67.02
optimized-full-5y,2942.98,29.4298,1.27,29.09,21.71,110,1.74,0.83,26.75,100%,-134.2,-811.75
