side,pivot_time,confirmation_time,entry_time,entry,exit_time,exit,exit_reason,bars_held,pnl_usd,return_pct
sell,2025-07-29T16:00:00+00:00,2025-07-30T16:00:00+00:00,2025-07-30T20:00:00+00:00,3298.09,2025-08-01T00:00:00+00:00,3290.71,opposite_signal,7,73.8,7.379999999999999
buy,2025-07-30T20:00:00+00:00,2025-07-31T20:00:00+00:00,2025-08-01T00:00:00+00:00,3290.71,2025-08-06T20:00:00+00:00,3376.04,opposite_signal,23,853.3,85.33
buy,2025-08-01T04:00:00+00:00,2025-08-04T04:00:00+00:00,2025-08-04T08:00:00+00:00,3359.07,2025-08-06T20:00:00+00:00,3376.04,opposite_signal,15,169.7,16.97
sell,2025-08-05T16:00:00+00:00,2025-08-06T16:00:00+00:00,2025-08-06T20:00:00+00:00,3376.04,2025-08-13T20:00:00+00:00,3358.11,opposite_signal,30,179.3,17.93
sell,2025-08-08T00:00:00+00:00,2025-08-11T00:00:00+00:00,2025-08-11T04:00:00+00:00,3381.6,2025-08-13T20:00:00+00:00,3358.11,opposite_signal,16,234.9,23.49
buy,2025-08-12T16:00:00+00:00,2025-08-13T16:00:00+00:00,2025-08-13T20:00:00+00:00,3358.11,2025-08-15T04:00:00+00:00,3337.08,opposite_signal,8,-210.3,-21.03
sell,2025-08-14T00:00:00+00:00,2025-08-15T00:00:00+00:00,2025-08-15T04:00:00+00:00,3337.08,2025-08-15T20:00:00+00:00,3338.36,opposite_signal,4,-12.8,-1.28
buy,2025-08-14T16:00:00+00:00,2025-08-15T16:00:00+00:00,2025-08-15T20:00:00+00:00,3338.36,2025-08-19T12:00:00+00:00,3337.96,opposite_signal,10,-4.0,-0.4
buy,2025-08-18T00:00:00+00:00,2025-08-19T00:00:00+00:00,2025-08-19T04:00:00+00:00,3335.39,2025-08-19T12:00:00+00:00,3337.96,opposite_signal,2,25.7,2.5700000000000003
sell,2025-08-18T08:00:00+00:00,2025-08-19T08:00:00+00:00,2025-08-19T12:00:00+00:00,3337.96,2025-08-21T08:00:00+00:00,3338.5,opposite_signal,11,-5.4,-0.54
buy,2025-08-20T04:00:00+00:00,2025-08-21T04:00:00+00:00,2025-08-21T08:00:00+00:00,3338.5,2025-08-22T04:00:00+00:00,3339.54,opposite_signal,5,10.4,1.04
sell,2025-08-21T00:00:00+00:00,2025-08-22T00:00:00+00:00,2025-08-22T04:00:00+00:00,3339.54,2025-08-25T16:00:00+00:00,3364.68,opposite_signal,9,-251.4,-25.14
buy,2025-08-22T12:00:00+00:00,2025-08-25T12:00:00+00:00,2025-08-25T16:00:00+00:00,3364.68,2025-08-25T20:00:00+00:00,3373.82,opposite_signal,1,91.4,9.14
sell,2025-08-22T16:00:00+00:00,2025-08-25T16:00:00+00:00,2025-08-25T20:00:00+00:00,3373.82,2025-08-27T04:00:00+00:00,3389.89,opposite_signal,8,-160.7,-16.069999999999997
buy,2025-08-26T00:00:00+00:00,2025-08-27T00:00:00+00:00,2025-08-27T04:00:00+00:00,3389.89,2025-09-05T00:00:00+00:00,3545.98,opposite_signal,41,1560.9,156.09000000000003
sell,2025-09-03T20:00:00+00:00,2025-09-04T20:00:00+00:00,2025-09-05T00:00:00+00:00,3545.98,2025-09-05T08:00:00+00:00,3558.7,opposite_signal,2,-127.2,-12.72
buy,2025-09-04T04:00:00+00:00,2025-09-05T04:00:00+00:00,2025-09-05T08:00:00+00:00,3558.7,2025-09-10T20:00:00+00:00,3642.81,opposite_signal,21,841.1,84.11000000000001
sell,2025-09-09T16:00:00+00:00,2025-09-10T16:00:00+00:00,2025-09-10T20:00:00+00:00,3642.81,2025-09-11T04:00:00+00:00,3644.06,opposite_signal,2,-12.5,-1.25
buy,2025-09-10T00:00:00+00:00,2025-09-11T00:00:00+00:00,2025-09-11T04:00:00+00:00,3644.06,2025-09-15T12:00:00+00:00,3645.39,opposite_signal,14,13.3,1.33
buy,2025-09-11T12:00:00+00:00,2025-09-12T12:00:00+00:00,2025-09-12T16:00:00+00:00,3645.67,2025-09-15T12:00:00+00:00,3645.39,opposite_signal,5,-2.8,-0.27999999999999997
sell,2025-09-12T08:00:00+00:00,2025-09-15T08:00:00+00:00,2025-09-15T12:00:00+00:00,3645.39,2025-09-16T08:00:00+00:00,3684.46,opposite_signal,5,-390.7,-39.07
buy,2025-09-15T04:00:00+00:00,2025-09-16T04:00:00+00:00,2025-09-16T08:00:00+00:00,3684.46,2025-09-17T20:00:00+00:00,3684.71,opposite_signal,9,2.5,0.25
sell,2025-09-16T16:00:00+00:00,2025-09-17T16:00:00+00:00,2025-09-17T20:00:00+00:00,3684.71,2025-09-19T20:00:00+00:00,3668.46,opposite_signal,12,162.5,16.25
