symbol,idea_id,entry_time,side,entry,initial_stop,stop_loss,score,tqi,er,vol_z,entry_index,entry_model,risk_fraction,tp1_r,leg,target,target_r,exit_time,exit_price,exit_reason,r_multiple,raw_r_multiple,spread_r_cost,balance_before,risk_cash,pnl,balance_after
XAUUSD,XAUUSD-2026-05-20T16:15:00-10,2026-05-20 16:15:00,BUY,4506.98,4479.695333120222,4479.695333120222,40.5434058488697,0.5989050546171556,0.26894624362977887,2.623568045509763,2733,three_leg_split,0.3333333333333333,1.2886863351246678,1,4542.141377366397,1.2886863351246678,2026-05-20 17:15:00,4542.141377366397,target,1.2828222356762486,1.2886863351246678,0.0058640994484190365,300.0,5.0,6.414111178381243,306.41411117838123
XAUUSD,XAUUSD-2026-05-20T16:15:00-10,2026-05-20 16:15:00,BUY,4506.98,4479.695333120222,4506.98,40.5434058488697,0.5989050546171556,0.26894624362977887,2.623568045509763,2733,three_leg_split,0.3333333333333333,1.2886863351246678,2,4577.302754732795,2.5773726702493356,2026-05-21 12:30:00,4506.98,stop,0.0,0.0,0.0,306.41411117838123,5.106901852973021,0.0,306.41411117838123
XAUUSD,XAUUSD-2026-05-20T16:15:00-10,2026-05-20 16:15:00,BUY,4506.98,4479.695333120222,4506.98,40.5434058488697,0.5989050546171556,0.26894624362977887,2.623568045509763,2733,three_leg_split,0.3333333333333333,1.2886863351246678,3,4612.464132099193,3.8660590053740034,2026-05-21 12:30:00,4506.98,stop,0.0,0.0,0.0,306.41411117838123,5.106901852973021,0.0,306.41411117838123
XAUUSD,XAUUSD-2026-05-27T07:30:00-11,2026-05-27 07:30:00,SELL,4493.47,4514.134205729216,4514.134205729216,43.17833472055216,0.6616699806296651,0.2851814174296285,3.2157509135318447,3142,three_leg_split,0.3333333333333333,1.2945280351091955,1,4466.719606360267,1.2945280351091955,2026-05-27 12:30:00,4466.719606360267,target,1.286785177624294,1.2945280351091955,0.007742857484901425,306.41411117838123,5.106901852973021,6.571485607987725,312.98559678636894
XAUUSD,XAUUSD-2026-05-27T07:30:00-11,2026-05-27 07:30:00,SELL,4493.47,4514.134205729216,4493.47,43.17833472055216,0.6616699806296651,0.2851814174296285,3.2157509135318447,3142,three_leg_split,0.3333333333333333,1.2945280351091955,2,4439.969212720533,2.589056070218391,2026-05-27 13:15:00,4439.969212720533,target,2.589056070218391,2.589056070218391,0.0,312.98559678636894,5.216426613106149,13.505620987511238,326.4912177738802
XAUUSD,XAUUSD-2026-05-27T07:30:00-11,2026-05-27 07:30:00,SELL,4493.47,4514.134205729216,4466.719606360267,43.17833472055216,0.6616699806296651,0.2851814174296285,3.2157509135318447,3142,three_leg_split,0.3333333333333333,1.2945280351091955,3,4413.218819080799,3.8835841053275866,2026-05-27 15:00:00,4413.218819080799,target,3.8776028849330446,3.8835841053275866,0.005981220394542006,326.4912177738802,5.441520296231336,21.100054799088344,347.59127257296853
XAUUSD,XAUUSD-2026-05-28T03:00:00-12,2026-05-28 03:00:00,SELL,4438.19,4458.069482384019,4458.069482384019,40.3839929259028,0.6576499495483231,0.20865721688768127,2.924285589996565,3216,three_leg_split,0.3333333333333333,1.2445655603422239,1,4413.44868086742,1.2445655603422239,2026-05-28 03:45:00,4413.44868086742,target,1.2340019050144162,1.2445655603422239,0.01056365532780764,347.59127257296853,5.793187876216142,7.148804875357139,354.7400774483257
XAUUSD,XAUUSD-2026-05-28T03:00:00-12,2026-05-28 03:00:00,SELL,4438.19,4458.069482384019,4438.19,40.3839929259028,0.6576499495483231,0.20865721688768127,2.924285589996565,3216,three_leg_split,0.3333333333333333,1.2445655603422239,2,4388.70736173484,2.4891311206844478,2026-05-28 05:15:00,4388.70736173484,target,2.4891311206844478,2.4891311206844478,0.0,354.7400774483257,5.9123346241387615,14.716576108843979,369.45665355716966
XAUUSD,XAUUSD-2026-05-28T03:00:00-12,2026-05-28 03:00:00,SELL,4438.19,4458.069482384019,4413.44868086742,40.3839929259028,0.6576499495483231,0.20865721688768127,2.924285589996565,3216,three_leg_split,0.3333333333333333,1.2445655603422239,3,4363.96604260226,3.7336966810266716,2026-05-28 07:30:00,4389.54,flip_exit,2.4387589920860027,2.447246817608752,0.00848782552274954,369.45665355716966,6.157610892619495,15.016928934142511,384.4735824913122
XAUUSD,XAUUSD-2026-05-28T07:30:00-13,2026-05-28 07:30:00,BUY,4389.54,4357.705424012059,4357.705424012059,45.66553340139137,0.5325651564265365,0.49404996453621514,1.0083612263545183,3234,three_leg_split,0.3333333333333333,1.2210315330648054,1,4428.411021123024,1.2210315330648054,2026-05-28 14:45:00,4428.411021123024,target,1.2160055512499193,1.2210315330648054,0.005025981814886031,384.4735824913122,6.40789304152187,7.792033510306323,392.2656160016185
XAUUSD,XAUUSD-2026-05-28T07:30:00-13,2026-05-28 07:30:00,BUY,4389.54,4357.705424012059,4389.54,45.66553340139137,0.5325651564265365,0.49404996453621514,1.0083612263545183,3234,three_leg_split,0.3333333333333333,1.2210315330648054,2,4467.282042246048,2.4420630661296108,2026-05-28 16:15:00,4467.282042246048,target,2.4420630661296108,2.4420630661296108,0.0,392.2656160016185,6.537760266693643,15.965622882502219,408.2312388841207
XAUUSD,XAUUSD-2026-05-28T07:30:00-13,2026-05-28 07:30:00,BUY,4389.54,4357.705424012059,4428.411021123024,45.66553340139137,0.5325651564265365,0.49404996453621514,1.0083612263545183,3234,three_leg_split,0.3333333333333333,1.2210315330648054,3,4506.153063369072,3.663094599194416,2026-05-28 18:30:00,4506.153063369072,target,3.658978422274504,3.663094599194416,0.004116176919911956,408.2312388841207,6.803853981402012,24.895154906256437,433.12639379037716
