symbol,broker_symbol,timeframe,confirmation,pivot_len,atr_sl_mult,rr,session,trades,wins,losses,win_rate,start_balance,final_balance,profit,return_pct,max_drawdown_pct,profit_factor,avg_r,max_trades_per_day
AUDUSD,AUDUSDm,M1,TREND,3,1.2,1.0/1.5/3.0,ALL,146,81,65,55.48,300.0,713.03,413.03,137.68,28.42,1.4,0.173,3
XAUUSD,XAUUSDm,M5,EMA,3,1.2,1.0/1.5/2.0,ALL,108,60,48,55.56,300.0,502.85,202.85,67.62,26.3,1.31,0.142,3
GBPCHF,GBPCHFm,M5,OFF,7,2.0,1.0/2.0/3.0,ALL,83,50,33,60.24,300.0,495.62,195.62,65.21,27.69,1.38,0.174,2
AUDCAD,AUDCADm,M1,RSI_EXTREME,7,2.0,1.0/2.0/3.0,ALL,52,27,25,51.92,300.0,464.15,164.15,54.72,20.44,1.59,0.237,1
XAGUSD,XAGUSDm,M1,OFF,5,2.0,1.0/2.0/3.0,NY_OPEN,85,47,38,55.29,300.0,675.81,375.81,125.27,19.27,1.61,0.266,3
