period,start,end,final,return_pct,closed_equity_dd_pct,profit_factor,wins,losses,trades,win_rate_pct,net_r,gross_profit,gross_loss,largest_win,largest_loss,average_win,average_loss,annualized_return_pct
development,2022-01-03 00:00:00+00:00,2025-01-01 00:00:00+00:00,3088.1030113106635,-69.11896988689337,69.2104080890695,0.5337121484421449,455,326,781,58.25864276568502,-116.10720416824415,7911.343560248146,-14823.240548937489,45.19507627422258,-111.43725098476452,17.38756826428164,-45.47006303355058,-32.449486323357654
validation,2025-01-01 00:00:00+00:00,2025-08-11 00:00:00+00:00,9392.681119376635,-6.0731888062336425,8.290730009791657,0.8392309509016063,111,57,168,66.07142857142857,-6.031470728564953,3170.266942202895,-3777.585822826243,46.29323275689325,-114.75555367355447,28.560963443269323,-66.2734354881797,-9.79462392724093
locked,2025-08-11 00:00:00+00:00,2026-08-11 00:00:00+00:00,8560.138131935551,-14.398618680644482,19.56741965124487,0.7374410284426856,143,92,235,60.851063829787236,-15.214255910355533,4044.094210542245,-5483.956078606704,44.89112903405912,-121.7795469931387,28.280379094701015,-59.60821824572504,-14.407460067096755
full,2022-01-03 00:00:00+00:00,2026-08-11 00:00:00+00:00,2479.6182228015573,-75.20381777198443,75.27723884360857,0.5718620754062974,708,475,1183,59.84784446322908,-137.49064502010836,10044.94319216789,-17565.324969366335,45.19507627422258,-111.43725098476452,14.18777287029363,-36.97963151445544,-26.13923529244352
