entry_time_utc,exit_time_utc,direction,entry,stop,initial_target,exit,exit_reason,lot,pnl,balance
2022-01-04 15:03:00+00:00,2022-01-04 15:10:00+00:00,long,4811.248465694896,4802.960898337822,4815.3922493734335,4814.710966822187,target,12.06,29.69776359512987,10029.69776359513
2022-01-04 15:44:00+00:00,2022-01-04 16:03:00+00:00,long,4804.088521713624,4786.447793257581,4812.908885941645,4786.197793257581,stop,5.68,-107.29933763032298,9922.398425964806
2022-01-05 15:25:00+00:00,2022-01-05 16:04:00+00:00,short,4796.520858584167,4811.712495519097,4788.925040116703,4789.879842126299,target,6.53,36.83583746988012,9959.234263434686
2022-01-05 18:00:00+00:00,2022-01-05 19:02:00+00:00,long,4777.80571872252,4756.688721067012,4788.364217550275,4786.460139544324,target,4.71,36.05232207069588,9995.286585505382
2022-01-05 19:05:00+00:00,2022-01-05 19:41:00+00:00,long,4769.742874810124,4736.8187944883675,4786.204914971002,4736.5687944883675,stop,3.0300000000000002,-103.54746337492149,9891.73912213046
2022-01-07 15:51:00+00:00,2022-01-07 16:48:00+00:00,long,4667.577076176955,4618.073002317003,4692.329113106932,4685.322052513039,target,1.99,33.32250290880658,9925.061625039267
2022-01-11 16:15:00+00:00,2022-01-11 20:55:00+00:00,short,4673.20900391393,4715.57391704416,4652.026547348815,4711.17,time,2.34,-91.16873084140339,9833.892894197863
2022-01-12 15:42:00+00:00,2022-01-12 16:42:00+00:00,long,4721.099858054066,4688.178532997194,4737.560520582502,4728.791597596482,target,2.98,19.9413838363974,9853.834278034261
2022-01-13 15:05:00+00:00,2022-01-13 15:16:00+00:00,long,4732.899961704498,4723.4038429981565,4737.648021057669,4723.1538429981565,stop,10.370000000000001,-111.43725098476452,9742.397027049496
2022-01-13 17:20:00+00:00,2022-01-13 20:55:00+00:00,long,4693.964226982655,4634.843818540375,4723.524431203796,4650.48,time,1.6400000000000001,-72.9541322515556,9669.44289479794
2022-01-19 15:25:00+00:00,2022-01-19 17:00:00+00:00,long,4583.622263700184,4549.447933598983,4600.709428750784,4585.263601933924,target,2.82,1.8085738191482048,9671.251468617087
2022-01-24 15:10:00+00:00,2022-01-24 15:27:00+00:00,long,4277.626805068078,4194.402975121894,4319.23872004117,4309.082325109307,target,1.16,35.328403247825335,9706.579871864913
2022-01-25 18:59:00+00:00,2022-01-25 20:55:00+00:00,short,4375.721503401676,4473.66080486273,4326.751852671149,4362.21,time,0.99,12.386388367659475,9718.966260232572
2022-01-26 19:02:00+00:00,2022-01-26 19:14:00+00:00,short,4451.118586742297,4517.7043161164,4417.825722055246,4419.628714931787,target,1.45,44.21031412524025,9763.176574357813
2022-01-26 19:45:00+00:00,2022-01-26 20:23:00+00:00,long,4382.590973688912,4310.5490094689685,4418.611955798883,4310.2990094689685,stop,1.35,-98.9441516969232,9664.232422660889
2022-01-27 17:35:00+00:00,2022-01-27 20:55:00+00:00,long,4351.609465873441,4258.930029140122,4397.9491842401,4332.29,time,1.04,-21.132244508378644,9643.10017815251
2022-02-01 15:01:00+00:00,2022-02-01 15:22:00+00:00,long,4493.5923961159215,4460.91872113465,4509.929233606557,4503.0999624952165,target,2.95,25.09732081892021,9668.19749897143
2022-02-01 20:28:00+00:00,2022-02-01 20:55:00+00:00,short,4535.514242422772,4587.073687954919,4509.734519656699,4547.92,time,1.87,-25.068766669415673,9643.128732302015
2022-02-03 15:20:00+00:00,2022-02-03 16:03:00+00:00,short,4537.124182126155,4567.3309546773535,4522.020795850555,4526.358339722795,target,3.19,31.153037266717707,9674.281769568734
2022-02-07 15:34:00+00:00,2022-02-07 15:41:00+00:00,short,4517.854074572997,4544.23248446961,4504.66486962469,4505.466132759582,target,3.66,41.67986703709791,9715.96163660583
2022-02-07 16:38:00+00:00,2022-02-07 18:11:00+00:00,long,4490.7775023725435,4462.515435072087,4504.908536022772,4499.1016197946565,target,3.43,25.12172275784751,9741.083359363678
2022-02-08 15:01:00+00:00,2022-02-08 15:15:00+00:00,long,4470.7416564968,4455.812426430623,4478.206271529888,4476.057879350923,target,6.5200000000000005,28.14177300888343,9769.225132372561
