entry_time_utc,exit_time_utc,direction,poc,entry,initial_stop,target,exit_reason,r_multiple,balance
2022-01-05 01:00:00+00:00,2022-01-05 19:12:00+00:00,long,36726.980859375,36757.525,36625.65,37021.275,stop,-0.003981042654039471,9999.601895734595
2022-01-12 11:00:00+00:00,2022-01-12 15:39:00+00:00,long,36272.348046875,36306.525,36225.0,36469.575000000004,stop,-0.006439742410321323,9998.957947130451
2022-01-19 01:00:00+00:00,2022-01-20 14:56:00+00:00,short,35367.137500000004,35354.475,35703.0,34657.424999999996,stop,-0.0015063481816267213,9998.807328009234
2022-01-25 16:00:00+00:00,2022-01-25 19:42:00+00:00,short,34096.655859375,33930.475,34464.15,32863.12499999999,stop,-1.0009837447884975,9898.720891983141
2022-01-27 07:00:00+00:00,2022-01-27 13:51:00+00:00,short,33769.0546875,33772.475,34308.0,32701.424999999996,stop,-1.00098034638906,9799.636641310482
2022-01-31 15:00:00+00:00,2022-02-03 18:45:00+00:00,long,34627.11171875,34679.325000000004,34027.0,35983.97500000001,time,1.0015713026481998,9897.786989673647
2022-02-04 06:30:00+00:00,2022-02-04 20:12:00+00:00,short,35323.6171875,35310.125,35602.0,34726.375,stop,-0.0017987152034311098,9897.608956674261
2022-02-08 07:30:00+00:00,2022-02-08 11:03:00+00:00,long,35083.1171875,35112.525,35007.8,35321.975,stop,-0.005013129625222846,9897.112776707465
2022-02-10 03:30:00+00:00,2022-02-10 09:01:00+00:00,long,35719.141015625,35748.525,35685.8,35873.975,stop,-0.00836986847351881,9896.284401385377
2022-02-17 09:00:00+00:00,2022-02-17 20:16:00+00:00,short,34778.4265625,34747.424999999996,34979.95,34282.37499999999,target,1.997742178260396,10093.986648952456
2022-02-24 10:30:00+00:00,2022-02-25 15:53:00+00:00,short,32444.48125,32413.425,33680.95,29878.375000000004,stop,-1.0004141930139456,9993.004973875402
2022-02-28 06:00:00+00:00,2022-03-01 07:07:00+00:00,short,33547.195703125,33527.125,34079.9,32421.574999999997,stop,-1.0009497535163518,9892.980015220519
2022-03-03 08:30:00+00:00,2022-03-04 00:40:00+00:00,long,33851.27890625,33927.475,33357.65,35067.12499999999,stop,-1.000921335497743,9793.959067531649
2022-03-07 00:00:00+00:00,2022-03-07 12:04:00+00:00,short,33339.9234375,33298.875,33628.65,32639.324999999997,stop,-0.0015919945417374054,9793.803148237874
2022-03-08 09:30:00+00:00,2022-03-08 10:29:00+00:00,short,32903.55859375,32863.375,32935.95,32718.225000000006,stop,-0.007233895969706872,9793.094674706652
2022-03-10 00:00:00+00:00,2022-03-15 03:50:00+00:00,long,33246.8578125,33267.175,32630.15,34541.225000000006,time,-0.3768297947490324,9756.191376144376
2022-04-07 14:00:00+00:00,2022-04-07 18:59:00+00:00,short,34418.72109375,34362.125,34627.95,33830.475000000006,stop,-1.0019749835418092,9658.436779208945
2022-04-19 04:00:00+00:00,2022-04-19 08:02:00+00:00,short,34537.2421875,34523.125,34597.75,34373.875,stop,-0.007035175879416485,9657.757291194324
2022-04-28 15:00:00+00:00,2022-04-28 15:19:00+00:00,long,33365.923828125,33379.525,33323.75,33491.075000000004,target,1.9905871806364601,9850.00336976982
2022-05-05 04:30:00+00:00,2022-05-05 15:09:00+00:00,long,34027.952734375,34059.175,33066.4,36044.725000000006,stop,-1.000528820729774,9751.451247212419
2022-05-06 13:00:00+00:00,2022-05-06 14:19:00+00:00,short,32924.1265625,32823.424999999996,33055.65,32358.974999999984,stop,-0.0022607385079187942,9751.230792398992
2022-05-09 18:00:00+00:00,2022-05-10 05:08:00+00:00,short,32476.946875,32428.425,32717.65,31849.974999999995,stop,-0.0018151957818357723,9751.053788468971
2022-05-16 01:00:00+00:00,2022-05-18 13:40:00+00:00,long,32214.8640625,32258.475000000002,31913.75,32947.925,stop,-0.0015229530785450776,9750.90528449511
2022-05-24 03:00:00+00:00,2022-05-24 14:16:00+00:00,long,31728.015234375,31756.475000000002,31478.4,32312.625000000004,stop,-1.0018879798615534,9653.212136522068
2022-05-25 18:00:00+00:00,2022-05-25 18:30:00+00:00,short,31904.4234375,31882.125,32081.65,31483.074999999997,stop,-1.0026312492168974,9556.4260150881
2022-05-26 06:30:00+00:00,2022-05-26 17:03:00+00:00,long,32066.3328125,32076.675000000003,31750.95,32728.125000000007,target,1.9983882109141102,9747.40050595835
2022-05-31 16:30:00+00:00,2022-06-01 15:26:00+00:00,short,33191.49609375,33089.424999999996,33296.95,32674.374999999993,target,1.9974701843151357,9942.101924810651
2022-06-06 01:00:00+00:00,2022-06-06 08:11:00+00:00,short,32972.151953125,32963.424999999996,33187.15,32515.974999999984,stop,-1.0023466309084879,9842.447601125823
2022-06-13 17:00:00+00:00,2022-06-15 13:42:00+00:00,short,30939.4109375,30706.975,31136.95,29847.024999999994,stop,-0.0012210012210045992,9842.327424720435
2022-06-15 18:00:00+00:00,2022-06-15 18:06:00+00:00,long,30478.2625,30628.175000000003,30368.95,31146.625000000007,stop,-1.002025267624656,9743.704817002386
2022-06-16 13:00:00+00:00,2022-06-21 17:44:00+00:00,short,30212.87734375,30133.824999999997,30966.95,28467.57499999999,time,-0.48690172543136184,9696.262550127463
2022-06-29 17:30:00+00:00,2022-06-29 19:03:00+00:00,long,30954.0859375,31002.475000000002,30908.05,31191.325000000008,stop,-0.005559968228768218,9695.7234410103
2022-07-06 12:00:00+00:00,2022-07-06 13:32:00+00:00,short,30945.3328125,30908.425,31081.95,30561.374999999996,stop,-1.00302550064833,9598.472862424629
2022-07-08 00:30:00+00:00,2022-07-08 12:46:00+00:00,long,31348.48984375,31367.475000000002,31248.4,31605.625000000004,stop,-1.0044089859332475,9502.064938482072
2022-07-20 11:30:00+00:00,2022-07-25 15:20:00+00:00,long,31772.30546875,31787.475000000002,31209.45,32943.52500000001,time,0.3130487435664489,9531.811033384858
2022-07-27 13:00:00+00:00,2022-07-27 17:13:00+00:00,long,31919.9734375,31940.975000000002,31833.95,32155.025000000005,stop,-1.0049053959355425,9436.025349979995
2022-08-02 19:30:00+00:00,2022-08-03 15:13:00+00:00,short,32522.121875,32513.425,32721.95,32096.374999999996,stop,-1.0025176837309744,9341.427527205107
2022-08-09 20:00:00+00:00,2022-08-10 12:08:00+00:00,short,32810.5046875,32786.875,32892.95,32574.725000000006,stop,-1.004949328305458,9247.550914016318
2022-08-16 08:30:00+00:00,2022-08-16 10:29:00+00:00,long,33915.306640625,33935.475,33854.95,34096.525,stop,-1.0065197143744358,9154.47249096993
2022-08-19 08:00:00+00:00,2022-08-22 07:30:00+00:00,short,33902.621875,33879.924999999996,34079.95,33479.87499999999,target,1.9973753280839823,9337.3216659208
2022-08-24 12:30:00+00:00,2022-08-24 13:45:00+00:00,short,32946.528125,32936.125,33003.95,32800.475000000006,stop,-0.0077405086620195756,9336.598909728447
