entry_time_utc,exit_time_utc,direction,poc,entry,initial_stop,target,exit_reason,r_multiple,balance
2022-01-10 19:00:00+00:00,2022-01-13 23:06:00+00:00,long,1799.76234375,1800.5225,1790.1764285714285,1831.5607142857148,time,2.011874762677321,10201.187476267733
2022-02-21 15:00:00+00:00,2022-02-21 18:30:00+00:00,short,1896.815546875,1894.9675,1901.1039285714287,1876.5582142857138,stop,-1.0101850774065881,10098.136602664206
2022-02-23 07:00:00+00:00,2022-02-24 03:21:00+00:00,long,1896.458984375,1897.2625,1886.75125,1928.79625,target,2.9940539897728624,10400.480264508988
2022-03-03 12:00:00+00:00,2022-03-04 00:42:00+00:00,short,1936.9745312500002,1932.2575,1949.1371428571429,1881.6185714285712,stop,-1.0037026849755624,10296.090364843758
2022-03-04 07:00:00+00:00,2022-03-06 23:00:00+00:00,long,1933.88796875,1936.1625,1921.7571428571428,1979.3785714285714,target,2.995661336308417,10604.52636305476
2022-03-07 21:00:00+00:00,2022-03-08 15:46:00+00:00,long,1996.5296875,1996.8425,1973.1526785714284,2067.911964285715,target,2.9973617361283953,10922.38237855861
2022-03-10 00:00:00+00:00,2022-03-10 01:05:00+00:00,long,1986.337890625,1990.1525,1977.4878571428571,2028.1464285714283,stop,-1.0049349990130003,10812.619535310447
2022-03-21 21:00:00+00:00,2022-03-22 15:06:00+00:00,short,1937.9229687499999,1935.0275,1942.2480357142856,1913.3658928571429,target,2.991344132558427,11136.062195355824
2022-03-30 09:00:00+00:00,2022-03-30 12:16:00+00:00,short,1923.4542187499999,1919.1875,1930.2485714285715,1886.0042857142855,stop,-1.005650447192535,11024.07233608859
2022-03-30 16:00:00+00:00,2022-03-31 13:13:00+00:00,short,1938.208203125,1936.9175,1947.015357142857,1906.623928571429,stop,-0.0061894319869845735,11023.390008629152
2022-04-13 08:00:00+00:00,2022-04-19 11:07:00+00:00,long,1968.87796875,1971.4825,1948.5360714285714,2040.321785714286,time,0.26518287937743235,11052.622151659038
2022-04-28 13:00:00+00:00,2022-04-29 05:27:00+00:00,short,1885.965546875,1885.3375,1908.4066071428572,1816.1301785714288,stop,-1.0027092509308213,10941.796486873924
2022-05-30 22:00:00+00:00,2022-05-31 00:57:00+00:00,long,1853.520078125,1856.4424999999999,1847.0539285714287,1884.6082142857133,stop,-1.0066570298234938,10831.650123349827
