timeframe_minutes,pivot_bars,minimum_leg_atr,structure_mode,reaction_mode,poc_tolerance_atr,expiry_bars,stop_mode,stop_buffer_atr,reward_risk,maximum_hold_hours,management,train_trades,train_wins,train_losses,train_win_rate_pct,train_profit_factor,train_net_r,train_mean_r,train_return_pct,train_max_drawdown_pct,train_final_balance,validation_trades,validation_wins,validation_losses,validation_win_rate_pct,validation_profit_factor,validation_net_r,validation_mean_r,validation_return_pct,validation_max_drawdown_pct,validation_final_balance,robust_score
60,2,3.5,1,2,0.05,12,0,0.1,1.5,6,1,115,40,75,34.78260869565217,0.6223601939733855,-12.02200963498672,-0.10453921421727583,-11.50026504140036,14.674751033959293,8849.973495859964,44,13,31,29.545454545454547,0.7654879011412671,-3.1514774912500916,-0.07162448843750208,-3.211464636132899,7.857806420034562,9678.85353638671,-9.709019846841336
60,2,3.5,1,2,0.05,12,0,0.1,1.5,6,0,115,40,75,34.78260869565217,0.6223601939733855,-12.02200963498672,-0.10453921421727583,-11.50026504140036,14.674751033959293,8849.973495859964,44,13,31,29.545454545454547,0.7654879011412671,-3.1514774912500916,-0.07162448843750208,-3.211464636132899,7.857806420034562,9678.85353638671,-9.709019846841336
60,2,3.5,1,2,0.05,12,0,0.1,2.5,6,1,115,40,75,34.78260869565217,0.621239974707329,-12.057671359717295,-0.10484931617145474,-11.537274414139187,14.790769604139173,8846.27255858608,44,13,31,29.545454545454547,0.9126550724051649,-1.1737798374991688,-0.026676814488617473,-1.3242370281245752,7.075517644079077,9867.576297187543,-9.749231595002133
60,2,3.5,1,2,0.05,12,0,0.1,3.0,6,0,115,40,75,34.78260869565217,0.621239974707329,-12.057671359717295,-0.10484931617145474,-11.537274414139187,14.790769604139173,8846.27255858608,44,13,31,29.545454545454547,1.0117673431919523,0.1581347716460072,0.0035939720828638,-0.03605077135953039,6.621950111263425,9996.394922864047,-9.749231595002133
60,2,3.5,1,2,0.05,12,0,0.1,3.0,6,1,115,40,75,34.78260869565217,0.621239974707329,-12.057671359717295,-0.10484931617145474,-11.537274414139187,14.790769604139173,8846.27255858608,44,13,31,29.545454545454547,1.0117673431919523,0.1581347716460072,0.0035939720828638,-0.03605077135953039,6.621950111263425,9996.394922864047,-9.749231595002133
60,2,3.5,1,2,0.05,12,0,0.1,2.5,6,0,115,40,75,34.78260869565217,0.621239974707329,-12.057671359717295,-0.10484931617145474,-11.537274414139187,14.790769604139173,8846.27255858608,44,13,31,29.545454545454547,0.9126550724051649,-1.1737798374991688,-0.026676814488617473,-1.3242370281245752,7.075517644079077,9867.576297187543,-9.749231595002133
60,2,3.5,1,2,0.15,12,0,0.1,1.5,6,1,128,46,82,35.9375,0.6190668239384212,-13.437745822587543,-0.10498238923896518,-12.766744200171942,16.14974831441347,8723.325579982806,45,14,31,31.11111111111111,0.8229727692555847,-2.4114578411692342,-0.05358795202598298,-2.4970586160718455,7.998627937900453,9750.294138392816,-9.846226035235574
60,2,3.5,1,2,0.15,12,0,0.1,1.5,6,0,128,46,82,35.9375,0.6190668239384212,-13.437745822587543,-0.10498238923896518,-12.766744200171942,16.14974831441347,8723.325579982806,45,14,31,31.11111111111111,0.8229727692555847,-2.4114578411692342,-0.05358795202598298,-2.4970586160718455,7.998627937900453,9750.294138392816,-9.846226035235574
60,2,3.5,1,2,0.05,12,0,0.1,2.0,6,1,115,40,75,34.78260869565217,0.6178803949800521,-12.164622213960621,-0.10577932359965758,-11.62999658550814,14.880081625791902,8837.000341449186,44,13,31,29.545454545454547,0.8010349991967204,-2.673779837499168,-0.06076772357952654,-2.761772972103549,7.5290851768946565,9723.822702789645,-9.854310218576135
60,2,3.5,1,2,0.05,12,0,0.1,2.0,6,0,115,40,75,34.78260869565217,0.6178803949800521,-12.164622213960621,-0.10577932359965758,-11.62999658550814,14.880081625791902,8837.000341449186,44,13,31,29.545454545454547,0.8010349991967204,-2.673779837499168,-0.06076772357952654,-2.761772972103549,7.5290851768946565,9723.822702789645,-9.854310218576135
60,2,3.5,1,2,0.05,12,0,0.0,2.0,6,1,115,40,75,34.78260869565217,0.6287522071996368,-12.612082648886647,-0.10967028390336214,-12.055881118383926,15.440184390195357,8794.411888161607,44,13,31,29.545454545454547,0.7967854679387267,-2.780927504086605,-0.06320289782015011,-2.8681153012759197,7.6636551410628115,9713.188469872408,-10.25526879037163
60,2,3.5,1,2,0.05,12,0,0.0,2.0,6,0,115,40,75,34.78260869565217,0.6287522071996368,-12.612082648886647,-0.10967028390336214,-12.055881118383926,15.440184390195357,8794.411888161607,44,13,31,29.545454545454547,0.7967854679387267,-2.780927504086605,-0.06320289782015011,-2.8681153012759197,7.6636551410628115,9713.188469872408,-10.25526879037163
60,2,3.5,1,2,0.05,12,0,0.25,1.5,6,0,117,40,77,34.18803418803419,0.5911385638294059,-13.32013440752927,-0.1138473026284553,-12.64192046007061,15.653433393694838,8735.807953992939,44,13,31,29.545454545454547,0.796214177020002,-2.6033463528317697,-0.059166962564358404,-2.6745536835919292,7.340074975253039,9732.544631640807,-10.760992889831375
60,2,3.5,1,2,0.05,12,0,0.25,1.5,6,1,117,40,77,34.18803418803419,0.5911385638294059,-13.32013440752927,-0.1138473026284553,-12.64192046007061,15.653433393694838,8735.807953992939,44,13,31,29.545454545454547,0.796214177020002,-2.6033463528317697,-0.059166962564358404,-2.6745536835919292,7.340074975253039,9732.544631640807,-10.760992889831375
60,2,3.5,1,2,0.15,12,0,0.1,2.5,6,0,128,46,82,35.9375,0.5875994631744065,-14.547784071359398,-0.1136545630574953,-13.727165471195113,17.211310807301253,8627.283452880489,45,14,31,31.11111111111111,0.9681572849937904,-0.43376018741831196,-0.009639115275962487,-0.5959011892134214,7.217534739004297,9940.409881078658,-10.840071888189884
60,2,3.5,1,2,0.15,12,0,0.1,3.0,6,0,128,46,82,35.9375,0.5875994631744065,-14.547784071359398,-0.1136545630574953,-13.727165471195113,17.211310807301253,8627.283452880489,45,14,31,31.11111111111111,1.0659343022070278,0.898154421726864,0.019958987149485866,0.701793301283371,6.764660396419375,10070.179330128336,-10.840071888189884
