trades,wins,losses,timeouts,win_rate,net_r,start_balance,final_balance,level,target_balance,target_reached,target_reached_at,max_drawdown_pct,min_balance,minimum_lot_overrides,max_actual_risk_percent,sizing_mode,symbol
72,28,12,32,38.89,15.97,20.0,206.8,9,52399.91,False,,59.36,17.42,0,22.96,mt5_min_step_compounding,AUDUSD
70,14,10,46,20.0,6.75,20.0,36.35,3,52399.91,False,,38.37,16.24,0,22.97,mt5_min_step_compounding,EURUSD
69,25,13,31,36.23,6.76,20.0,33.14,2,52399.91,False,,45.51,16.86,0,22.91,mt5_min_step_compounding,GBPUSD
70,12,8,50,17.14,1.63,20.0,13.3,1,52399.91,False,,65.58,9.02,0,22.85,mt5_min_step_compounding,USDCAD
