date,event,source,prior_business_day,prior_day_had_auction
2022-12-22,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2022-12-21,True
2022-12-29,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2022-12-28,True
2023-01-05,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-01-04,False
2023-01-12,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-01-11,True
2023-01-19,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-01-18,True
2023-01-26,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-01-25,True
2023-02-02,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-02-01,False
2023-02-09,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-02-08,True
2023-02-16,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-02-15,True
2023-02-23,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-02-22,True
2023-03-02,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-03-01,False
2023-03-09,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-03-08,True
2023-03-16,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-03-15,False
2023-03-23,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-03-22,False
2023-03-30,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-03-29,True
2023-04-06,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-04-05,False
2023-04-13,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-04-12,True
2023-04-20,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-04-19,True
2023-04-27,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-04-26,True
2023-05-04,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-05-03,False
2023-05-11,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-05-10,True
2023-05-18,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-05-17,True
2023-05-25,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-05-24,True
2023-06-01,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-05-31,False
2023-06-08,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-06-07,False
2023-06-15,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-06-14,False
2023-06-22,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-06-21,True
2023-06-29,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-06-28,True
2023-07-06,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-07-05,False
2023-07-13,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-07-12,True
2023-07-20,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-07-19,True
2023-07-27,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-07-26,True
2023-08-03,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-08-02,False
2023-08-10,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-08-09,True
2023-08-17,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-08-16,False
2023-08-24,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-08-23,True
2023-08-31,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-08-30,False
2023-09-07,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-09-06,False
2023-09-14,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-09-13,True
2023-09-21,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-09-20,False
2023-09-28,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-09-27,True
2023-10-05,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-10-04,False
2023-10-12,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-10-11,True
2023-10-19,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-10-18,True
2023-10-26,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-10-25,True
2023-11-02,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-11-01,False
2023-11-09,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-11-08,True
2023-11-16,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-11-15,False
2023-11-22,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-11-21,True
2023-11-30,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-11-29,False
2023-12-07,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-12-06,False
2023-12-14,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-12-13,False
2023-12-21,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-12-20,True
2023-12-28,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2023-12-27,True
2024-01-04,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-01-03,False
2024-01-11,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-01-10,True
2024-01-18,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-01-17,True
2024-01-25,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-01-24,True
2024-02-01,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-01-31,False
2024-02-08,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-02-07,True
2024-02-15,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-02-14,False
2024-02-22,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-02-21,True
2024-02-29,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-02-28,False
2024-03-07,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-03-06,False
2024-03-14,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-03-13,True
2024-03-21,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-03-20,False
2024-03-28,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-03-27,True
2024-04-04,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-04-03,False
2024-04-11,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-04-10,True
2024-04-18,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-04-17,True
2024-04-25,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-04-24,True
2024-05-02,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-05-01,False
2024-05-09,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-05-08,True
2024-05-16,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-05-15,False
2024-05-23,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-05-22,True
2024-05-30,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-05-29,True
2024-06-06,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-06-05,False
2024-06-13,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-06-12,False
2024-06-20,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-06-19,False
2024-06-27,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-06-26,True
