logical_symbol,broker_symbol,side,signal_time,entry_time,exit_time,entry,sl,tp1,tp2,tp5,exit_price,result,r_multiple,risk_per_lot,bull_pct,bear_pct,bias,atr,spread,entry_time_iso,exit_time_iso,lot,risk_budget,actual_risk,pnl,balance_before,balance_after
BTCUSD,BTCUSDm,BUY,1779422400,1779422400,1779461400,77721.19,76641.52,78800.86,79880.53,83119.53,76641.52,loss,-1.0,1079.67,85.71,0.0,STRONG BULL,719.78,14.0,2026-05-22T04:00:00Z,2026-05-22T14:50:00Z,0.01,15.0,10.8,-10.8,300.0,289.2
BTCUSD,BTCUSDm,BUY,1779681600,1779681600,1779816600,76943.13,75752.54,78133.72,79324.3,82896.06,75752.54,loss,-1.0,1190.59,42.86,42.86,MILD BEAR,793.72,14.0,2026-05-25T04:00:00Z,2026-05-26T17:30:00Z,0.01,14.46,11.91,-11.91,289.2,277.3
EURUSD,EURUSDm,BUY,1779681600,1779681600,1779938100,1.16378,1.16038,1.16718,1.17057,1.18076,1.16038,loss,-1.0,339.59,57.14,28.57,MILD BULL,0.00226,8e-05,2026-05-25T04:00:00Z,2026-05-28T03:15:00Z,0.04,13.86,13.58,-13.58,277.3,263.71
ETHUSD,ETHUSDm,BUY,1779710400,1779710400,1779811800,2113.71,2070.55,2156.87,2200.04,2329.53,2070.55,loss,-1.0,43.16,57.14,14.29,STRONG BULL,28.78,1.4,2026-05-25T12:00:00Z,2026-05-26T16:10:00Z,0.3,13.19,12.95,-12.95,263.71,250.77
BTCUSD,BTCUSDm,SELL,1779825600,1779825600,1780383600,75921.84,77162.16,74681.52,73441.19,69720.22,69720.22,win,5.0,1240.32,14.29,71.43,STRONG BEAR,826.88,14.0,2026-05-26T20:00:00Z,2026-06-02T07:00:00Z,0.01,12.54,12.4,62.02,250.77,312.78
EURUSD,EURUSDm,SELL,1779940800,1779940800,1779951900,1.15866,1.1615,1.15582,1.15298,1.14447,1.1615,loss,-1.0,283.75,0.0,85.71,STRONG BEAR,0.00189,8e-05,2026-05-28T04:00:00Z,2026-05-28T07:05:00Z,0.05,15.64,14.19,-14.19,312.78,298.59
EURUSD,EURUSDm,BUY,1779998400,1779998400,1780321800,1.16481,1.16167,1.16795,1.1711,1.18053,1.16167,loss,-1.0,314.43,57.14,28.57,MILD BULL,0.0021,8e-05,2026-05-28T20:00:00Z,2026-06-01T13:50:00Z,0.04,14.93,12.58,-12.58,298.59,286.02
EURUSD,EURUSDm,SELL,1780372800,1780372800,1781473800,1.16337,1.1663,1.16044,1.15752,1.14874,1.16044,trail_stop,1.0,292.54,28.57,42.86,MILD BEAR,0.00195,8e-05,2026-06-02T04:00:00Z,2026-06-14T21:50:00Z,0.04,14.3,11.7,11.7,286.02,297.72
ETHUSD,ETHUSDm,BUY,1780963200,1780963200,1781021700,1690.33,1621.76,1758.9,1827.46,2033.17,1621.76,loss,-1.0,68.57,71.43,14.29,STRONG BULL,45.71,1.0,2026-06-09T00:00:00Z,2026-06-09T16:15:00Z,0.21,14.89,14.4,-14.4,297.72,283.32
ETHUSD,ETHUSDm,BUY,1781208000,1781208000,1781724300,1680.38,1622.85,1737.91,1795.44,1968.04,1737.91,trail_stop,1.0,57.53,85.71,0.0,STRONG BULL,38.35,1.0,2026-06-11T20:00:00Z,2026-06-17T19:25:00Z,0.24,14.17,13.81,13.81,283.32,297.13
EURUSD,EURUSDm,SELL,1781726400,1781726400,1781865300,1.14939,1.15338,1.1454,1.14141,1.12944,1.14572,timeout,0.92,398.93,0.0,85.71,STRONG BEAR,0.00266,8e-05,2026-06-17T20:00:00Z,2026-06-19T10:35:00Z,0.03,14.86,11.97,11.01,297.13,308.14
BTCUSD,BTCUSDm,SELL,1781740800,1781740800,1781865300,64445.71,65823.74,63067.68,61689.66,57555.58,62387.44,timeout,1.4936,1378.03,14.29,57.14,STRONG BEAR,918.68,10.0,2026-06-18T00:00:00Z,2026-06-19T10:35:00Z,0.01,15.41,13.78,20.58,308.14,328.72
ETHUSD,ETHUSDm,SELL,1781798400,1781798400,1781865300,1680.04,1732.62,1627.46,1574.88,1417.15,1686.75,timeout,-0.1276,52.58,0.0,100.0,STRONG BEAR,35.05,1.0,2026-06-18T16:00:00Z,2026-06-19T10:35:00Z,0.31,16.44,16.3,-2.08,328.72,326.64
