skipped,symbol,date
ambiguous_breakout,XAUUSD,2026-01-05
ambiguous_breakout,XAUUSD,2026-01-06
ambiguous_breakout,XAUUSD,2026-03-19
ambiguous_breakout,XAUUSD,2026-05-14
ambiguous_breakout,XAGUSD,2025-12-21
ambiguous_breakout,XAGUSD,2026-05-14
ambiguous_breakout,BTCUSD,2026-01-11
ambiguous_breakout,BTCUSD,2026-01-12
ambiguous_breakout,BTCUSD,2026-04-03
ambiguous_breakout,BTCUSD,2026-04-26
ambiguous_breakout,BTCUSD,2026-06-01
ambiguous_breakout,US30,2026-02-24
ambiguous_breakout,US30,2026-03-24
ambiguous_breakout,US30,2026-05-21
ambiguous_breakout,EURUSD,2025-12-29
ambiguous_breakout,EURUSD,2025-12-30
ambiguous_breakout,EURUSD,2026-02-18
ambiguous_breakout,EURUSD,2026-03-26
ambiguous_breakout,EURUSD,2026-04-19
ambiguous_breakout,EURUSD,2026-04-23
ambiguous_breakout,EURUSD,2026-04-28
ambiguous_breakout,EURUSD,2026-06-01
ambiguous_breakout,GBPUSD,2026-01-20
ambiguous_breakout,GBPUSD,2026-02-18
ambiguous_breakout,GBPUSD,2026-03-24
ambiguous_breakout,GBPUSD,2026-03-25
ambiguous_breakout,GBPUSD,2026-03-26
ambiguous_breakout,GBPUSD,2026-04-30
ambiguous_breakout,GBPUSD,2026-06-01
ambiguous_breakout,USDJPY,2026-05-28
ambiguous_breakout,USDCHF,2026-02-18
ambiguous_breakout,USDCHF,2026-02-25
ambiguous_breakout,USDCHF,2026-03-10
ambiguous_breakout,USDCHF,2026-03-26
ambiguous_breakout,USDCHF,2026-04-15
ambiguous_breakout,USDCHF,2026-05-31
ambiguous_breakout,USDCHF,2026-06-16
ambiguous_breakout,USDCAD,2026-02-03
ambiguous_breakout,USDCAD,2026-02-18
ambiguous_breakout,USDCAD,2026-02-26
ambiguous_breakout,USDCAD,2026-03-03
ambiguous_breakout,USDCAD,2026-03-30
ambiguous_breakout,USDCAD,2026-04-14
ambiguous_breakout,USDCAD,2026-04-28
ambiguous_breakout,AUDUSD,2026-01-19
ambiguous_breakout,AUDUSD,2026-02-26
ambiguous_breakout,AUDUSD,2026-03-15
ambiguous_breakout,AUDUSD,2026-03-26
ambiguous_breakout,AUDUSD,2026-04-09
ambiguous_breakout,AUDUSD,2026-05-12
ambiguous_breakout,AUDUSD,2026-06-01
ambiguous_breakout,NZDUSD,2026-01-06
ambiguous_breakout,NZDUSD,2026-02-18
ambiguous_breakout,NZDUSD,2026-02-26
ambiguous_breakout,NZDUSD,2026-03-25
ambiguous_breakout,NZDUSD,2026-03-26
ambiguous_breakout,NZDUSD,2026-05-03
ambiguous_breakout,NZDUSD,2026-05-04
ambiguous_breakout,NZDUSD,2026-05-12
ambiguous_breakout,EURGBP,2026-01-06
ambiguous_breakout,EURGBP,2026-01-07
ambiguous_breakout,EURGBP,2026-02-12
ambiguous_breakout,EURGBP,2026-03-05
ambiguous_breakout,EURGBP,2026-03-10
ambiguous_breakout,EURGBP,2026-03-19
ambiguous_breakout,EURGBP,2026-04-15
ambiguous_breakout,EURGBP,2026-04-16
ambiguous_breakout,EURJPY,2026-02-04
ambiguous_breakout,EURJPY,2026-05-17
ambiguous_breakout,EURJPY,2026-05-28
ambiguous_breakout,EURJPY,2026-06-16
ambiguous_breakout,GBPJPY,2026-01-15
ambiguous_breakout,GBPJPY,2026-01-22
ambiguous_breakout,GBPJPY,2026-04-20
ambiguous_breakout,GBPJPY,2026-06-16
