case,group,stage,report,from,to,model,minimum_reward_risk,stop_buffer_atr,maximum_holding_bars,maximum_trades_per_day,dynamic,dynamic_trigger,dynamic_lock,session,safe_filter,allow_long,allow_short,risk_percent,initial_balance,final_balance,net_profit,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe_ratio,recovery_factor,history_quality,analysed_sharpe,analysed_recovery
current-dynamic5020,baseline,ThreeYear,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\ThreeYear\engineered-xau-threeyear-current-dynamic5020.htm,2023.09.01,2026.09.01,0,2.00,0.08,24,2,true,0.50,0.20,0,false,true,true,1.00,10000.0,17370.16,7370.16,73.7,1.39,38.6,12.69,228,4.38,4.0,98%,1.91,4.75
current-native,baseline,ThreeYear,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\ThreeYear\engineered-xau-threeyear-current-native.htm,2023.09.01,2026.09.01,0,2.00,0.08,24,2,false,0.50,0.20,0,false,true,true,1.00,10000.0,16223.06,6223.06,62.23,1.31,31.86,13.44,226,3.4,2.61,98%,1.6,3.37
safe-on,safe-filter,ThreeYear,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\ThreeYear\engineered-xau-threeyear-safe-on.htm,2023.09.01,2026.09.01,0,2.00,0.08,24,2,true,0.50,0.20,0,true,true,true,1.00,10000.0,15398.57,5398.57,53.99,1.48,41.04,13.09,134,5.53,2.37,98%,1.79,3.15
combo-rr25-stop000-dyn6020-long,combined-finalist,ThreeYear,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\ThreeYear\engineered-xau-threeyear-combo-rr25-stop000-dyn6020-long.htm,2023.09.01,2026.09.01,0,2.50,0.00,24,2,true,0.60,0.20,0,false,true,false,1.00,10000.0,22160.57,12160.57,121.61,1.82,40.0,9.07,150,8.49,6.15,98%,2.83,9.95
combo-rr25-stop003-dyn6020,combined-finalist,ThreeYear,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\ThreeYear\engineered-xau-threeyear-combo-rr25-stop003-dyn6020.htm,2023.09.01,2026.09.01,0,2.50,0.03,24,2,true,0.60,0.20,0,false,true,true,1.00,10000.0,20345.96,10345.96,103.46,1.55,37.5,9.05,200,5.86,5.47,98%,2.37,8.2
combo-rr25-stop003-dyn6020-safe,combined-finalist,ThreeYear,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\ThreeYear\engineered-xau-threeyear-combo-rr25-stop003-dyn6020-safe.htm,2023.09.01,2026.09.01,0,2.50,0.03,24,2,true,0.60,0.20,0,true,true,true,1.00,10000.0,15849.11,5849.11,58.49,1.55,39.47,12.66,114,6.47,2.64,98%,1.84,3.33
combo-rr25-stop003-dyn6020-long,combined-finalist,ThreeYear,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\ThreeYear\engineered-xau-threeyear-combo-rr25-stop003-dyn6020-long.htm,2023.09.01,2026.09.01,0,2.50,0.03,24,2,true,0.60,0.20,0,false,true,false,1.00,10000.0,21618.01,11618.01,116.18,1.81,40.26,7.46,154,8.32,7.65,98%,2.77,10.89
combo-rr25-stop003-dyn6020-long-safe,combined-finalist,ThreeYear,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\ThreeYear\engineered-xau-threeyear-combo-rr25-stop003-dyn6020-long-safe.htm,2023.09.01,2026.09.01,0,2.50,0.03,24,2,true,0.60,0.20,0,true,true,false,1.00,10000.0,17319.59,7319.59,73.2,1.99,43.48,8.03,92,9.56,5.2,98%,2.54,8.24
