phase,case,label,symbol,timeframe,initial,final,net,return_pct,cagr_pct,equity_dd_pct,balance_dd_pct,profit_factor,win_rate_pct,trades,history_quality,report
baseline-full,xau-pullback,XAU Pullback Window,XAUUSD,M5,10000.0,9820.15,-179.85,-1.7985000000000002,-0.60518286892286,3.68,1.99,0.63,37.5,8,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Online Research EAs 2026-08-11\Backtest Reports\Baseline\xau-pullback.htm
baseline-full,keltner-eurusd,FX Keltner Breakout,EURUSD,D1,10000.0,8663.21,-1336.79,-13.367899999999999,-4.686290881440447,13.91,13.37,0.2,8.7,23,100%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Online Research EAs 2026-08-11\Backtest Reports\Baseline\keltner-eurusd.htm
baseline-full,keltner-gbpusd,FX Keltner Breakout,GBPUSD,D1,10000.0,8531.619999999999,-1468.38,-14.683800000000002,-5.17299645126954,15.1,14.68,0.02,4.55,22,100%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Online Research EAs 2026-08-11\Backtest Reports\Baseline\keltner-gbpusd.htm
baseline-full,keltner-usdcad,FX Keltner Breakout,USDCAD,D1,10000.0,8851.28,-1148.72,-11.4872,-3.99915356300492,14.06,12.09,0.23,11.11,18,100%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Online Research EAs 2026-08-11\Backtest Reports\Baseline\keltner-usdcad.htm
baseline-full,keltner-nzdusd,FX Keltner Breakout,NZDUSD,D1,10000.0,8185.91,-1814.09,-18.1409,-6.475927985387719,19.97,18.18,0.09,8.33,24,100%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Online Research EAs 2026-08-11\Backtest Reports\Baseline\keltner-nzdusd.htm
baseline-full,ustec-alt22,US100 Alt22 Donchian,USTEC,D1,10000.0,8286.17,-1713.83,-17.138299999999997,-6.094351902203188,24.94,22.63,0.5,32.58,89,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Online Research EAs 2026-08-11\Backtest Reports\Baseline\ustec-alt22.htm
baseline-full,us500-alt31,US500 Alt31 Donchian,US500,D1,10000.0,9794.76,-205.24,-2.0524,-0.6912111040795921,11.09,9.34,0.9,50.72,69,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Online Research EAs 2026-08-11\Backtest Reports\Baseline\us500-alt31.htm
baseline-full,btc-four-sma,BTC Four-SMA,BTCUSD,M5,10000.0,9575.51,-424.49,-4.2449,-1.4403384001335118,34.25,33.13,0.98,36.04,541,100%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Online Research EAs 2026-08-11\Backtest Reports\Baseline\btc-four-sma.htm
baseline-full,us30-supply-demand,US30 Supply/Demand ATR,US30,H1,10000.0,7744.33,-2255.67,-22.556700000000003,-8.194584507579805,38.0,36.71,0.86,31.56,301,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Online Research EAs 2026-08-11\Backtest Reports\Baseline\us30-supply-demand.htm
oos-validation,btc-b07-oos-1y,BTC b07 untouched OOS,BTCUSD,M5,10000.0,7940.29,-2059.71,-20.5971,-20.5971,26.12,25.04,0.81,30.77,299,100%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Online Research EAs 2026-08-11\Backtest Reports\Final Validation\BTC Four SMA b07\btc-b07-oos-1y.htm
full-validation,btc-b07-full-3y,BTC b07 full period,BTCUSD,M5,10000.0,11660.880000000001,1660.88,16.608800000000002,5.273655524668586,28.41,27.35,1.04,35.18,938,100%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Online Research EAs 2026-08-11\Backtest Reports\Final Validation\BTC Four SMA b07\btc-b07-full-3y.htm
