phase,case,label,symbol,timeframe,initial,final,net,return_pct,cagr_pct,equity_dd_pct,balance_dd_pct,profit_factor,win_rate_pct,trades,history_quality,report
training-screen,ustec-d07,USTEC Alt22 L70 both 2 units,USTEC,D1,10000.0,9944.77,-55.23,-0.5522999999999999,-0.27785611292300283,8.97,7.42,0.96,38.24,34,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Online Research EAs 2026-08-11\Backtest Reports\Training Screen\ustec-d07.htm
training-screen,ustec-d08,"USTEC Alt22 L40 long, stop3N/add1N",USTEC,D1,10000.0,9406.89,-593.11,-5.931100000000001,-3.025089518765378,8.97,7.64,0.44,37.21,43,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Online Research EAs 2026-08-11\Backtest Reports\Training Screen\ustec-d08.htm
training-screen,ustec-d09,"USTEC Alt22 L20 long, stop1.5N",USTEC,D1,10000.0,8962.82,-1037.18,-10.3718,-5.352672629731825,19.01,15.77,0.59,42.37,59,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Online Research EAs 2026-08-11\Backtest Reports\Training Screen\ustec-d09.htm
training-screen,x00,XAU published,XAUUSD,M5,10000.0,9820.68,-179.32,-1.7932,-0.9049537603416091,3.68,1.98,0.63,37.5,8,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Online Research EAs 2026-08-11\Backtest Reports\Training Screen\x00.htm
training-screen,x01,"XAU no ATR increment, PB3/W3",XAUUSD,M5,10000.0,9610.39,-389.61,-3.8961,-1.97674063509935,6.87,5.83,0.79,40.62,32,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Online Research EAs 2026-08-11\Backtest Reports\Training Screen\x01.htm
training-screen,x02,"XAU no ATR increment, PB3/W6",XAUUSD,M5,10000.0,9610.39,-389.61,-3.8961,-1.97674063509935,6.87,5.83,0.79,40.62,32,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Online Research EAs 2026-08-11\Backtest Reports\Training Screen\x02.htm
training-screen,x03,"XAU PB2/W3, SL3/TP5",XAUUSD,M5,10000.0,11431.880000000001,1431.88,14.318800000000001,6.954269796386869,5.25,3.99,1.43,53.97,63,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Online Research EAs 2026-08-11\Backtest Reports\Training Screen\x03.htm
training-screen,x04,"XAU PB2/W6, SL3/TP6",XAUUSD,M5,10000.0,11923.24,1923.24,19.2324,9.239636799041783,5.17,3.97,1.53,50.77,65,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Online Research EAs 2026-08-11\Backtest Reports\Training Screen\x04.htm
training-screen,x05,"XAU PB1/W3, SL2/TP4",XAUUSD,M5,10000.0,9487.98,-512.02,-5.1202,-2.606007463599047,16.93,16.81,0.93,42.22,135,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Online Research EAs 2026-08-11\Backtest Reports\Training Screen\x05.htm
training-screen,x06,"XAU PB1/W6, SL2.5/TP5",XAUUSD,M5,10000.0,10212.22,212.22,2.1222000000000003,1.0606158901667717,13.5,13.02,1.03,42.75,131,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Online Research EAs 2026-08-11\Backtest Reports\Training Screen\x06.htm
training-screen,x07,"XAU PB2/W3, mild ATR increment",XAUUSD,M5,10000.0,11556.119999999999,1556.12,15.5612,7.536666968229699,3.46,2.96,1.91,60.53,38,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Online Research EAs 2026-08-11\Backtest Reports\Training Screen\x07.htm
training-screen,x08,XAU EMA10/30 trend100 PB2,XAUUSD,M5,10000.0,10503.79,503.79,5.0379,2.500073814981718,9.29,8.13,1.14,47.69,65,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Online Research EAs 2026-08-11\Backtest Reports\Training Screen\x08.htm
training-screen,x09,XAU EMA20/50 trend100 PB2,XAUUSD,M5,10000.0,8293.45,-1706.55,-17.0655,-8.972453538341574,19.67,19.44,0.48,30.0,50,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Online Research EAs 2026-08-11\Backtest Reports\Training Screen\x09.htm
training-screen,x10,XAU EMA10/24 trend50 PB2,XAUUSD,M5,10000.0,9868.05,-131.95,-1.3195,-0.665103380224108,8.97,8.16,0.98,46.0,100,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Online Research EAs 2026-08-11\Backtest Reports\Training Screen\x10.htm
training-screen,x11,XAU EMA14/36 trend200 PB3,XAUUSD,M5,10000.0,9348.37,-651.63,-6.5163,-3.3286451567612008,8.85,8.03,0.71,35.29,34,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Online Research EAs 2026-08-11\Backtest Reports\Training Screen\x11.htm
