entry_time_utc,exit_time_utc,direction,poc,vah,val,entry,initial_stop,target,exit_reason,r_multiple,balance,entry_spread_price,embedded_spread_cost_r,embedded_slippage_cost_r,commission_cost_r,swap_cashflow_r,r_after_spread_slippage_before_commission_swap,r_before_all_costs,holding_calendar_days,daily_swap_usd_per_lot_snapshot,modeled_lots_exact_risk,embedded_spread_cost_usd,embedded_slippage_cost_usd,commission_usd,swap_cashflow_usd,balance_net_costs,contract_size
2022-08-04 12:00:00+00:00,2022-08-04 13:31:00+00:00,long,257.475,281.24,253.11,281.97,281.20264285714285,284.2720714285716,stop,-1.0847787189591263,9893.484129200408,0.2,0.260634831983605,0.1303174159918025,0.013031741599180248,-0.0065882693640300135,-1.065158707995916,-0.6742064600205085,0.06319444444444444,-8.0,1.3031741599180247,26.063483198360498,13.031741599180249,1.3031741599180249,-0.6588269364030014,9891.522128104089,100.0
2022-08-10 10:00:00+00:00,2022-08-15 18:50:00+00:00,long,257.23453125,280.275,252.788125,282.93,279.3865,293.56050000000016,target,2.8618754213505135,10188.892648542878,0.2,0.05644137152532815,0.028220685762664077,0.0028220685762664075,-0.12119216719188516,2.985889657118665,3.0705517144066574,5.368055555555555,-8.0,0.2791455376916637,5.582910753833274,2.791455376916637,0.2791455376916637,-11.987750035314225,10174.605168685748,100.0
2022-12-12 20:00:00+00:00,2022-12-13 13:29:00+00:00,long,242.46921875,249.363125,224.294375,251.05,249.24642857142857,256.46071428571423,target,2.934420242024196,10491.73478449264,0.08,0.04435643564356396,0.05544554455445495,0.005544554455445495,-0.03231243124312402,2.9722772277227656,3.0720792079207846,0.7284722222222222,-8.0,0.5641365242043532,4.513092193634826,5.641365242043532,0.5641365242043532,-3.287662299390925,10473.170842301703,100.0
2023-03-15 10:00:00+00:00,2023-03-15 10:48:00+00:00,long,241.90890625,258.39125,235.226875,259.39,256.9558571428572,266.6924285714285,stop,-1.0257448598313723,10384.662317700257,0.2,0.08216444627032383,0.04108222313516192,0.004108222313516191,-0.0010955259502709845,-1.020541111567585,-0.8972944421620993,0.03333333333333333,-8.0,0.4302611414761102,8.605222829522205,4.3026114147611025,0.43026114147611016,-0.11473630439362939,10365.742830725436,100.0
2023-10-26 10:01:00+00:00,2023-10-26 10:01:00+00:00,long,328.47828125,339.599375,319.1365625,337.42,336.84835714285714,339.1349285714284,stop,-1.104960639760115,10271.732521185264,0.6,1.0496063976008643,0.17493439960014404,0.017493439960014404,-0.0,-1.0874671998001006,0.13707359740090766,0.0,-8.0,1.8133249985024518,108.7994999101471,18.133249985024516,1.8133249985024518,-0.0,10251.205452427164,100.0
2023-11-01 16:00:00+00:00,2023-11-15 11:01:00+00:00,long,328.47828125,337.82000000000005,318.24687500000005,344.64,335.4557857142857,372.19264285714286,target,2.873327336155635,10579.325290981236,0.08,0.00871059815366428,0.01088824769208035,0.001088824769208035,-0.12013971522911546,2.994555876153959,3.014154721999703,13.792361111111111,-8.0,0.11161766410843157,0.8929413128674525,1.1161766410843157,0.11161766410843156,-12.315769038097553,10545.756140977232,100.0
2024-01-11 20:00:00+00:00,2024-01-24 11:03:00+00:00,long,371.669140625,382.9459375,329.52953125,384.99,379.62064285714285,401.0980714285715,target,2.8006899823956917,10895.719892176025,0.08,0.014899362786180809,0.01862420348272601,0.0018624203482726011,-0.1881354955146706,2.990687898258635,3.024211464527542,12.627083333333333,-8.0,0.1964063082487674,1.5712504659901392,1.964063082487674,0.1964063082487674,-19.84031057159632,10841.110076785459,100.0
2024-02-14 16:00:00+00:00,2024-02-15 11:32:00+00:00,long,371.401015625,405.3303125,352.55140625,405.84,404.0995714285714,411.0612857142856,target,2.928114768301908,11219.461305930336,0.08,0.045965689895755765,0.05745711236969471,0.005745711236969471,-0.03741096427626789,2.9712714438151453,3.074694246080596,0.8138888888888889,-8.0,0.6228988798940918,4.983191039152734,6.228988798940918,0.6228988798940918,-4.055763817977087,11158.55022199168,100.0
2024-02-16 16:00:00+00:00,2024-02-20 11:01:00+00:00,long,371.401015625,405.3303125,352.55140625,405.77,403.0716428571428,413.8650714285714,stop,-1.1346704196851143,11105.187749886109,0.08,0.029647669216718957,0.0370595865208987,0.0037059586520898696,-0.11243466777257098,-1.0185297932604536,-0.951822537522836,3.792361111111111,-8.0,0.413531257399694,3.3082500591975523,4.1353125739969405,0.41353125739969404,-12.546078870331828,11031.937453357034,100.0
2024-06-06 16:00:00+00:00,2024-06-10 13:49:00+00:00,long,406.128515625,421.1928125,397.6778125,421.76,420.0685714285714,426.83428571428567,target,2.7796405780780766,11435.06059884176,0.2,0.11824324324324009,0.059121621621620046,0.005912162162162005,-0.18488644894894402,2.9704391891891824,3.147804054054043,3.9090277777777778,-8.0,0.6522260318707532,13.044520637415065,6.5222603187075325,0.6522260318707532,-20.39655740778039,11338.585663358737,100.0
2024-10-30 16:00:00+00:00,2024-10-31 10:01:00+00:00,long,415.947265625,433.86640625,404.6648437500001,436.12,431.4745,450.0565000000001,stop,-1.0258434087946544,11319.47922537957,0.22,0.04735765794855209,0.02152620815843277,0.0021526208158432767,-0.012927683899592124,-1.0107631040792189,-0.941879237972234,0.7506944444444444,-8.0,0.24407675521168168,5.369688614656997,2.440767552116817,0.24407675521168168,-1.4658165132434884,11222.269529680636,100.0
2024-12-03 20:00:00+00:00,2024-12-05 14:35:00+00:00,long,414.871796875,427.859375,408.2025,430.33,427.3622142857143,439.2333571428571,target,2.931954506192149,11657.156544099182,0.22,0.07412934125971789,0.033695155118053585,0.0033695155118053585,-0.04782840073701495,2.9831524224409693,3.090976918818741,1.7743055555555556,-8.0,0.37813611257919527,8.318994476742297,3.781361125791953,0.37813611257919527,-5.3674320424435775,11551.301366853135,100.0
2025-01-28 16:00:00+00:00,2025-01-30 11:00:00+00:00,long,415.4378125,430.976875,411.055,441.11,429.82371428571423,474.96885714285713,stop,-1.01801596543635,11540.068548503965,0.22,0.01949268391473838,0.008860310870335626,0.0008860310870335626,-0.012699778914147732,-1.004430155435169,-0.9760771606500949,1.7916666666666667,-8.0,0.10234812106725161,2.2516586634795357,1.0234812106725162,0.10234812106725161,-1.4669897352972732,11433.707274722903,100.0
2025-10-06 12:00:00+00:00,2025-10-06 17:37:00+00:00,long,507.370859375,518.41109375,490.4425,519.4200000000001,517.4884285714286,525.2147142857145,target,2.959244467453944,11883.283382126474,0.42,0.21743953849566675,0.05177131868944447,0.0051771318689444465,-0.009692741332412658,2.974114340655301,3.2433251978404125,0.23402777777777778,-8.0,0.591938103121499,24.861400331102956,5.91938103121499,0.591938103121499,-1.1082396708441398,11772.05862467502,100.0
2025-10-23 10:08:00+00:00,2025-10-28 13:01:00+00:00,long,512.4972656250001,517.6434375,497.05875,522.02,516.6879285714285,538.0162142857143,target,2.9119270779842346,12238.667562116774,0.42,0.07876863722219953,0.018754437433857032,0.0018754437433857031,-0.07682025955545994,2.99062278128308,3.088145855939137,5.120138888888889,-8.0,0.22077833694416477,9.272690151654919,2.2077833694416475,0.22077833694416474,-9.04332599049626,12114.852387403113,100.0
2026-06-04 16:00:00+00:00,2026-06-04 16:30:00+00:00,long,403.987421875,428.42875,388.5984375,429.19,427.61928571428575,433.90214285714274,stop,-1.0392602698196232,12112.384994138409,0.1,0.06366530241018807,0.06366530241018807,0.006366530241018807,-0.0010610883735031344,-1.0318326512051013,-0.9045020463847251,0.020833333333333332,-8.0,0.771295740898808,7.712957408988081,7.712957408988081,0.771295740898808,-0.12854929014980135,11988.947539793538,100.0
