opened,closed,side,mode,levels_filled,lot_total,average_entry,initial_stop,exit_price,pnl,r_multiple,reason
2025-02-03 17:05:00+00:00,2025-02-03 17:20:00+00:00,BUY,momentum,2,0.04,2827.2441446372914,2822.0493571675943,2822.0493571675943,-20.779149878788303,-1.0,STOP
2025-02-04 11:50:00+00:00,2025-02-04 12:10:00+00:00,BUY,momentum,1,0.03,2821.1399149594454,2817.180850405548,2817.180850405548,-11.877193661692218,-1.0,STOP
2025-02-04 15:20:00+00:00,2025-02-04 15:25:00+00:00,BUY,momentum,3,0.09,2827.0738900272627,2822.8160284935348,2834.1703259168085,63.867923005913326,1.6666666666665837,TARGET
2025-02-04 16:35:00+00:00,2025-02-04 17:40:00+00:00,BUY,momentum,3,0.06,2841.013351749629,2835.4075664296315,2835.4075664296315,-33.63471191998451,-1.0,STOP
2025-02-05 06:20:00+00:00,2025-02-05 10:00:00+00:00,BUY,momentum,3,0.09,2857.3500661713692,2852.8369537960884,2864.8719201301697,67.69668562920651,1.6666666666666443,TARGET
2025-02-06 13:50:00+00:00,2025-02-06 15:00:00+00:00,BUY,momentum,3,0.09,2868.2336427839305,2863.012449188772,2863.012449188772,-46.99074235642365,-1.0,STOP
2025-02-07 11:20:00+00:00,2025-02-07 12:15:00+00:00,BUY,momentum,3,0.12,2869.244855807589,2865.446126264032,2865.446126264032,-45.58475452268249,-1.0,STOP
2025-02-10 11:00:00+00:00,2025-02-10 14:10:00+00:00,BUY,momentum,3,0.09,2898.7991825613076,2894.2123355391223,2906.4439275982822,68.80270533277462,1.6666666666666445,TARGET
2025-02-11 08:20:00+00:00,2025-02-11 08:40:00+00:00,BUY,momentum,1,0.02,2924.542302304655,2918.5769769534504,2918.5769769534504,-11.930650702409366,-1.0,STOP
2025-02-11 18:35:00+00:00,2025-02-11 19:00:00+00:00,BUY,momentum,1,0.02,2906.120099074115,2899.959009258849,2899.959009258849,-12.322179630531537,-1.0,STOP
2025-02-13 06:20:00+00:00,2025-02-13 08:30:00+00:00,BUY,momentum,3,0.09,2918.4848389978856,2914.223317148898,2914.223317148898,-38.35369664089376,-1.0,STOP
2025-02-14 12:35:00+00:00,2025-02-14 12:45:00+00:00,BUY,momentum,1,0.04,2939.9234823578463,2936.585176421538,2936.585176421538,-13.353223745232754,-1.0,STOP
2025-02-19 08:05:00+00:00,2025-02-19 08:50:00+00:00,BUY,momentum,3,0.12,2934.993944329393,2931.23730191602,2931.23730191602,-45.07970896047482,-1.0,STOP
2025-02-19 10:20:00+00:00,2025-02-19 11:15:00+00:00,BUY,momentum,3,0.12,2938.197579989717,2934.3497714579516,2944.6105942093245,76.95617063529426,1.6666666666665353,TARGET
2025-02-20 07:35:00+00:00,2025-02-20 09:35:00+00:00,BUY,momentum,3,0.12,2945.9602584122567,2942.25640453641,2952.133348205334,74.07707751693124,1.666666666666735,TARGET
2025-02-27 17:05:00+00:00,2025-02-27 20:10:00+00:00,SELL,momentum,3,0.03,2878.026101856633,2886.526851838191,2886.526851838191,-25.502249944672712,-1.0,STOP
2025-02-28 10:20:00+00:00,2025-02-28 11:00:00+00:00,SELL,momentum,3,0.09,2853.2576401701185,2858.049599513948,2858.049599513948,-43.12763409447052,-1.0,STOP
2025-02-28 14:50:00+00:00,2025-02-28 15:10:00+00:00,SELL,momentum,3,0.09,2856.3086814997273,2861.135195715064,2861.135195715064,-43.43862793803146,-1.0,STOP
2025-02-28 16:20:00+00:00,2025-02-28 16:45:00+00:00,SELL,momentum,3,0.06,2848.365561176415,2854.708396638815,2837.7941687390826,63.4283546239958,1.6666666666666188,TARGET
2025-03-07 09:50:00+00:00,2025-03-07 15:20:00+00:00,BUY,momentum,3,0.09,2916.521890707531,2912.271740835625,2912.271740835625,-38.25134884715408,-1.0,STOP
2025-03-12 06:20:00+00:00,2025-03-12 06:55:00+00:00,BUY,momentum,3,0.12,2918.278240139732,2914.852171029337,2914.852171029337,-41.112829324736595,-1.0,STOP
2025-03-12 09:20:00+00:00,2025-03-12 09:20:00+00:00,BUY,momentum,1,0.04,2920.136482778645,2917.3151722135494,2917.3151722135494,-11.285242260382802,-1.0,STOP
2025-03-12 12:05:00+00:00,2025-03-12 12:10:00+00:00,BUY,momentum,2,0.06,2921.954281693935,2918.174303582511,2918.174303582511,-22.67986866854426,-1.0,STOP
2025-03-12 18:20:00+00:00,2025-03-12 19:05:00+00:00,BUY,momentum,3,0.06,2926.548411071531,2920.9616826527676,2935.859625102804,55.86728418763596,1.6666666666666756,TARGET
