symbol,model,window,trades,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,sharpe,avg_r,gross_profit,gross_loss,costs
XAUUSD,stated minimum,5y,1143,-21.025610000000068,0.9500952304909221,48.99387576552931,36.606033365211665,-0.3813732993054035,-0.01690192087491116,40028.902999999926,42131.463999999934,1047.06
XAUUSD,stated minimum,3y,674,-18.690740000000073,0.9176783700134563,48.367952522255194,29.690329151099082,-0.6459717971142809,-0.02784132134063795,20835.45699999996,22704.530999999966,439.11
XAUUSD,stated minimum,1y,217,3.814870000000339,1.0605459286276513,52.53456221198156,8.439844573929111,0.44417406141425064,0.026084217096458882,6682.274000000038,6300.787000000004,57.89000000000001
XAUUSD,H1 EMA200 proxy,5y,619,-24.06710999999983,0.8936425896485863,47.49596122778675,35.89593729036298,-0.8336832161566107,-0.040753337987220264,20221.810999999954,22628.52199999994,569.1
XAUUSD,H1 EMA200 proxy,3y,371,-17.90664999999961,0.8567922255060719,46.900269541778975,28.213617986579376,-1.160699429493616,-0.05334198312613718,10713.299999999976,12503.964999999936,242.34000000000003
XAUUSD,H1 EMA200 proxy,1y,117,7.890130000000297,1.2721862647897617,57.26495726495726,3.9442138681337946,1.8142687904022428,0.0971362149299445,3687.811000000023,2898.797999999993,30.730000000000008
USTEC,stated minimum,5y,1161,-43.664605999999075,0.8856923180070685,51.50732127476314,46.177152676393796,-0.901492845334535,-0.04523089123853004,33832.72710000012,38199.187700000024,6479.55
USTEC,stated minimum,3y,698,-13.829371999999603,0.9292027299704593,52.29226361031518,15.556207028653157,-0.5503900885936316,-0.027285894234678906,18150.827300000077,19533.764500000038,3227.5600000000004
USTEC,stated minimum,1y,230,-5.957244000000155,0.9069362579156969,51.30434782608696,13.012412313596311,-0.7231302771824197,-0.03981138264685315,5805.526900000029,6401.251300000043,770.3500000000001
USTEC,H1 EMA200 proxy,5y,591,-7.125592999999967,0.9707486286168909,53.299492385786806,22.27471004450181,-0.2242962422162119,-0.008243379170471923,23647.300300000064,24359.85960000006,4269.93
USTEC,H1 EMA200 proxy,3y,344,9.794613999999866,1.075811432176728,55.52325581395349,7.887357423839269,0.5475024008684112,0.03656832331912863,13899.167200000047,12919.705800000062,2292.1500000000005
USTEC,H1 EMA200 proxy,1y,113,-1.1128950000002584,0.9755625432732505,53.98230088495575,8.681822252593186,-0.1821503274907283,-0.006644285086811851,4442.764600000016,4554.054100000043,582.4699999999999
