case,group,stage,report,from,to,model,risk_percent,initial_balance,final_balance,net_profit,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe_ratio,recovery_factor,history_quality,analysed_sharpe,analysed_recovery
final-current-standard,combined-finalist,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Locked\asia-xau-locked-final-current-standard.htm,2025.09.01,2026.09.01,0,1.00,10000.0,11850.61,1850.61,18.51,1.21,40.0,15.85,130,2.15,0.85,99%,0.98,0.89
final-current-safe,combined-finalist,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Locked\asia-xau-locked-final-current-safe.htm,2025.09.01,2026.09.01,0,1.00,10000.0,13206.85,3206.85,32.07,1.76,46.58,5.67,73,6.45,4.45,99%,2.14,4.92
combo-opposite010-rr300,combined-finalist,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Locked\asia-xau-locked-combo-opposite010-rr300.htm,2025.09.01,2026.09.01,0,1.00,10000.0,10125.54,125.54,1.26,1.03,37.8,16.68,82,0.18,0.06,99%,0.12,0.06
combo-opposite010-buffer000,combined-finalist,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Locked\asia-xau-locked-combo-opposite010-buffer000.htm,2025.09.01,2026.09.01,0,1.00,10000.0,10423.94,423.94,4.24,1.09,39.33,17.93,89,0.59,0.19,99%,0.37,0.2
combo-opposite010-buffer000-safe,combined-finalist,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Locked\asia-xau-locked-combo-opposite010-buffer000-safe.htm,2025.09.01,2026.09.01,0,1.00,10000.0,11695.1,1695.1,16.95,1.64,48.21,6.25,56,3.37,2.25,99%,1.63,2.33
combo-opposite010-window0812,combined-finalist,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Locked\asia-xau-locked-combo-opposite010-window0812.htm,2025.09.01,2026.09.01,0,1.00,10000.0,10402.61,402.61,4.03,1.1,38.16,13.94,76,0.69,0.24,99%,0.37,0.26
combo-opposite010-window0812-safe,combined-finalist,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Locked\asia-xau-locked-combo-opposite010-window0812-safe.htm,2025.09.01,2026.09.01,0,1.00,10000.0,11860.71,1860.71,18.61,1.79,49.02,5.4,51,4.72,2.87,99%,1.82,2.98
combo-opposite003-safe,combined-finalist,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Locked\asia-xau-locked-combo-opposite003-safe.htm,2025.09.01,2026.09.01,0,1.00,10000.0,11897.45,1897.45,18.97,1.73,49.12,5.92,57,3.9,2.67,99%,1.83,2.77
