bot,symbol,opened_at,closed_at,r_multiple,source,opened_dt,closed_dt,balance_before,risk_amount,pnl,balance_after
Sniper,BTCUSD,2026-05-26T20:00:00Z,2026-06-01T11:55:00Z,2.0,sniper,2026-05-26 20:00:00+00:00,2026-06-01 11:55:00+00:00,300.0,15.0,30.0,330.0
Grid,AUDUSD,2026-05-29 02:45:00,2026-05-29 03:00:00,0.3345,strategy_suite,2026-05-29 02:45:00+00:00,2026-05-29 03:00:00+00:00,330.0,16.5,5.52,335.52
Grid,AUDUSD,2026-05-29 03:00:00,2026-05-29 04:45:00,1.0354,strategy_suite,2026-05-29 03:00:00+00:00,2026-05-29 04:45:00+00:00,335.52,16.78,17.37,352.89
Grid,AUDUSD,2026-06-08 05:45:00,2026-06-08 07:00:00,1.0859,strategy_suite,2026-06-08 05:45:00+00:00,2026-06-08 07:00:00+00:00,352.89,17.64,19.16,372.05
Grid,AUDUSD,2026-06-09 06:00:00,2026-06-09 06:00:00,1.2754,strategy_suite,2026-06-09 06:00:00+00:00,2026-06-09 06:00:00+00:00,372.05,18.6,23.73,395.77
LTA,AUDUSD,2026-06-10 00:30:00,2026-06-10 12:30:00,0.4338,lta_orb_fixed_current,2026-06-10 00:30:00+00:00,2026-06-10 12:30:00+00:00,395.77,19.79,8.58,404.36
Grid,AUDUSD,2026-06-10 04:30:00,2026-06-10 07:00:00,0.373,strategy_suite,2026-06-10 04:30:00+00:00,2026-06-10 07:00:00+00:00,404.36,20.22,7.54,411.9
Sniper,BTCUSD,2026-06-11T16:00:00Z,2026-06-17T19:35:00Z,1.0,sniper,2026-06-11 16:00:00+00:00,2026-06-17 19:35:00+00:00,411.9,20.6,20.6,432.5
Grid,AUDUSD,2026-06-16 01:45:00,2026-06-16 02:15:00,-1.17,strategy_suite,2026-06-16 01:45:00+00:00,2026-06-16 02:15:00+00:00,432.5,21.62,-25.3,407.19
Grid,AUDUSD,2026-06-24 02:30:00,2026-06-24 02:45:00,-1.1268,strategy_suite,2026-06-24 02:30:00+00:00,2026-06-24 02:45:00+00:00,407.19,20.36,-22.94,384.25
Grid,AUDUSD,2026-06-24 02:45:00,2026-06-24 05:00:00,1.0833,strategy_suite,2026-06-24 02:45:00+00:00,2026-06-24 05:00:00+00:00,384.25,19.21,20.81,405.07
LTA,GBPJPY,2026-06-24 03:30:00,2026-06-24 06:15:00,0.4012,lta_orb_fixed_current,2026-06-24 03:30:00+00:00,2026-06-24 06:15:00+00:00,405.07,20.25,8.13,413.19
NewsPulse,XAUUSD,2026-06-24 14:00:00,2026-06-24 14:30:00,0.6028,strategy_suite,2026-06-24 14:00:00+00:00,2026-06-24 14:30:00+00:00,413.19,20.66,12.45,425.65
