policy,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
challenge20_current,2,0,1,0,0,0.0,-1.38,-0.689,0.0,1.3
dynamic_aggressive,2,0,2,0,0,0.0,-2.0,-1.0,0.0,6.0
dynamic_balanced,2,0,2,0,0,0.0,-2.0,-1.0,0.0,4.5
dynamic_capped,2,0,2,0,0,0.0,-2.0,-1.0,0.0,4.5
dynamic_conservative,2,0,2,0,0,0.0,-2.0,-1.0,0.0,3.0
dynamic_score,2,0,2,0,0,0.0,-2.0,-1.0,0.0,6.0
fixed_current,2,0,2,0,0,0.0,-2.0,-1.0,0.0,6.0
production_current,2,0,1,0,0,0.0,-1.38,-0.689,0.0,6.0
