policy,bot,symbol,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
challenge20_current,LTA,XAGUSD,1,0,1,0,0,0.0,-1.0,-1.0,0.0,1.3
challenge20_current,ORB,BTCUSD,1,0,0,0,0,0.0,-0.38,-0.377,0.0,1.3
dynamic_aggressive,LTA,XAGUSD,1,0,1,0,0,0.0,-1.0,-1.001,0.0,6.0
dynamic_aggressive,ORB,BTCUSD,1,0,1,0,0,0.0,-1.0,-1.0,0.0,6.0
dynamic_balanced,LTA,XAGUSD,1,0,1,0,0,0.0,-1.0,-1.001,0.0,4.0
dynamic_balanced,ORB,BTCUSD,1,0,1,0,0,0.0,-1.0,-1.0,0.0,5.0
dynamic_capped,LTA,XAGUSD,1,0,1,0,0,0.0,-1.0,-1.001,0.0,4.0
dynamic_capped,ORB,BTCUSD,1,0,1,0,0,0.0,-1.0,-1.0,0.0,5.0
dynamic_conservative,LTA,XAGUSD,1,0,1,0,0,0.0,-1.0,-1.001,0.0,3.0
dynamic_conservative,ORB,BTCUSD,1,0,1,0,0,0.0,-1.0,-1.0,0.0,3.0
dynamic_score,LTA,XAGUSD,1,0,1,0,0,0.0,-1.0,-1.001,0.0,6.0
dynamic_score,ORB,BTCUSD,1,0,1,0,0,0.0,-1.0,-1.0,0.0,6.0
fixed_current,LTA,XAGUSD,1,0,1,0,0,0.0,-1.0,-1.001,0.0,6.0
fixed_current,ORB,BTCUSD,1,0,1,0,0,0.0,-1.0,-1.0,0.0,6.0
production_current,LTA,XAGUSD,1,0,1,0,0,0.0,-1.0,-1.0,0.0,6.0
production_current,ORB,BTCUSD,1,0,0,0,0,0.0,-0.38,-0.377,0.0,6.0
